series,year,period,periodName,value
CEU6054000001,2025,M12,December,10829.5
CEU6054000001,2025,M11,November,10804.8
CEU6054000001,2025,M10,October,10788.6
CEU6054000001,2025,M09,September,10678.2
CEU6054000001,2025,M08,August,10772.3
CEU6054000001,2025,M07,July,10826.6
CEU6054000001,2025,M06,June,10776.7
CEU6054000001,2025,M05,May,10749.5
CEU6054000001,2025,M04,April,10813.3
CEU6054000001,2025,M03,March,10768.0
CEU6054000001,2025,M02,February,10786.0
CEU6054000001,2025,M01,January,10753.3
CEU6054000001,2024,M12,December,10855.4
CEU6054000001,2024,M11,November,10823.7
CEU6054000001,2024,M10,October,10799.8
CEU6054000001,2024,M09,September,10711.2
CEU6054000001,2024,M08,August,10799.9
CEU6054000001,2024,M07,July,10858.3
CEU6054000001,2024,M06,June,10826.2
CEU6054000001,2024,M05,May,10779.8
CEU6054000001,2024,M04,April,10821.5
CEU6054000001,2024,M03,March,10776.4
CEU6054000001,2024,M02,February,10812.5
CEU6054000001,2024,M01,January,10761.9
CEU6054000001,2023,M12,December,10844.9
CEU6054000001,2023,M11,November,10817.4
CEU6054000001,2023,M10,October,10799.4
CEU6054000001,2023,M09,September,10703.0
CEU6054000001,2023,M08,August,10792.6
CEU6054000001,2023,M07,July,10835.8
CEU6054000001,2023,M06,June,10789.8
CEU6054000001,2023,M05,May,10726.0
CEU6054000001,2023,M04,April,10784.2
CEU6054000001,2023,M03,March,10727.0
CEU6054000001,2023,M02,February,10731.5
CEU6054000001,2023,M01,January,10651.0
CEU6054000001,2022,M12,December,10712.8
CEU6054000001,2022,M11,November,10680.2
CEU6054000001,2022,M10,October,10653.9
CEU6054000001,2022,M09,September,10513.7
CEU6054000001,2022,M08,August,10574.6
CEU6054000001,2022,M07,July,10587.6
CEU6054000001,2022,M06,June,10497.5
CEU6054000001,2022,M05,May,10392.8
CEU6054000001,2022,M04,April,10441.8
CEU6054000001,2022,M03,March,10371.8
CEU6054000001,2022,M02,February,10332.2
CEU6054000001,2022,M01,January,10225.7
CEU6054000001,2021,M12,December,10261.6
CEU6054000001,2021,M11,November,10200.3
CEU6054000001,2021,M10,October,10127.1
CEU6054000001,2021,M09,September,9966.0
CEU6054000001,2021,M08,August,9984.1
CEU6054000001,2021,M07,July,9948.2
CEU6054000001,2021,M06,June,9826.4
CEU6054000001,2021,M05,May,9749.3
CEU6054000001,2021,M04,April,9795.7
CEU6054000001,2021,M03,March,9710.6
CEU6054000001,2021,M02,February,9682.2
CEU6054000001,2021,M01,January,9577.3
CEU6054000001,2020,M12,December,9576.4
CEU6054000001,2020,M11,November,9494.2
CEU6054000001,2020,M10,October,9465.8
CEU6054000001,2020,M09,September,9321.5
CEU6054000001,2020,M08,August,9353.5
CEU6054000001,2020,M07,July,9323.9
CEU6054000001,2020,M06,June,9265.8
CEU6054000001,2020,M05,May,9147.9
CEU6054000001,2020,M04,April,9200.2
CEU6054000001,2020,M03,March,9694.1
CEU6054000001,2020,M02,February,9739.8
CEU6054000001,2020,M01,January,9639.4
CEU6054000001,2019,M12,December,9676.7
CEU6054000001,2019,M11,November,9667.2
CEU6054000001,2019,M10,October,9610.6
CEU6054000001,2019,M09,September,9506.0
CEU6054000001,2019,M08,August,9576.6
CEU6054000001,2019,M07,July,9582.6
CEU6054000001,2019,M06,June,9514.9
CEU6054000001,2019,M05,May,9439.0
CEU6054000001,2019,M04,April,9520.2
CEU6054000001,2019,M03,March,9479.6
CEU6054000001,2019,M02,February,9470.4
CEU6054000001,2019,M01,January,9384.9
CEU6054000001,2018,M12,December,9419.4
CEU6054000001,2018,M11,November,9402.9
CEU6054000001,2018,M10,October,9350.6
CEU6054000001,2018,M09,September,9241.9
CEU6054000001,2018,M08,August,9308.1
CEU6054000001,2018,M07,July,9306.3
CEU6054000001,2018,M06,June,9262.0
CEU6054000001,2018,M05,May,9195.7
CEU6054000001,2018,M04,April,9276.0
CEU6054000001,2018,M03,March,9235.0
CEU6054000001,2018,M02,February,9232.8
CEU6054000001,2018,M01,January,9149.1
