STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,COUNTERPART_AREA,Counterpart area,TRADE_FLOW,Trade flow,PRODUCT_TYPE,Product type,SERVICE,Service,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,METHODOLOGY_TYPE,Methodology type,UNIT_MULT,Unit multiplier,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,IND,India,X,Exports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2018,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,CHN,China (People’s Republic of),X,Exports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2017,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,IND,India,X,Exports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2017,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,CHN,China (People’s Republic of),X,Exports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2019,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,IND,India,X,Exports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2019,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,X,Exports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2019,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,CHN,China (People’s Republic of),X,Exports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2016,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,IND,India,X,Exports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2016,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,CHN,China (People’s Republic of),X,Exports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2020,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,IND,India,X,Exports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2020,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,X,Exports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2020,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SJ3,"Technical, trade-related, and other business services",A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2018,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,CHN,China (People’s Republic of),M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2020,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,IND,India,M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2020,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2020,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,USA,United States,M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2019,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,CHN,China (People’s Republic of),M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2019,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,IND,India,M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2019,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2019,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,CHN,China (People’s Republic of),M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2016,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,IND,India,M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2016,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SI,"Telecommunications, computer, and information services",A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2016,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2016,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,USA,United States,M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2017,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,IND,India,M,Imports,S,Services,SE,Construction,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2017,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
