REF_AREA,COUNTERPART_AREA,TRADE_FLOW,SERVICE,TIME_PERIOD,OBS_VALUE,ADJUSTMENT,UNIT_MEASURE,OBS_STATUS,corridor,service_name,source_url
CHN,GBR,M,SE,2015,67.054957,B,USD_EXC,I,China imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SE,2016,89.732192,B,USD_EXC,I,China imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SE,2017,88.448852,B,USD_EXC,I,China imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SE,2018,82.440493,B,USD_EXC,I,China imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SE,2019,54.784679,B,USD_EXC,I,China imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SE,2020,112.092838,B,USD_EXC,I,China imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SE,2021,72.601491,B,USD_EXC,I,China imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SE,2022,47.36831,B,USD_EXC,I,China imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SE,2023,59.83146,B,USD_EXC,I,China imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SE,2024,70.758568,B,USD_EXC,I,China imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SI,2015,971.348726,B,USD_EXC,I,China imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SI,2016,1046.186467,B,USD_EXC,I,China imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SI,2017,1234.500504,B,USD_EXC,I,China imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SI,2018,1491.953491,B,USD_EXC,I,China imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SI,2019,1639.282524,B,USD_EXC,I,China imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SI,2020,2251.976772,B,USD_EXC,I,China imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SI,2021,2703.789001,B,USD_EXC,I,China imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SI,2022,2402.977767,B,USD_EXC,I,China imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SI,2023,2266.777768,B,USD_EXC,I,China imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SI,2024,2404.115901,B,USD_EXC,I,China imports from UK,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SJ3,2015,680.918491,B,USD_EXC,I,China imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SJ3,2016,779.591083,B,USD_EXC,I,China imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SJ3,2017,668.848482,B,USD_EXC,I,China imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SJ3,2018,932.077016,B,USD_EXC,I,China imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SJ3,2019,739.008744,B,USD_EXC,I,China imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SJ3,2020,675.802874,B,USD_EXC,I,China imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SJ3,2021,766.684136,B,USD_EXC,I,China imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SJ3,2022,714.763075,B,USD_EXC,I,China imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SJ3,2023,942.943179,B,USD_EXC,I,China imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
CHN,GBR,M,SJ3,2024,954.646932,B,USD_EXC,I,China imports from UK,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/CHN.GBR.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SE,2015,58.934042,B,USD_EXC,I,India imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SE,2016,47.837231,B,USD_EXC,I,India imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
IND,GBR,M,SE,2017,28.510879,B,USD_EXC,I,India imports from UK,Construction services (SE),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/IND.GBR.M.S.SE.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
