importer,partner,year,value,iso3,ai_M_2024,ai_F_2024,ai_M_2021,ai_F_2021,dM,dF,gap24,ai_M,ai_F,logv,ihs,post,post20,post_x_dM,post_x_dF,post_x_M24,post_x_F24,post_x_gap,fake_x_dM
ROU,IND,2018,18.189512,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,2.900845164242723,3.5947471001938287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,PHL,2018,4.919153,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,1.5931363612123899,2.2964584180053236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,VNM,2018,1.330194,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,0.28532479625810125,1.0967272684635612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,IND,2020,50.036097,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,3.912744684954821,4.605991706329531,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.380000000000001
ROU,PHL,2020,4.955868,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,1.6005723290296279,2.303746411953177,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.380000000000001
ROU,IND,2019,60.01501,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,4.094594697602305,4.78781128064891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,PHL,2019,4.012616,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,1.3894433976955791,2.0977678438883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,VNM,2019,2.061074,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,0.7232272061642903,1.470619666636272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,VNM,2020,2.2186,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,0.7968763663224222,1.537330377415858,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.380000000000001
ROU,IND,2022,77.888381,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,4.3552767889923745,5.048465176250023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.380000000000001
ROU,PHL,2022,8.080873,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,2.089499911251067,2.7864537455177705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.380000000000001
ROU,VNM,2022,1.874058,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,,,0.6281061331772086,1.3858509802874035,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.380000000000001
ROU,IND,2021,52.942311,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,6.68,0.05,3.9692028490384756,4.6624392113754904,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.380000000000001
ROU,PHL,2021,7.977753,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,6.68,0.05,2.0766567928635538,2.773709095380476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.380000000000001
ROU,VNM,2021,2.207303,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,6.68,0.05,0.7917714082906401,1.5326783478567654,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.380000000000001
ROU,IND,2024,67.608374,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,9.06,0.18,4.213731851116598,4.906933721106839,1.0,1.0,2.380000000000001,0.13,9.06,0.18,8.88,2.380000000000001
ROU,PHL,2024,11.322534,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,9.06,0.18,2.426794899314114,3.121886481649012,1.0,1.0,2.380000000000001,0.13,9.06,0.18,8.88,2.380000000000001
ROU,VNM,2024,2.028867,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,9.06,0.18,0.7074775091634242,1.4564711560261125,1.0,1.0,2.380000000000001,0.13,9.06,0.18,8.88,2.380000000000001
ROU,IND,2023,43.027884,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,7.21,0.13,3.7618483706471886,4.455130556899909,1.0,1.0,2.380000000000001,0.13,9.06,0.18,8.88,2.380000000000001
ROU,PHL,2023,7.390064,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,7.21,0.13,2.0001363952744367,2.697830120132909,1.0,1.0,2.380000000000001,0.13,9.06,0.18,8.88,2.380000000000001
ROU,VNM,2023,1.705605,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,7.21,0.13,0.5339198865047913,1.3036587988123407,1.0,1.0,2.380000000000001,0.13,9.06,0.18,8.88,2.380000000000001
ESP,IND,2021,90.973139,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,13.72,3.77,4.510564287119716,5.203741673732019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.35
ESP,PHL,2021,42.090613,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,13.72,3.77,3.7398247467058856,4.433113011212079,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.35
ESP,VNM,2021,10.900696,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,13.72,3.77,2.3888266404075775,3.0840711433395485,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.35
ESP,IND,2022,109.442626,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,4.6954004484694085,5.388568500516844,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.35
ESP,PHL,2022,51.236458,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,3.9364513489561834,4.629693747675311,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.35
ESP,VNM,2022,11.999021,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,,,2.484825063126566,3.1797041328813718,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.35
ESP,IND,2023,157.475938,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,16.14,4.63,5.059272671991285,5.7524299335841675,1.0,1.0,12.35,0.6599999999999997,26.07,4.43,21.64,12.35
ESP,PHL,2023,54.904546,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,16.14,4.63,4.005596150187514,4.698826252673359,1.0,1.0,12.35,0.6599999999999997,26.07,4.43,21.64,12.35
ESP,VNM,2023,20.304951,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,16.14,4.63,3.0108647479366297,3.704617745496522,1.0,1.0,12.35,0.6599999999999997,26.07,4.43,21.64,12.35
