SOC10M code,SOC10M - Description,Probability of automation
1115,Chief executives and senior officials,0.23620691895484924
1116,Elected officers and representatives,0.3195502460002899
1121,Production managers and directors in manufacturing,0.29812881350517273
1122,Production managers and directors in construction,0.29943665862083435
1123,Production managers and directors in mining and energy,0.2745286226272583
1131,Financial managers and directors,0.3006722629070282
1132,Marketing and sales directors,0.2766572833061218
1133,Purchasing managers and directors,0.29882580041885376
1134,Advertising and public relations directors,0.2607131004333496
1135,Human resource managers and directors,0.28316372632980347
1136,Information technology and telecommunications directors,0.25176429748535156
1139,Functional managers and directors n.e.c.,0.27574408054351807
1150,Financial institution managers and directors,0.3034062385559082
1161,Managers and directors in transport and distribution,0.3138808310031891
1162,Managers and directors in storage and warehousing,0.35135117173194885
1171,Officers in armed forces,0.23044633865356445
1172,Senior police officers,0.22996164858341217
1173,"Senior officers in fire, ambulance, prison and related services",0.2434692084789276
1181,Health services and public health managers and directors,0.2378009706735611
1184,Social services managers and directors,0.24221913516521454
1190,Managers and directors in retail and wholesale,0.37012383341789246
1211,Managers and proprietors in agriculture and horticulture,0.36437419056892395
1213,"Managers and proprietors in forestry, fishing and related services",0.3508394956588745
1221,Hotel and accommodation managers and proprietors,0.3629909157752991
1223,Restaurant and catering establishment managers and proprietors,0.38754385709762573
1224,Publicans and managers of licensed premises,0.3917560577392578
1225,Leisure and sports managers,0.3159177303314209
1226,Travel agency managers and proprietors,0.3164916932582855
1241,Health care practice managers,0.3026668131351471
1242,"Residential, day and domiciliary  care managers and proprietors",0.29909905791282654
1251,"Property, housing and estate managers",0.3147977590560913
1252,Garage managers and proprietors,0.36473095417022705
1253,Hairdressing and beauty salon managers and proprietors,0.3655434846878052
1254,Shopkeepers and proprietors – wholesale and retail,0.4205455482006073
1255,Waste disposal and environmental services managers,0.3041657507419586
1259,Managers and proprietors in other services n.e.c.,0.3023885190486908
2111,Chemical scientists,0.2595060169696808
2112,Biological scientists and biochemists,0.22816123068332672
2113,Physical scientists,0.221268892288208
2114,Social and humanities scientists,0.23351381719112396
2119,Natural and social science professionals n.e.c.,0.22138351202011108
2121,Civil engineers,0.25238144397735596
2122,Mechanical engineers,0.2916375696659088
2123,Electrical engineers,0.2950177490711212
2124,Electronics engineers,0.2872900366783142
2126,Design and development engineers,0.2776157855987549
2127,Production and process engineers,0.30893805623054504
2129,Engineering professionals n.e.c.,0.2888244092464447
2133,IT specialist managers,0.24414503574371338
2134,IT project and programme managers,0.24492031335830688
2135,"IT business analysts, architects and systems designers",0.284349262714386
2136,Programmers and software development professionals,0.2738589346408844
2137,Web design and development professionals,0.2955738604068756
2139,Information technology and telecommunications professionals n.e.c.,0.27966147661209106
2141,Conservation professionals,0.24208751320838928
2142,Environment professionals,0.23709146678447723
2150,Research and development managers,0.22232379019260406
2211,Medical practitioners,0.1810661256313324
2212,Psychologists,0.20866923034191132
2213,Pharmacists,0.24181248247623444
2214,Ophthalmic opticians,0.2660837173461914
2215,Dental practitioners,0.2078481763601303
2216,Veterinarians,0.23501327633857727
2217,Medical radiographers,0.2098505049943924
2218,Podiatrists,0.2537092864513397
2219,Health professionals n.e.c.,0.2555766999721527
2221,Physiotherapists,0.21230193972587585
2222,Occupational therapists,0.21478062868118286
2223,Speech and language therapists,0.222490593791008
2229,Therapy professionals n.e.c.,0.24694210290908813
2231,Nurses,0.24661800265312195
2232,Midwives,0.24089203774929047
2311,Higher education teaching professionals,0.20271934568881989
2312,Further education teaching professionals,0.23102828860282898
2314,Secondary education teaching professionals,0.20608684420585632
2315,Primary and nursery education teaching professionals,0.22030825912952423
2316,Special needs education teaching professionals,0.23882298171520233
2317,Senior professionals of educational establishments,0.20559753477573395
2318,Education advisers and school inspectors,0.22516103088855743
2319,Teaching and other educational professionals n.e.c.,0.2717711627483368
2412,Barristers and judges,0.2448795586824417
2413,Solicitors,0.22627998888492584
2419,Legal professionals n.e.c.,0.2430562824010849
2421,Chartered and certified accountants,0.25984087586402893
2423,Management consultants and business analysts,0.27087604999542236
2424,Business and financial project management professionals,0.24866056442260742
2425,"Actuaries, economists and statisticians",0.23227430880069733
2426,Business and related research professionals,0.280643492937088
2429,"Business, research and administrative professionals n.e.c.",0.24138519167900085
2431,Architects,0.2248302847146988
2432,Town planning officers,0.22864361107349396
2433,Quantity surveyors,0.2737152874469757
2434,Chartered surveyors,0.24633678793907166
2435,Chartered architectural technologists,0.2706884741783142
2436,Construction project managers and related professionals,0.25703707337379456
2442,Social workers,0.25259342789649963
2443,Probation officers,0.25632524490356445
2444,Clergy,0.22093304991722107
2449,Welfare professionals n.e.c.,0.2863190770149231
2451,Librarians,0.26732301712036133
2452,Archivists and curators,0.2491282969713211
2461,Quality control and planning engineers,0.31801939010620117
2462,Quality assurance and regulatory professionals,0.2657783329486847
2463,Environmental health professionals,0.23439300060272217
2471,"Journalists, newspaper and periodical editors",0.2512274384498596
2472,Public relations professionals,0.27456361055374146
2473,Advertising accounts managers and creative directors,0.2525818347930908
3111,Laboratory technicians,0.3781249523162842
3112,Electrical and electronics technicians,0.40304702520370483
3113,Engineering technicians,0.3922782838344574
3114,Building and civil engineering technicians,0.37766748666763306
3115,Quality assurance technicians,0.417094886302948
3116,"Planning, process and production technicians",0.40809741616249084
3119,"Science, engineering and production technicians n.e.c.",0.4070529639720917
3121,Architectural and town planning technicians,0.346049427986145
3122,Draughtspersons,0.3867362439632416
3131,IT operations technicians,0.3735257089138031
3132,IT user support technicians,0.3942646086215973
3213,Paramedics,0.27942439913749695
3216,Dispensing opticians,0.4534115791320801
3217,Pharmaceutical technicians,0.46001410484313965
3218,Medical and dental technicians,0.3636668622493744
3219,Health associate professionals n.e.c.,0.35298678278923035
3231,Youth and community workers,0.37257102131843567
3233,Child and early years officers,0.3797645568847656
3234,Housing officers,0.39127832651138306
3235,Counsellors,0.3791709840297699
3239,Welfare and housing associate professionals n.e.c.,0.37450411915779114
3311,NCOs and other ranks,0.32304346561431885
3312,Police officers (sergeant and below),0.33277037739753723
3313,Fire service officers (watch manager and below),0.34888210892677307
3314,Prison service officers (below principal officer),0.3932092487812042
3315,Police community support officers,0.4083879888057709
3319,Protective service associate professionals n.e.c.,0.3406275510787964
3411,Artists,0.34488481283187866
3412,"Authors, writers and translators",0.34834593534469604
3413,"Actors, entertainers and presenters",0.4444624185562134
3414,Dancers and choreographers,0.48100516200065613
3415,Musicians,0.33351999521255493
3416,"Arts officers, producers and directors",0.29344597458839417
3417,"Photographers, audio-visual and broadcasting equipment operators",0.3653830885887146
3421,Graphic designers,0.369537353515625
3422,"Product, clothing and related designers",0.38686275482177734
3441,Sports players,0.49908724427223206
3442,"Sports coaches, instructors and officials",0.4421488046646118
3443,Fitness instructors,0.4597170054912567
3511,Air traffic controllers,0.3152209520339966
3512,Aircraft pilots and flight engineers,0.27795758843421936
3513,Ship and hovercraft officers,0.3302691876888275
3520,Legal associate professionals,0.38648608326911926
3531,"Estimators, valuers and assessors",0.399107962846756
3532,Brokers,0.35680094361305237
3533,Insurance underwriters,0.4193202555179596
3534,Finance and investment analysts and advisers,0.3677152097225189
3535,Taxation experts,0.34660467505455017
3536,Importers and exporters,0.40707337856292725
3537,Financial and accounting technicians,0.3828548192977905
3538,Financial accounts managers,0.3648229241371155
3539,Business and related associate professionals n.e.c.,0.36067986488342285
3541,Buyers and procurement officers,0.41563335061073303
3542,Business sales executives,0.4383430480957031
3543,Marketing associate professionals,0.4256710708141327
3544,Estate agents and auctioneers,0.4505619406700134
3545,Sales accounts and business development managers,0.349972665309906
3546,Conference and exhibition managers and organisers,0.3964512050151825
3550,Conservation and environmental associate professionals,0.3483380079269409
3561,Public services associate professionals,0.3541732430458069
3562,Human resources and industrial relations officers,0.39799821376800537
3563,Vocational and industrial trainers and instructors,0.36675307154655457
3564,Careers advisers and vocational guidance specialists,0.37398645281791687
3565,Inspectors of standards and regulations,0.33613622188568115
3567,Health and safety officers,0.35873037576675415
4112,National government administrative occupations,0.5096648335456848
4113,Local government administrative occupations,0.5101878046989441
4114,Officers of non-governmental organisations,0.520170271396637
4121,Credit controllers,0.5974540114402771
4122,"Book-keepers, payroll managers and wages clerks",0.56406170129776
4123,Bank and post office clerks,0.5885438323020935
4124,Finance officers,0.48167017102241516
4129,Financial administrative occupations n.e.c.,0.5800942778587341
4131,Records clerks and assistants,0.5609365105628967
4132,Pensions and insurance clerks and assistants,0.5762102007865906
4133,Stock control clerks and assistants,0.5956900119781494
4134,Transport and distribution clerks and assistants,0.5443822145462036
4135,Library clerks and assistants,0.5237473845481873
4138,Human resources administrative occupations,0.5801340937614441
4151,Sales administrators,0.6085905432701111
4159,Other administrative occupations n.e.c.,0.5854169130325317
4161,Office managers,0.4706073999404907
4162,Office supervisors,0.48741060495376587
4211,Medical secretaries,0.5568041801452637
4212,Legal secretaries,0.6157217621803284
4213,School secretaries,0.5473871827125549
4214,Company secretaries,0.5825671553611755
4215,Personal assistants and other secretaries,0.5823671221733093
4216,Receptionists,0.618327796459198
4217,Typists and related keyboard occupations,0.5816107988357544
5111,Farmers,0.36864370107650757
5112,Horticultural trades,0.3840814232826233
5113,Gardeners and landscape gardeners,0.31730222702026367
5114,Groundsmen and greenkeepers,0.326709508895874
5119,Agricultural and fishing trades n.e.c.,0.3460189402103424
5211,Smiths and forge workers,0.5552772879600525
5212,"Moulders, core makers and die casters",0.551765501499176
5213,Sheet metal workers,0.5423148274421692
5214,"Metal plate workers, and riveters",0.5489872694015503
5215,Welding trades,0.5539441108703613
5216,Pipe fitters,0.5316702723503113
5221,Metal machining setters and setter-operators,0.5470559597015381
5222,"Tool makers, tool fitters and markers-out",0.5290840268135071
5223,Metal working production and maintenance fitters,0.5210207104682922
5224,Precision instrument makers and repairers,0.503629207611084
5225,Air-conditioning and refrigeration engineers,0.5135941505432129
5231,"Vehicle technicians, mechanics and electricians",0.55864417552948
5232,Vehicle body builders and repairers ,0.5709638595581055
5234,Vehicle paint technicians,0.5735816955566406
5235,Aircraft maintenance and related trades,0.48034995794296265
5236,Boat and ship builders and repairers,0.5004865527153015
5237,Rail and rolling stock builders and repairers,0.48920774459838867
5241,Electricians and electrical fitters,0.5074678659439087
5242,Telecommunications engineers,0.49082502722740173
5244,"TV, video and audio engineers",0.49055081605911255
5245,IT engineers,0.4579986333847046
5249,Electrical and electronic trades n.e.c.,0.49341708421707153
5250,"Skilled metal, electrical and electronic trades supervisors",0.42661550641059875
5311,Steel erectors,0.5222327709197998
5312,Bricklayers and masons,0.5425021648406982
5313,"Roofers, roof tilers and slaters",0.5399675965309143
5314,Plumbers and heating and ventilating engineers,0.5211256146430969
5315,Carpenters and joiners,0.5343400239944458
5316,"Glaziers, window fabricators and fitters",0.5529184937477112
5319,Construction and building trades n.e.c.,0.49613630771636963
