Import flow,Service,2019 (USD m),2024 (USD m),Change
UK imports from India,SJ3 technical and other business services,"2,186.6","4,979.3",127.7%
India imports from UK,SJ3 technical and other business services,787.6,"1,554.2",97.3%
UK imports from China,SJ3 technical and other business services,775.5,"1,546.0",99.3%
China imports from UK,SJ3 technical and other business services,739.0,954.6,29.2%
UK imports from India,SE construction services,41.9,72.8,73.7%
India imports from UK,SE construction services,39.3,72.6,84.8%
UK imports from China,SE construction services,118.5,179.8,51.7%
China imports from UK,SE construction services,54.8,70.8,29.2%
UK imports from India,SI computer and information services,"2,215.3","4,723.0",113.2%
India imports from UK,SI computer and information services,389.2,707.6,81.8%
UK imports from China,SI computer and information services,724.7,"1,054.5",45.5%
China imports from UK,SI computer and information services,"1,639.3","2,404.1",46.7%

Note,"Source: OECD–WTO BaTIS, adjustment B. Values are balanced imports in current USD million."
