partner,bop_item,stk_flow,status,raw,kept
IN,SJ312,DEB,ok,352,149
IN,SJ312,CRE,ok,362,153
IN,SJ31,DEB,ok,354,138
IN,SJ31,CRE,ok,372,142
IN,SJ311,DEB,ok,325,129
IN,SJ311,CRE,ok,326,117
IN,SJ313,DEB,ok,338,137
IN,SJ313,CRE,ok,343,142
IN,SJ3,DEB,ok,431,184
IN,SJ3,CRE,ok,434,184
IN,SE,DEB,ok,424,163
IN,SE,CRE,ok,418,158
IN,SI,DEB,ok,453,183
IN,SI,CRE,ok,435,166
CN,SJ312,DEB,empty,0,0
CN,SJ312,CRE,empty,0,0
CN,SJ31,DEB,empty,0,0
CN,SJ31,CRE,empty,0,0
CN,SJ311,DEB,empty,0,0
CN,SJ311,CRE,empty,0,0
CN,SJ313,DEB,empty,0,0
CN,SJ313,CRE,empty,0,0
CN,SJ3,DEB,empty,0,0
CN,SJ3,CRE,empty,0,0
CN,SE,DEB,empty,0,0
CN,SE,CRE,empty,0,0
CN,SI,DEB,empty,0,0
CN,SI,CRE,empty,0,0
PH,SJ312,DEB,ok,345,126
PH,SJ312,CRE,ok,349,129
PH,SJ31,DEB,ok,361,126
PH,SJ31,CRE,ok,377,132
PH,SJ311,DEB,ok,365,148
PH,SJ311,CRE,ok,355,140
PH,SJ313,DEB,ok,331,123
PH,SJ313,CRE,ok,332,120
PH,SJ3,DEB,ok,404,165
PH,SJ3,CRE,ok,416,177
PH,SE,DEB,ok,407,155
PH,SE,CRE,ok,407,155
PH,SI,DEB,ok,409,172
PH,SI,CRE,ok,406,173
VN,SJ312,DEB,empty,0,0
VN,SJ312,CRE,empty,0,0
VN,SJ31,DEB,empty,0,0
VN,SJ31,CRE,empty,0,0
VN,SJ311,DEB,empty,0,0
VN,SJ311,CRE,empty,0,0
VN,SJ313,DEB,empty,0,0
VN,SJ313,CRE,empty,0,0
VN,SJ3,DEB,empty,0,0
VN,SJ3,CRE,empty,0,0
VN,SE,DEB,empty,0,0
VN,SE,CRE,empty,0,0
VN,SI,DEB,empty,0,0
VN,SI,CRE,empty,0,0
CN_X_HK,SE,CRE,ok,,160
CN_X_HK,SE,DEB,ok,,164
CN_X_HK,SI,CRE,ok,,173
CN_X_HK,SI,DEB,ok,,183
CN_X_HK,SJ3,CRE,ok,,175
CN_X_HK,SJ3,DEB,ok,,175
CN_X_HK,SJ31,CRE,ok,,151
CN_X_HK,SJ31,DEB,ok,,141
CN_X_HK,SJ311,CRE,ok,,121
CN_X_HK,SJ311,DEB,ok,,120
CN_X_HK,SJ312,CRE,ok,,148
CN_X_HK,SJ312,DEB,ok,,148
CN_X_HK,SJ313,CRE,ok,,148
CN_X_HK,SJ313,DEB,ok,,145
