dataset,bop_item,stk_flow,partner,geo,year,currency,value
bop_its6_det,SJ312,DEB,US,AT,2015,MIO_EUR,25.0
bop_its6_det,SJ312,DEB,US,AT,2016,MIO_EUR,24.0
bop_its6_det,SJ312,DEB,US,AT,2017,MIO_EUR,20.0
bop_its6_det,SJ312,DEB,US,AT,2018,MIO_EUR,30.0
bop_its6_det,SJ312,DEB,US,AT,2019,MIO_EUR,26.0
bop_its6_det,SJ312,DEB,US,AT,2020,MIO_EUR,27.0
bop_its6_det,SJ312,DEB,US,AT,2021,MIO_EUR,33.0
bop_its6_det,SJ312,DEB,US,AT,2022,MIO_EUR,51.0
bop_its6_det,SJ312,DEB,US,AT,2023,MIO_EUR,58.0
bop_its6_det,SJ312,DEB,US,AT,2024,MIO_EUR,61.0
bop_its6_det,SJ312,DEB,US,BE,2020,MIO_EUR,95.0
bop_its6_det,SJ312,DEB,US,BE,2021,MIO_EUR,81.0
bop_its6_det,SJ312,DEB,US,BE,2022,MIO_EUR,138.0
bop_its6_det,SJ312,DEB,US,BE,2023,MIO_EUR,137.0
bop_its6_det,SJ312,DEB,US,BE,2024,MIO_EUR,445.0
bop_its6_det,SJ312,DEB,US,CZ,2015,MIO_EUR,11.1
bop_its6_det,SJ312,DEB,US,CZ,2016,MIO_EUR,6.1
bop_its6_det,SJ312,DEB,US,CZ,2017,MIO_EUR,8.1
bop_its6_det,SJ312,DEB,US,CZ,2018,MIO_EUR,5.4
bop_its6_det,SJ312,DEB,US,CZ,2019,MIO_EUR,2.7
bop_its6_det,SJ312,DEB,US,CZ,2020,MIO_EUR,3.4
bop_its6_det,SJ312,DEB,US,CZ,2021,MIO_EUR,2.3
bop_its6_det,SJ312,DEB,US,CZ,2022,MIO_EUR,12.4
bop_its6_det,SJ312,DEB,US,CZ,2023,MIO_EUR,10.1
bop_its6_det,SJ312,DEB,US,CZ,2024,MIO_EUR,3.7
bop_its6_det,SJ312,DEB,US,DE,2016,MIO_EUR,405.0
bop_its6_det,SJ312,DEB,US,DE,2020,MIO_EUR,478.0
bop_its6_det,SJ312,DEB,US,DE,2021,MIO_EUR,574.0
bop_its6_det,SJ312,DEB,US,DE,2024,MIO_EUR,691.0
bop_its6_det,SJ312,DEB,US,DK,2015,MIO_EUR,50.3
bop_its6_det,SJ312,DEB,US,DK,2016,MIO_EUR,66.9
bop_its6_det,SJ312,DEB,US,DK,2017,MIO_EUR,59.0
bop_its6_det,SJ312,DEB,US,DK,2018,MIO_EUR,55.5
bop_its6_det,SJ312,DEB,US,DK,2019,MIO_EUR,65.5
bop_its6_det,SJ312,DEB,US,DK,2020,MIO_EUR,44.5
bop_its6_det,SJ312,DEB,US,DK,2021,MIO_EUR,49.9
bop_its6_det,SJ312,DEB,US,DK,2022,MIO_EUR,67.5
bop_its6_det,SJ312,DEB,US,DK,2023,MIO_EUR,81.9
bop_its6_det,SJ312,DEB,US,DK,2024,MIO_EUR,48.7
bop_its6_det,SJ312,DEB,US,EL,2015,MIO_EUR,2.8
bop_its6_det,SJ312,DEB,US,EL,2016,MIO_EUR,2.5
bop_its6_det,SJ312,DEB,US,EL,2017,MIO_EUR,2.9
bop_its6_det,SJ312,DEB,US,EL,2018,MIO_EUR,2.8
bop_its6_det,SJ312,DEB,US,EL,2019,MIO_EUR,2.4
bop_its6_det,SJ312,DEB,US,EL,2020,MIO_EUR,1.8
bop_its6_det,SJ312,DEB,US,EL,2021,MIO_EUR,2.3
bop_its6_det,SJ312,DEB,US,EL,2022,MIO_EUR,4.6
bop_its6_det,SJ312,DEB,US,EL,2023,MIO_EUR,3.7
bop_its6_det,SJ312,DEB,US,EL,2024,MIO_EUR,3.6
bop_its6_det,SJ312,DEB,US,ES,2016,MIO_EUR,81.0
bop_its6_det,SJ312,DEB,US,ES,2017,MIO_EUR,72.0
bop_its6_det,SJ312,DEB,US,ES,2019,MIO_EUR,65.0
bop_its6_det,SJ312,DEB,US,ES,2020,MIO_EUR,103.0
bop_its6_det,SJ312,DEB,US,ES,2021,MIO_EUR,97.0
bop_its6_det,SJ312,DEB,US,ES,2024,MIO_EUR,103.0
bop_its6_det,SJ312,DEB,US,EU27_2020,2015,MIO_EUR,1337.4
bop_its6_det,SJ312,DEB,US,EU27_2020,2016,MIO_EUR,1687.1
bop_its6_det,SJ312,DEB,US,EU27_2020,2017,MIO_EUR,1460.7
bop_its6_det,SJ312,DEB,US,EU27_2020,2018,MIO_EUR,1793.1
bop_its6_det,SJ312,DEB,US,EU27_2020,2019,MIO_EUR,1553.5
bop_its6_det,SJ312,DEB,US,EU27_2020,2020,MIO_EUR,1323.1
bop_its6_det,SJ312,DEB,US,EU27_2020,2021,MIO_EUR,1484.3
bop_its6_det,SJ312,DEB,US,EU27_2020,2022,MIO_EUR,1911.8
bop_its6_det,SJ312,DEB,US,EU27_2020,2023,MIO_EUR,1960.1
bop_its6_det,SJ312,DEB,US,EU27_2020,2024,MIO_EUR,2799.3
bop_its6_det,SJ312,DEB,US,FI,2015,MIO_EUR,5.0
bop_its6_det,SJ312,DEB,US,FI,2016,MIO_EUR,4.0
bop_its6_det,SJ312,DEB,US,FI,2017,MIO_EUR,7.0
bop_its6_det,SJ312,DEB,US,FI,2018,MIO_EUR,10.0
bop_its6_det,SJ312,DEB,US,FI,2019,MIO_EUR,14.0
bop_its6_det,SJ312,DEB,US,FI,2020,MIO_EUR,11.0
bop_its6_det,SJ312,DEB,US,FI,2021,MIO_EUR,27.0
