dataset,isco08,isco08_label,geo,year,unit,age,sex,value
lfsa_egai2d,OC21,Science and engineering professionals,AT,2015,THS_PER,Y15-64,T,109.7
lfsa_egai2d,OC21,Science and engineering professionals,AT,2016,THS_PER,Y15-64,T,114.7
lfsa_egai2d,OC21,Science and engineering professionals,AT,2017,THS_PER,Y15-64,T,116.9
lfsa_egai2d,OC21,Science and engineering professionals,AT,2018,THS_PER,Y15-64,T,134.3
lfsa_egai2d,OC21,Science and engineering professionals,AT,2019,THS_PER,Y15-64,T,126.4
lfsa_egai2d,OC21,Science and engineering professionals,AT,2020,THS_PER,Y15-64,T,128.4
lfsa_egai2d,OC21,Science and engineering professionals,AT,2021,THS_PER,Y15-64,T,134.0
lfsa_egai2d,OC21,Science and engineering professionals,AT,2022,THS_PER,Y15-64,T,134.6
lfsa_egai2d,OC21,Science and engineering professionals,AT,2023,THS_PER,Y15-64,T,145.0
lfsa_egai2d,OC21,Science and engineering professionals,AT,2024,THS_PER,Y15-64,T,149.7
lfsa_egai2d,OC21,Science and engineering professionals,AT,2025,THS_PER,Y15-64,T,140.3
lfsa_egai2d,OC21,Science and engineering professionals,BE,2015,THS_PER,Y15-64,T,126.2
lfsa_egai2d,OC21,Science and engineering professionals,BE,2016,THS_PER,Y15-64,T,126.7
lfsa_egai2d,OC21,Science and engineering professionals,BE,2017,THS_PER,Y15-64,T,144.8
lfsa_egai2d,OC21,Science and engineering professionals,BE,2018,THS_PER,Y15-64,T,151.8
lfsa_egai2d,OC21,Science and engineering professionals,BE,2019,THS_PER,Y15-64,T,158.7
lfsa_egai2d,OC21,Science and engineering professionals,BE,2020,THS_PER,Y15-64,T,150.2
lfsa_egai2d,OC21,Science and engineering professionals,BE,2021,THS_PER,Y15-64,T,159.4
lfsa_egai2d,OC21,Science and engineering professionals,BE,2022,THS_PER,Y15-64,T,159.7
lfsa_egai2d,OC21,Science and engineering professionals,BE,2023,THS_PER,Y15-64,T,168.9
lfsa_egai2d,OC21,Science and engineering professionals,BE,2024,THS_PER,Y15-64,T,177.7
lfsa_egai2d,OC21,Science and engineering professionals,BE,2025,THS_PER,Y15-64,T,195.6
lfsa_egai2d,OC21,Science and engineering professionals,CZ,2015,THS_PER,Y15-64,T,114.3
lfsa_egai2d,OC21,Science and engineering professionals,CZ,2016,THS_PER,Y15-64,T,125.5
lfsa_egai2d,OC21,Science and engineering professionals,CZ,2017,THS_PER,Y15-64,T,139.1
lfsa_egai2d,OC21,Science and engineering professionals,CZ,2018,THS_PER,Y15-64,T,138.2
lfsa_egai2d,OC21,Science and engineering professionals,CZ,2019,THS_PER,Y15-64,T,134.5
lfsa_egai2d,OC21,Science and engineering professionals,CZ,2020,THS_PER,Y15-64,T,140.4
lfsa_egai2d,OC21,Science and engineering professionals,CZ,2021,THS_PER,Y15-64,T,149.1
lfsa_egai2d,OC21,Science and engineering professionals,CZ,2022,THS_PER,Y15-64,T,160.2
lfsa_egai2d,OC21,Science and engineering professionals,CZ,2023,THS_PER,Y15-64,T,164.6
lfsa_egai2d,OC21,Science and engineering professionals,CZ,2024,THS_PER,Y15-64,T,170.3
lfsa_egai2d,OC21,Science and engineering professionals,CZ,2025,THS_PER,Y15-64,T,167.5
lfsa_egai2d,OC21,Science and engineering professionals,DE,2015,THS_PER,Y15-64,T,1376.2
lfsa_egai2d,OC21,Science and engineering professionals,DE,2016,THS_PER,Y15-64,T,1467.1
lfsa_egai2d,OC21,Science and engineering professionals,DE,2017,THS_PER,Y15-64,T,1472.1
lfsa_egai2d,OC21,Science and engineering professionals,DE,2018,THS_PER,Y15-64,T,1463.3
lfsa_egai2d,OC21,Science and engineering professionals,DE,2019,THS_PER,Y15-64,T,1472.4
lfsa_egai2d,OC21,Science and engineering professionals,DE,2020,THS_PER,Y15-64,T,1498.6
lfsa_egai2d,OC21,Science and engineering professionals,DE,2021,THS_PER,Y15-64,T,1717.7
lfsa_egai2d,OC21,Science and engineering professionals,DE,2022,THS_PER,Y15-64,T,1716.2
lfsa_egai2d,OC21,Science and engineering professionals,DE,2023,THS_PER,Y15-64,T,1717.7
lfsa_egai2d,OC21,Science and engineering professionals,DE,2024,THS_PER,Y15-64,T,1725.2
lfsa_egai2d,OC21,Science and engineering professionals,DE,2025,THS_PER,Y15-64,T,1853.6
lfsa_egai2d,OC21,Science and engineering professionals,DK,2015,THS_PER,Y15-64,T,71.8
lfsa_egai2d,OC21,Science and engineering professionals,DK,2016,THS_PER,Y15-64,T,77.0
lfsa_egai2d,OC21,Science and engineering professionals,DK,2017,THS_PER,Y15-64,T,77.5
lfsa_egai2d,OC21,Science and engineering professionals,DK,2018,THS_PER,Y15-64,T,82.4
lfsa_egai2d,OC21,Science and engineering professionals,DK,2019,THS_PER,Y15-64,T,89.8
lfsa_egai2d,OC21,Science and engineering professionals,DK,2020,THS_PER,Y15-64,T,94.3
lfsa_egai2d,OC21,Science and engineering professionals,DK,2021,THS_PER,Y15-64,T,93.2
lfsa_egai2d,OC21,Science and engineering professionals,DK,2022,THS_PER,Y15-64,T,91.5
lfsa_egai2d,OC21,Science and engineering professionals,DK,2023,THS_PER,Y15-64,T,97.4
lfsa_egai2d,OC21,Science and engineering professionals,DK,2024,THS_PER,Y15-64,T,109.5
lfsa_egai2d,OC21,Science and engineering professionals,DK,2025,THS_PER,Y15-64,T,114.4
lfsa_egai2d,OC21,Science and engineering professionals,EL,2015,THS_PER,Y15-64,T,105.5
lfsa_egai2d,OC21,Science and engineering professionals,EL,2016,THS_PER,Y15-64,T,117.6
lfsa_egai2d,OC21,Science and engineering professionals,EL,2017,THS_PER,Y15-64,T,119.7
lfsa_egai2d,OC21,Science and engineering professionals,EL,2018,THS_PER,Y15-64,T,115.3
lfsa_egai2d,OC21,Science and engineering professionals,EL,2019,THS_PER,Y15-64,T,112.3
lfsa_egai2d,OC21,Science and engineering professionals,EL,2020,THS_PER,Y15-64,T,122.4
lfsa_egai2d,OC21,Science and engineering professionals,EL,2021,THS_PER,Y15-64,T,117.3
lfsa_egai2d,OC21,Science and engineering professionals,EL,2022,THS_PER,Y15-64,T,131.3
lfsa_egai2d,OC21,Science and engineering professionals,EL,2023,THS_PER,Y15-64,T,137.0
lfsa_egai2d,OC21,Science and engineering professionals,EL,2024,THS_PER,Y15-64,T,152.2
lfsa_egai2d,OC21,Science and engineering professionals,EL,2025,THS_PER,Y15-64,T,162.0
lfsa_egai2d,OC21,Science and engineering professionals,ES,2015,THS_PER,Y15-64,T,494.2
lfsa_egai2d,OC21,Science and engineering professionals,ES,2016,THS_PER,Y15-64,T,516.6
lfsa_egai2d,OC21,Science and engineering professionals,ES,2017,THS_PER,Y15-64,T,516.7
lfsa_egai2d,OC21,Science and engineering professionals,ES,2018,THS_PER,Y15-64,T,539.2
lfsa_egai2d,OC21,Science and engineering professionals,ES,2019,THS_PER,Y15-64,T,555.3
lfsa_egai2d,OC21,Science and engineering professionals,ES,2020,THS_PER,Y15-64,T,551.4
lfsa_egai2d,OC21,Science and engineering professionals,ES,2021,THS_PER,Y15-64,T,606.3
lfsa_egai2d,OC21,Science and engineering professionals,ES,2022,THS_PER,Y15-64,T,606.8
lfsa_egai2d,OC21,Science and engineering professionals,ES,2023,THS_PER,Y15-64,T,692.4
lfsa_egai2d,OC21,Science and engineering professionals,ES,2024,THS_PER,Y15-64,T,723.0
lfsa_egai2d,OC21,Science and engineering professionals,ES,2025,THS_PER,Y15-64,T,742.5
lfsa_egai2d,OC21,Science and engineering professionals,EU27_2020,2015,THS_PER,Y15-64,T,5414.5
lfsa_egai2d,OC21,Science and engineering professionals,EU27_2020,2016,THS_PER,Y15-64,T,5585.5
lfsa_egai2d,OC21,Science and engineering professionals,EU27_2020,2017,THS_PER,Y15-64,T,5729.5
lfsa_egai2d,OC21,Science and engineering professionals,EU27_2020,2018,THS_PER,Y15-64,T,5901.7
lfsa_egai2d,OC21,Science and engineering professionals,EU27_2020,2019,THS_PER,Y15-64,T,6064.6
lfsa_egai2d,OC21,Science and engineering professionals,EU27_2020,2020,THS_PER,Y15-64,T,6251.2
lfsa_egai2d,OC21,Science and engineering professionals,EU27_2020,2021,THS_PER,Y15-64,T,6784.8
lfsa_egai2d,OC21,Science and engineering professionals,EU27_2020,2022,THS_PER,Y15-64,T,6982.7
lfsa_egai2d,OC21,Science and engineering professionals,EU27_2020,2023,THS_PER,Y15-64,T,7277.1
lfsa_egai2d,OC21,Science and engineering professionals,EU27_2020,2024,THS_PER,Y15-64,T,7533.8
lfsa_egai2d,OC21,Science and engineering professionals,EU27_2020,2025,THS_PER,Y15-64,T,7904.6
lfsa_egai2d,OC21,Science and engineering professionals,FI,2015,THS_PER,Y15-64,T,139.6
lfsa_egai2d,OC21,Science and engineering professionals,FI,2016,THS_PER,Y15-64,T,136.2
lfsa_egai2d,OC21,Science and engineering professionals,FI,2017,THS_PER,Y15-64,T,142.4
lfsa_egai2d,OC21,Science and engineering professionals,FI,2018,THS_PER,Y15-64,T,146.7
lfsa_egai2d,OC21,Science and engineering professionals,FI,2019,THS_PER,Y15-64,T,158.5
lfsa_egai2d,OC21,Science and engineering professionals,FI,2020,THS_PER,Y15-64,T,175.6
lfsa_egai2d,OC21,Science and engineering professionals,FI,2021,THS_PER,Y15-64,T,159.8
lfsa_egai2d,OC21,Science and engineering professionals,FI,2022,THS_PER,Y15-64,T,165.9
lfsa_egai2d,OC21,Science and engineering professionals,FI,2023,THS_PER,Y15-64,T,160.4
lfsa_egai2d,OC21,Science and engineering professionals,FI,2024,THS_PER,Y15-64,T,147.4
lfsa_egai2d,OC21,Science and engineering professionals,FI,2025,THS_PER,Y15-64,T,159.1
lfsa_egai2d,OC21,Science and engineering professionals,FR,2015,THS_PER,Y15-64,T,681.3
lfsa_egai2d,OC21,Science and engineering professionals,FR,2016,THS_PER,Y15-64,T,706.5
lfsa_egai2d,OC21,Science and engineering professionals,FR,2017,THS_PER,Y15-64,T,711.9
lfsa_egai2d,OC21,Science and engineering professionals,FR,2018,THS_PER,Y15-64,T,752.4
lfsa_egai2d,OC21,Science and engineering professionals,FR,2019,THS_PER,Y15-64,T,775.6
lfsa_egai2d,OC21,Science and engineering professionals,FR,2020,THS_PER,Y15-64,T,866.4
lfsa_egai2d,OC21,Science and engineering professionals,FR,2021,THS_PER,Y15-64,T,1015.4
lfsa_egai2d,OC21,Science and engineering professionals,FR,2022,THS_PER,Y15-64,T,1091.0
lfsa_egai2d,OC21,Science and engineering professionals,FR,2023,THS_PER,Y15-64,T,1201.0
lfsa_egai2d,OC21,Science and engineering professionals,FR,2024,THS_PER,Y15-64,T,1257.6
lfsa_egai2d,OC21,Science and engineering professionals,FR,2025,THS_PER,Y15-64,T,1363.9
lfsa_egai2d,OC21,Science and engineering professionals,HU,2015,THS_PER,Y15-64,T,121.9
lfsa_egai2d,OC21,Science and engineering professionals,HU,2016,THS_PER,Y15-64,T,126.3
lfsa_egai2d,OC21,Science and engineering professionals,HU,2017,THS_PER,Y15-64,T,141.0
lfsa_egai2d,OC21,Science and engineering professionals,HU,2018,THS_PER,Y15-64,T,136.8
lfsa_egai2d,OC21,Science and engineering professionals,HU,2019,THS_PER,Y15-64,T,148.9
lfsa_egai2d,OC21,Science and engineering professionals,HU,2020,THS_PER,Y15-64,T,180.9
lfsa_egai2d,OC21,Science and engineering professionals,HU,2021,THS_PER,Y15-64,T,173.0
lfsa_egai2d,OC21,Science and engineering professionals,HU,2022,THS_PER,Y15-64,T,169.2
lfsa_egai2d,OC21,Science and engineering professionals,HU,2023,THS_PER,Y15-64,T,147.2
lfsa_egai2d,OC21,Science and engineering professionals,HU,2024,THS_PER,Y15-64,T,163.1
lfsa_egai2d,OC21,Science and engineering professionals,HU,2025,THS_PER,Y15-64,T,156.4
lfsa_egai2d,OC21,Science and engineering professionals,IE,2015,THS_PER,Y15-64,T,66.4
lfsa_egai2d,OC21,Science and engineering professionals,IE,2016,THS_PER,Y15-64,T,69.0
lfsa_egai2d,OC21,Science and engineering professionals,IE,2017,THS_PER,Y15-64,T,76.7
lfsa_egai2d,OC21,Science and engineering professionals,IE,2018,THS_PER,Y15-64,T,81.7
lfsa_egai2d,OC21,Science and engineering professionals,IE,2019,THS_PER,Y15-64,T,84.3
lfsa_egai2d,OC21,Science and engineering professionals,IE,2020,THS_PER,Y15-64,T,92.6
lfsa_egai2d,OC21,Science and engineering professionals,IE,2021,THS_PER,Y15-64,T,102.0
lfsa_egai2d,OC21,Science and engineering professionals,IE,2022,THS_PER,Y15-64,T,107.8
lfsa_egai2d,OC21,Science and engineering professionals,IE,2023,THS_PER,Y15-64,T,107.4
lfsa_egai2d,OC21,Science and engineering professionals,IE,2024,THS_PER,Y15-64,T,114.3
lfsa_egai2d,OC21,Science and engineering professionals,IE,2025,THS_PER,Y15-64,T,131.5
lfsa_egai2d,OC21,Science and engineering professionals,IT,2015,THS_PER,Y15-64,T,498.2
lfsa_egai2d,OC21,Science and engineering professionals,IT,2016,THS_PER,Y15-64,T,502.3
lfsa_egai2d,OC21,Science and engineering professionals,IT,2017,THS_PER,Y15-64,T,486.9
lfsa_egai2d,OC21,Science and engineering professionals,IT,2018,THS_PER,Y15-64,T,495.8
lfsa_egai2d,OC21,Science and engineering professionals,IT,2019,THS_PER,Y15-64,T,514.9
lfsa_egai2d,OC21,Science and engineering professionals,IT,2020,THS_PER,Y15-64,T,517.9
lfsa_egai2d,OC21,Science and engineering professionals,IT,2021,THS_PER,Y15-64,T,527.2
lfsa_egai2d,OC21,Science and engineering professionals,IT,2022,THS_PER,Y15-64,T,547.0
lfsa_egai2d,OC21,Science and engineering professionals,IT,2023,THS_PER,Y15-64,T,608.3
lfsa_egai2d,OC21,Science and engineering professionals,IT,2024,THS_PER,Y15-64,T,639.0
lfsa_egai2d,OC21,Science and engineering professionals,IT,2025,THS_PER,Y15-64,T,634.4
lfsa_egai2d,OC21,Science and engineering professionals,NL,2015,THS_PER,Y15-64,T,223.6
lfsa_egai2d,OC21,Science and engineering professionals,NL,2016,THS_PER,Y15-64,T,221.1
lfsa_egai2d,OC21,Science and engineering professionals,NL,2017,THS_PER,Y15-64,T,226.6
lfsa_egai2d,OC21,Science and engineering professionals,NL,2018,THS_PER,Y15-64,T,250.7
lfsa_egai2d,OC21,Science and engineering professionals,NL,2019,THS_PER,Y15-64,T,269.6
lfsa_egai2d,OC21,Science and engineering professionals,NL,2020,THS_PER,Y15-64,T,277.4
lfsa_egai2d,OC21,Science and engineering professionals,NL,2021,THS_PER,Y15-64,T,333.4
lfsa_egai2d,OC21,Science and engineering professionals,NL,2022,THS_PER,Y15-64,T,357.8
lfsa_egai2d,OC21,Science and engineering professionals,NL,2023,THS_PER,Y15-64,T,361.2
lfsa_egai2d,OC21,Science and engineering professionals,NL,2024,THS_PER,Y15-64,T,391.8
lfsa_egai2d,OC21,Science and engineering professionals,NL,2025,THS_PER,Y15-64,T,413.0
lfsa_egai2d,OC21,Science and engineering professionals,PL,2015,THS_PER,Y15-64,T,418.2
