c_ctrl,indic,status,raw,kept,max_year
IN,V16110,empty,0,0,
IN,V12110,empty,0,0,
IN,V11110,empty,0,0,
CN_X_HK,V16110,ok,297,171,2020.0
CN_X_HK,V12110,ok,286,167,2020.0
CN_X_HK,V11110,ok,341,209,2020.0
US,V16110,ok,312,208,2020.0
US,V12110,ok,288,201,2020.0
US,V11110,ok,345,215,2020.0
WORLD,V16110,ok,389,242,2020.0
WORLD,V12110,ok,384,241,2020.0
WORLD,V11110,ok,390,242,2020.0
WRL_X_REP,V16110,ok,372,241,2020.0
WRL_X_REP,V12110,ok,368,240,2020.0
WRL_X_REP,V11110,ok,372,239,2020.0
EXT_EU27_2020,V16110,ok,24,14,2020.0
EXT_EU27_2020,V12110,ok,25,15,2020.0
EXT_EU27_2020,V11110,ok,26,15,2020.0
