importer,2022,2024,dlog,geo,iso3,tnlg_M_2021,tnlg_M_2023,tnlg_M_2024,tnlg_M_2025,d_tnlg_M_2324,d_tnlg_M_2124
AUT,58.0,20.0,-1.0647107369924282,AT,AUT,3.4,5.73,13.94,26.92,8.209999999999999,10.54
BEL,30.0,42.0,0.33647223662121295,BE,BEL,6.59,8.19,19.45,25.41,11.26,12.86
CZE,68.3,81.0,0.1705393880956949,CZ,CZE,3.49,0.45,10.71,25.19,10.260000000000002,7.220000000000001
DNK,94.8,118.2,0.2206086957110216,DK,DNK,10.56,8.37,34.06,49.96,25.690000000000005,23.5
ESP,21.0,24.0,0.13353139262452274,ES,ESP,3.06,4.44,11.92,17.31,7.4799999999999995,8.86
FIN,22.0,146.0,1.8925641683500203,FI,FIN,3.88,11.17,30.02,43.6,18.85,26.14
GRC,1.4,0.4,-1.2527629684953678,EL,GRC,0.65,1.8,7.23,13.95,5.430000000000001,6.58
ITA,64.0,61.7,-0.03659915244832934,IT,ITA,1.34,2.85,9.44,17.65,6.59,8.1
NLD,338.4,986.7,1.070137414131053,NL,NLD,3.76,7.68,22.01,30.18,14.330000000000002,18.25
POL,11.5,12.8,0.10709813555636716,PL,POL,0.45,1.81,5.45,13.58,3.64,5.0
PRT,2.0,2.0,0.0,PT,PRT,4.68,2.09,8.32,11.92,6.23,3.6400000000000006
SWE,33.5,78.9,0.8566357890208081,SE,SWE,4.81,8.41,29.61,43.0,21.2,24.8
