rq,spec,coef,se,p,n,r2,note,display
C2,C2 Indian SJ312 (re-fetch) Post×ΔM TNLG,0.026276463901917145,0.014073786490807079,0.06189459753904663,96,0.9323311888153563,Independent Eurostat pull,0.026* (0.014)
C2,C2 Chinese SJ312 (re-fetch) Post×ΔM TNLG,-0.06229711951439509,0.026633568034933403,0.0193330942454992,97,0.9249311819295729,Independent Eurostat pull,-0.062** (0.027)
C3,C3 US SJ312 placebo Post×ΔM TNLG,-0.020205847321914897,0.018219725197408616,0.26742610765593144,101,0.9304699054130902,"Same heading, different partner; importers=17",-0.020 (0.018)
C3,C3 UK SJ312 placebo Post×ΔM TNLG,0.006906341966857526,0.019422799685291307,0.722155784862629,99,0.9258287478489694,"Same heading, different partner; importers=16",0.007 (0.019)
C3,C3 Swiss SJ312 placebo Post×ΔM TNLG,-0.03313830792852145,0.03798375135577312,0.3829717767422174,87,0.825072659486658,"Same heading, different partner; importers=16",-0.033 (0.038)
C3,C3 Japan SJ312 placebo Post×ΔM TNLG,0.0520886315245402,0.060742978964840405,0.3911547272408522,100,0.8074759426076552,"Same heading, different partner; importers=16",0.052 (0.061)
C3,C3 Extra-EU SJ312 total Post×ΔM TNLG,0.0033042429507615574,0.01223937597509084,0.7871846774195117,115,0.9541538508779502,"Same heading, different partner; importers=17",0.003 (0.012)
C4,C4 Indian share of extra-EU SJ312 Post×ΔM TNLG,0.3816951160926187,0.20151757715336585,0.05821129440620926,93,0.7163453610089872,"Outcome is percentage points, not log; missing years dropped",0.382* (0.202)
C5,C5 Indian SJ312 drop Finland Post×ΔM TNLG,0.02010769073832436,0.011831240072961578,0.08921708697748343,89,0.933103883020706,Finland 2022–24 SJ312 21→145 EUR m is an outlier,0.020* (0.012)
C6,C6 M7112 engineering consultancy employment Post2024×ΔTNLG,-1.3334778982495358e-05,0.0018790703466083853,0.9943378783077851,68,0.9985961703995399,SBS current prices 2021–24; tighter industry than all M71,-0.000 (0.002)
C6,C6 M7112 engineering consultancy output Post2024×ΔTNLG,-0.007553481748434987,0.0033058953509722314,0.022321504823549658,68,0.9952078315250867,SBS current prices 2021–24; tighter industry than all M71,-0.008** (0.003)
C6,C6 M7112 engineering consultancy wages Post2024×ΔTNLG,-0.009144680970793958,0.003685150126346147,0.013083260979726275,68,0.9974753285825546,SBS current prices 2021–24; tighter industry than all M71,-0.009** (0.004)
C6,C6 M7112 engineering consultancy value added Post2024×ΔTNLG,-0.006819053211970313,0.0028038330440694685,0.015013766811866867,68,0.9954766597969422,SBS current prices 2021–24; tighter industry than all M71,-0.007** (0.003)
C6,C6 M7111 architectural activities employment Post2024×ΔTNLG,-0.004441892156730392,0.002769868768715789,0.1087918514605388,68,0.9984928706319868,SBS current prices 2021–24; tighter industry than all M71,-0.004 (0.003)
C6,C6 M7111 architectural activities output Post2024×ΔTNLG,-0.010140181019531022,0.004496516024001043,0.024125828249389244,68,0.9935273532523242,SBS current prices 2021–24; tighter industry than all M71,-0.010** (0.004)
C6,C6 M7111 architectural activities wages Post2024×ΔTNLG,-0.015217449508332065,0.004842471738517475,0.0016751383181890732,68,0.9951360898741989,SBS current prices 2021–24; tighter industry than all M71,-0.015*** (0.005)
C6,C6 M7111 architectural activities value added Post2024×ΔTNLG,-0.008760495436525,0.005928242459538799,0.13947311865705453,68,0.9923594751716627,SBS current prices 2021–24; tighter industry than all M71,-0.009 (0.006)
C6,C6 M712 technical testing employment Post2024×ΔTNLG,-0.0004173412845565432,0.0010382515185249383,0.6877094211234357,68,0.9992318346619695,SBS current prices 2021–24; tighter industry than all M71,-0.000 (0.001)
C6,C6 M712 technical testing output Post2024×ΔTNLG,-0.0028086562951567216,0.0019203894737720181,0.14359188354899335,68,0.9983387915285651,SBS current prices 2021–24; tighter industry than all M71,-0.003 (0.002)
C6,C6 M712 technical testing wages Post2024×ΔTNLG,-0.007686254232231414,0.0018819759855104238,4.424026973499123e-05,68,0.9983947722127443,SBS current prices 2021–24; tighter industry than all M71,-0.008*** (0.002)
C6,C6 M712 technical testing value added Post2024×ΔTNLG,-0.004593147121574775,0.0014291956867847084,0.001309915101042204,68,0.9986140086498478,SBS current prices 2021–24; tighter industry than all M71,-0.005*** (0.001)
C6,C6 M71 (repeat) employment Post2024×ΔTNLG,-0.00039351127708857705,0.001685777053391885,0.815427363522487,68,0.9989570469926702,SBS current prices 2021–24; tighter industry than all M71,-0.000 (0.002)
C6,C6 M71 (repeat) output Post2024×ΔTNLG,-0.006921382567587593,0.002912989211565079,0.017499505725706,68,0.9962893747260954,SBS current prices 2021–24; tighter industry than all M71,-0.007** (0.003)
C6,C6 M71 (repeat) wages Post2024×ΔTNLG,-0.009190364566735396,0.003301280141125128,0.005371306259207914,68,0.9978671185365068,SBS current prices 2021–24; tighter industry than all M71,-0.009*** (0.003)
C6,C6 M71 (repeat) value added Post2024×ΔTNLG,-0.006273269564364935,0.0023724819382778457,0.00818890681062865,68,0.9968576641633791,SBS current prices 2021–24; tighter industry than all M71,-0.006*** (0.002)
