adjustment,importer,partner,service,v2019,v2023,v2024
B_balanced,GBR,IND,SJ3,2186.610935,3901.590722,4979.295577
B_balanced,GBR,CHN,SJ3,775.547642,1359.993512,1545.958995
B_balanced,GBR,IND,SE,41.902342,52.201733,72.770864
B_balanced,GBR,CHN,SE,118.50812,205.056259,179.830438
B_balanced,GBR,IND,SI,2215.278313,4082.178578,4722.960399
B_balanced,GBR,CHN,SI,724.687656,1034.373954,1054.466078
N_reported,GBR,IND,SJ3,2542.6,5129.6,6740.7
N_reported,GBR,CHN,SJ3,736.5,1392.1,1421.2
N_reported,GBR,IND,SE,,,
N_reported,GBR,CHN,SE,52.3,154.1,109.9
N_reported,GBR,IND,SI,1025.0,1935.3,2544.7
N_reported,GBR,CHN,SI,116.2,144.2,118.9
F_adjusted_or_imputed,GBR,IND,SJ3,2519.735006,5133.503555,6538.13787
F_adjusted_or_imputed,GBR,CHN,SJ3,732.971314,1376.270465,1470.88544
F_adjusted_or_imputed,GBR,IND,SE,8.37413,17.255626,20.698931
F_adjusted_or_imputed,GBR,CHN,SE,40.192543,125.623797,95.1605
F_adjusted_or_imputed,GBR,IND,SI,1030.376692,1938.654503,2444.464505
F_adjusted_or_imputed,GBR,CHN,SI,114.848185,141.528391,120.061597
