key,status,rows,bytes
GBR.IND.M.S.SJ3.A.USD_EXC.B,ok,10.0,
GBR.IND.M.S.SJ3.A.USD_EXC.N,ok,9.0,
GBR.IND.M.S.SE.A.USD_EXC.B,ok,10.0,
GBR.IND.M.S.SE.A.USD_EXC.N,ok,5.0,
GBR.IND.M.S.SI.A.USD_EXC.B,ok,10.0,
GBR.IND.M.S.SI.A.USD_EXC.N,ok,10.0,
GBR.IND.M.S.SJ1.A.USD_EXC.B,ok,10.0,
GBR.IND.M.S.SJ1.A.USD_EXC.N,ok,9.0,
GBR.IND.M.S.SJ2.A.USD_EXC.B,ok,10.0,
GBR.IND.M.S.SJ2.A.USD_EXC.N,ok,9.0,
IND.GBR.M.S.SJ3.A.USD_EXC.B,ok,10.0,
IND.GBR.M.S.SJ3.A.USD_EXC.N,fail_or_empty,,0.0
IND.GBR.M.S.SE.A.USD_EXC.B,ok,10.0,
IND.GBR.M.S.SE.A.USD_EXC.N,fail_or_empty,,0.0
IND.GBR.M.S.SI.A.USD_EXC.B,ok,10.0,
IND.GBR.M.S.SI.A.USD_EXC.N,fail_or_empty,,0.0
IND.GBR.M.S.SJ1.A.USD_EXC.B,ok,10.0,
IND.GBR.M.S.SJ1.A.USD_EXC.N,fail_or_empty,,0.0
IND.GBR.M.S.SJ2.A.USD_EXC.B,ok,10.0,
IND.GBR.M.S.SJ2.A.USD_EXC.N,fail_or_empty,,0.0
GBR.W.M.S.SJ3.A.USD_EXC.B,ok,10.0,
GBR.W.M.S.SJ3.A.USD_EXC.N,ok,9.0,
GBR.W.M.S.SE.A.USD_EXC.B,ok,10.0,
GBR.W.M.S.SE.A.USD_EXC.N,ok,10.0,
GBR.W.M.S.SI.A.USD_EXC.B,ok,10.0,
GBR.W.M.S.SI.A.USD_EXC.N,ok,10.0,
GBR.W.M.S.SJ1.A.USD_EXC.B,ok,10.0,
GBR.W.M.S.SJ1.A.USD_EXC.N,ok,9.0,
GBR.W.M.S.SJ2.A.USD_EXC.B,ok,10.0,
GBR.W.M.S.SJ2.A.USD_EXC.N,ok,9.0,
IND.W.M.S.SJ3.A.USD_EXC.B,ok,10.0,
IND.W.M.S.SJ3.A.USD_EXC.N,ok,10.0,
IND.W.M.S.SE.A.USD_EXC.B,ok,10.0,
IND.W.M.S.SE.A.USD_EXC.N,ok,10.0,
IND.W.M.S.SI.A.USD_EXC.B,ok,10.0,
IND.W.M.S.SI.A.USD_EXC.N,ok,10.0,
IND.W.M.S.SJ1.A.USD_EXC.B,ok,10.0,
IND.W.M.S.SJ1.A.USD_EXC.N,ok,10.0,
IND.W.M.S.SJ2.A.USD_EXC.B,ok,10.0,
IND.W.M.S.SJ2.A.USD_EXC.N,ok,10.0,
