dataset,nace,indic,unit,sizeclas,geo,year,value
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,AT,2018,4.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,AT,2019,4.3
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,AT,2020,3.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,AT,2021,5.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,AT,2022,7.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,AT,2023,6.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,AT,2024,4.9
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,AT,2025,4.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,BE,2018,6.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,BE,2019,6.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,BE,2020,5.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,BE,2021,7.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,BE,2022,8.3
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,BE,2023,7.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,BE,2024,6.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,BE,2025,5.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,CZ,2018,10.3
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,CZ,2019,12.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,CZ,2020,9.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,CZ,2021,7.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,CZ,2022,5.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,CZ,2023,3.3
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,CZ,2024,2.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,CZ,2025,1.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DE,2018,3.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DE,2019,3.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DE,2020,2.9
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DE,2021,3.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DE,2022,5.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DE,2023,4.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DE,2024,3.3
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DE,2025,3.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DK,2018,2.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DK,2019,2.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DK,2020,2.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DK,2021,3.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DK,2022,4.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DK,2023,3.3
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DK,2024,3.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,DK,2025,2.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EL,2018,1.3
