dataset,nace,indic,size_emp,geo,year,value,unit
isoc_eb_ain2,M,E_AI_TNLG,GE10,AT,2021,3.4,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,AT,2023,5.73,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,AT,2024,13.94,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,AT,2025,26.92,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,BE,2021,6.59,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,BE,2023,8.19,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,BE,2024,19.45,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,BE,2025,25.41,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,CZ,2021,3.49,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,CZ,2023,0.45,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,CZ,2024,10.71,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,CZ,2025,25.19,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,DE,2021,2.48,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,DE,2023,5.98,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,DE,2024,12.28,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,DE,2025,14.74,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,DK,2021,10.56,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,DK,2023,8.37,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,DK,2024,34.06,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,DK,2025,49.96,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,EL,2021,0.65,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,EL,2023,1.8,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,EL,2024,7.23,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,EL,2025,13.95,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,ES,2021,3.06,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,ES,2023,4.44,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,ES,2024,11.92,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,ES,2025,17.31,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,EU27_2020,2021,2.6,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,EU27_2020,2023,4.55,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,EU27_2020,2024,11.51,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,EU27_2020,2025,17.74,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,FI,2021,3.88,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,FI,2023,11.17,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,FI,2024,30.02,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,FI,2025,43.6,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,FR,2021,1.69,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,FR,2023,1.26,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,FR,2024,3.9,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,FR,2025,11.8,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,HU,2021,0.69,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,HU,2023,0.76,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,HU,2024,4.2,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,HU,2025,11.37,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,IE,2021,2.85,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,IE,2023,5.02,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,IE,2024,13.61,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,IE,2025,13.29,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,IT,2021,1.34,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,IT,2023,2.85,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,IT,2024,9.44,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,IT,2025,17.65,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,NL,2021,3.76,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,NL,2023,7.68,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,NL,2024,22.01,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,NL,2025,30.18,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,PL,2021,0.45,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,PL,2023,1.81,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,PL,2024,5.45,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,PL,2025,13.58,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,PT,2021,4.68,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,PT,2023,2.09,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,PT,2024,8.32,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,PT,2025,11.92,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,RO,2021,3.98,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,RO,2023,4.99,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,RO,2024,3.73,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,RO,2025,8.69,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,SE,2021,4.81,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,SE,2023,8.41,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,SE,2024,29.61,PC_ENT
isoc_eb_ain2,M,E_AI_TNLG,GE10,SE,2025,43.0,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,AT,2021,20.93,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,AT,2023,25.82,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,AT,2024,39.59,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,AT,2025,52.8,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,BE,2021,20.24,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,BE,2023,28.28,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,BE,2024,42.92,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,BE,2025,57.11,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,CZ,2021,9.28,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,CZ,2023,9.42,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,CZ,2024,22.09,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,CZ,2025,33.31,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,DE,2021,25.54,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,DE,2023,26.34,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,DE,2024,42.29,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,DE,2025,48.3,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,DK,2021,39.22,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,DK,2023,23.58,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,DK,2024,44.9,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,DK,2025,63.71,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,EL,2021,9.2,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,EL,2023,8.67,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,EL,2024,21.02,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,EL,2025,30.81,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,ES,2021,13.72,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,ES,2023,16.14,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,ES,2024,26.07,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,ES,2025,38.35,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,EU27_2020,2021,17.39,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,EU27_2020,2023,18.66,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,EU27_2020,2024,30.53,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,EU27_2020,2025,40.43,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,FI,2021,29.63,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,FI,2023,31.54,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,FI,2024,48.46,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,FI,2025,74.75,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,FR,2021,15.23,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,FR,2023,13.75,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,FR,2024,17.47,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,FR,2025,32.5,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,HU,2021,3.71,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,HU,2023,5.24,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,HU,2024,17.3,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,HU,2025,22.86,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,IE,2021,13.59,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,IE,2023,15.77,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,IE,2024,27.25,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,IE,2025,31.76,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,IT,2021,8.68,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,IT,2023,9.23,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,IT,2024,19.56,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,IT,2025,35.72,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,NL,2021,20.05,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,NL,2023,24.8,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,NL,2024,39.78,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,NL,2025,54.98,PC_ENT
isoc_eb_ain2,M,E_AI_TANY,GE10,PL,2021,6.48,PC_ENT
