SOC2020,occupation,emp_2021_12,emp_2025_09,change_pct,Eloundou β_human
2481,Quality control and planning engineers,47000,35100,-25.319148936170212,
3120,"CAD, drawing and architectural technicians",72900,55500,-23.86831275720165,0.52
2454,Chartered surveyors,76500,59900,-21.69934640522876,
2121,Civil engineers,115800,99200,-14.335060449050086,0.375
2453,Quantity surveyors,63000,54200,-13.968253968253963,
3581,Inspectors of standards and regulations,48000,46700,-2.708333333333335,
2455,Construction project managers and related professionals,107500,112300,4.4651162790697585,
2452,"Chartered architectural technologists, planning officers and consultants",52000,57100,9.807692307692317,
3541,"Estimators, valuers and assessors",55400,61300,10.649819494584833,
3582,Health and safety managers and officers,75400,89300,18.435013262599465,
2127,Engineering project managers and project engineers,62100,78600,26.570048309178752,
2483,Environmental health professionals,9000,11400,26.66666666666666,
2114,Physical scientists,26200,34900,33.206106870229,
2129,Engineering professionals n.e.c.,70500,110700,57.02127659574467,
2152,Environment professionals,45300,80700,78.1456953642384,
3114,Building and civil engineering technicians,5500,17300,214.54545454545456,0.4772727272727273
