spec,coef,se,p,n,note,display
(I1) log M71 turnover Post2024×ΔTNLG,-0.006845248916273384,0.0031832008156974846,0.03152125753045818,68,SBS sbs_sc_ovw M71 NETTUR_MEUR; country+year FE,-0.007** (0.003)
(I2) log M71 employment Post2024×ΔTNLG,-0.00039351127708857705,0.001685777053391885,0.815427363522487,68,SBS sbs_ovw_act M71 EMP_NR; country+year FE,-0.000 (0.002)
(I3) log M71 wages Post2024×ΔTNLG,-0.009190364566735398,0.003301280141125128,0.0053713062592079044,68,SBS sbs_ovw_act M71 WAGE_MEUR; country+year FE,-0.009*** (0.003)
(I4) log M71 value added Post2024×ΔTNLG,-0.006273269564364935,0.0023724819382778457,0.00818890681062865,68,SBS sbs_ovw_act M71 AV_MEUR; country+year FE,-0.006*** (0.002)
(I5) log M71 GOS Post2024×ΔTNLG,-0.00261803505393757,0.005001911281352865,0.6006910990324714,68,SBS sbs_ovw_act M71 GOS_MEUR; country+year FE,-0.003 (0.005)
(I6) log F turnover Post2024×ΔTNLG placebo,-0.010006201509964627,0.003107333938080033,0.0012810625969751212,68,SBS sbs_sc_ovw F NETTUR_MEUR; country+year FE,-0.010*** (0.003)
(I7) log F employment Post2024×ΔTNLG placebo,-0.0026482190290888405,0.001950326567375026,0.17451647682814475,68,SBS sbs_ovw_act F EMP_NR; country+year FE,-0.003 (0.002)
(I8) log M turnover Post2024×ΔTNLG placebo,-0.0048534261087028645,0.0020270784660065054,0.016652298438661194,68,SBS sbs_sc_ovw M NETTUR_MEUR; country+year FE,-0.005** (0.002)
(I9) log M71 turnover Post2023×ΔTNLG,-0.0088460831306339,0.0038869872216106493,0.022856787165584192,68,SBS sbs_sc_ovw M71 NETTUR_MEUR; country+year FE,-0.009** (0.004)
(I10) Δlog≈ M71 turnover 2023–24 on ΔTNLG,-0.001598127173807132,0.0014955833867720976,0.2852659942804805,17,Cross-section; LHS is percent/100,-0.002 (0.001)
(I11) M71 employment % 2023–24 on ΔTNLG,-4.858671417261169e-05,0.001044177482002436,0.9628869563722717,17,Cross-section; LHS percent/100,-0.000 (0.001)
(I12) log M71 compensation Post×ΔTNLG,-0.008963211529028212,0.003751957479601312,0.01689693625779777,96,nama_10_a64 current EUR; series ends 2023 so misses 2024 NLG year,-0.009** (0.004)
(I12) log M71 output Post×ΔTNLG,-0.008857212356463607,0.0033060851642044767,0.0073828373786227666,96,nama_10_a64 current EUR; series ends 2023 so misses 2024 NLG year,-0.009*** (0.003)
(I12) log F compensation Post×ΔTNLG,-0.011066148129721015,0.004220639532762168,0.008743784153463397,102,nama_10_a64 current EUR; series ends 2023 so misses 2024 NLG year,-0.011*** (0.004)
(I12) log F output Post×ΔTNLG,-0.01395104062234848,0.003709318013683134,0.0001691815197150487,102,nama_10_a64 current EUR; series ends 2023 so misses 2024 NLG year,-0.014*** (0.004)
