model,model_id,prompt_variant,run,occupation,soc2020_code,score,confidence,rationale,temperature,top_p,max_tokens,context_cleared
DeepSeek,DeepSeek-V3,main_prompt,1,Civil engineer,2121,3,High,"Standardised design and compliance tools are heavily used, but site presence and in-person coordination keep exposure moderate.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Structural engineer,2121,3,High,"High use of analytical software for safety-critical design, yet regulatory approvals and site verification require human judgement.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Geotechnical engineer,2121,2,Medium,"Data processing for ground models is standardised, but high field uncertainty and site-specific interpretation limit automation.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Transportation engineer,2121,3,Medium,"Transport modelling uses structured data, but policy trade-offs and stakeholder communication reduce full AI substitution.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Water engineer (professional),2121,3,High,"Hydraulic modelling and compliance reporting are data-intensive, but site assessment and regulatory interface require human oversight.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Building and building services engineer,2121,3,Medium,"System design uses standardised software, but integration with architecture and client needs demands interdisciplinary judgment.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Engineering project manager,2127,2,High,"Coordination and reporting are text-heavy, but leadership, conflict resolution, and site presence limit generative-AI exposure.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Project engineer,2127,3,Medium,"Technical delivery relies on standardised plans and schedules, but cross-team communication and on-site problem-solving are key.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Energy engineer,2129,3,High,"Energy modelling and compliance use structured data, but optimisation and regulatory interpretation need human expertise.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Traffic engineer,2129,3,Medium,"Traffic data analysis is routine, but safety-critical decisions and public consultation involve significant human judgement.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Heating and ventilating engineer (professional),2129,3,High,"Design calculations and load simulations are automatable, but site-specific integration and code compliance require review.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Gas engineer (professional),2129,2,High,"Safety-critical design is heavily regulated and standardised, but field inspections and risk assessments reduce full automation.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Construction project manager,2455,2,High,"Project scheduling and reporting are data-heavy, but site management, negotiation, and human coordination are dominant.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Construction contract manager,2455,2,High,"Contract administration involves text processing, but negotiation and legal interpretation require significant human input.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Transport planner,2455,3,Medium,"Strategic planning uses modelled data, but policy trade-offs and stakeholder engagement keep exposure moderate.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Quantity surveyor,2453,3,High,"Cost estimation and takeoff are highly standardised and data-intensive, yet financial judgement and client negotiation matter.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Building control surveyor,2454,2,High,"Regulatory compliance checks involve structured checklists, but on-site inspection and discretionary enforcement require humans.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Land surveyor,2454,2,High,"Spatial data processing is automatable, but extensive fieldwork and boundary interpretation limit AI exposure.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Hydrographic surveyor,2454,2,Medium,"Data collection and mapping use automated sensors, but underwater conditions and quality control require human oversight.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Town planning officer,2452,3,Medium,"Policy review and application processing are text-heavy, but discretionary judgement and public consultation are key.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Urban designer,2452,2,Medium,"Spatial design uses digital tools, but creative judgement and community engagement are predominantly human.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Chartered architectural technologist,2452,3,Medium,"Technical detailing and BIM use standardised processes, but design interpretation and coordination require human skill.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,BIM technician,3120,4,High,"BIM modelling and coordination are highly structured and data-intensive, with clear automation potential for routine tasks.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,CAD technician,3120,4,High,"Technical drawing production is highly standardised and rule-based, making it amenable to generative-AI assistance.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Architectural technician,3120,3,Medium,"Drafting and detailing are standardised, but design adaptation and site coordination still involve human input.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Cartographer,3120,4,High,"Map production and spatial data processing are heavily digitised and rule-based, suitable for generative-AI automation.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Civil engineering technician,3114,3,High,"Site support and testing involve data collection and standardised procedures, but fieldwork reduces full exposure.",UI default,UI default,UI default,True
