NAICS,Industry Title,AIIE
2361,Residential Building Construction,-0.7602519
2362,Nonresidential Building Construction,-0.6632232
2371,Utility System Construction,-1.176381
2372,Land Subdivision,0.5814018
2373,"Highway, Street, and Bridge Construction",-1.296256
2379,Other Heavy and Civil Engineering Construction,-1.104619
2381,"Foundation, Structure, and Building Exterior Contractors",-1.757023
2382,Building Equipment Contractors,-0.8320791
2383,Building Finishing Contractors,-1.602616
2389,Other Specialty Trade Contractors,-1.358564
