spec,coef,se,p,n,r2,clusters,note,display
(1) Post × M-AI 2024,0.0023622079278811927,0.0029876984091907243,0.4291513515247023,336,0.9454427524887907,16.0,EU importers × IND/PHL/VNM; TWFE,0.002 (0.003)
(2) Post × ΔM 2021–24 [headline],0.00048410291401388447,0.005659351336502823,0.9318318155490104,336,0.9453722621364601,16.0,Preferred: GenAI window is the 2023–24 jump,0.000 (0.006)
(3) Horse race: Post × ΔM,0.001371845864381729,0.008425866038545563,0.8706651735927673,336,0.9453749677002136,16.0,Same regression as (4),0.001 (0.008)
(4) Horse race: Post × ΔF,-0.0035659750712401794,0.028770212334644076,0.9013574163717841,336,0.9453749677002136,16.0,"Construction AI change, controlling for M",-0.004 (0.029)
(5) Placebo SI Mode-1,-0.001976928151195671,0.007119463676298514,0.7812585023996218,336,0.9466834832630023,16.0,Computer services from same partners,-0.002 (0.007)
(6) Placebo SE from China,-0.0022102984828695827,0.007495360785349874,0.7680787734554622,112,0.9206424458520835,16.0,Mode-3 construction services,-0.002 (0.007)
(7) Placebo SJ3 from China,0.008905902041176899,0.009935278901998747,0.3700435719880554,112,0.9693700301125278,16.0,SJ3 from China,0.009 (0.010)
(8) Placebo SE from Mode-1,-0.008840157483280259,0.013547831559405352,0.5140692768530238,336,0.7998675572484774,16.0,Construction services from IND/PHL/VNM,-0.009 (0.014)
(9) Post × (M−F) 2024 gap,0.0032801582386644467,0.004092243697772956,0.42281043936647156,336,0.9454447105625071,16.0,Professional minus construction AI,0.003 (0.004)
(10) Time-varying M-AI 2021/23/24,0.0026669263777174827,0.0031338117793063133,0.39476003725357034,150,0.935064155081691,17.0,Eurostat years overlapping BaTIS,0.003 (0.003)
(11) Placebo time-varying F-AI,-0.009628544618524132,0.01029830335293188,0.349806766235393,153,0.9312871493962371,17.0,Construction AI,-0.010 (0.010)
(12) Drop 2020–21,0.002355742726735616,0.004043980785385223,0.5602093073749581,240,0.9515180542651441,16.0,Omit COVID years,0.002 (0.004)
"(13) Fake post=2020 × ΔM, sample 2018–21",-0.00010629727154633792,0.004545696903669045,0.9813438456845291,192,0.9451773143272826,16.0,Pre-trend placebo,-0.000 (0.005)
"(14) IHS(value), Post × ΔM",0.0006676878685851115,0.005581301453274313,0.9047767114603761,336,0.9445651739081156,16.0,arcsinh instead of log,0.001 (0.006)
(15) WLS by 2019 SJ3 value,-0.0068835558414166486,0.00887899987287414,0.43818454992547906,336,0.004097044537387573,16.0,Larger corridors weighted more,-0.007 (0.009)
"(H) India only, Post × ΔM",0.005432556794921468,0.004767448403211725,0.2544903541994946,112,0.9655612298702028,16.0,Partner = IND,0.005 (0.005)
"(H) Philippines only, Post × ΔM",-0.013859688597704582,0.014073943244569067,0.3247338652718397,112,0.950282241354192,16.0,Partner = PHL,-0.014 (0.014)
"(H) Viet Nam only, Post × ΔM",0.009879440544824763,0.006064670393974064,0.10330979111181303,112,0.9567875619625043,16.0,Partner = VNM,0.010 (0.006)
(16) Cross-section Δlog IN SJ3 22–24 on ΔM,0.006564822800014316,0.004334722557811343,0.12990576916092986,16,0.04694540821269422,,No FE; one obs per importer,0.007 (0.004)
(17) EU-8 only: Post × ΔM 2021–24,0.019018918801101774,0.005739390866290705,0.0009205306654945804,168,0.9599833811960868,8.0,DEU FRA NLD POL ITA ESP IRL ROU; fragility check,0.019*** (0.006)
(18) EU-8 only: time-varying M-AI,0.02336607543560734,0.009845861930364713,0.017635313992580733,72,0.9670450130727632,8.0,"Same 8 importers, 2021/23/24",0.023** (0.010)
