nace,geo,year,ai_pct,size,indic,unit
F,EU27_2020,2021,4.62,GE10,E_AI_TANY,PC_ENT
F,EU27_2020,2023,3.2,GE10,E_AI_TANY,PC_ENT
F,EU27_2020,2024,6.09,GE10,E_AI_TANY,PC_ENT
F,EU27_2020,2025,10.79,GE10,E_AI_TANY,PC_ENT
F,DE,2021,8.29,GE10,E_AI_TANY,PC_ENT
F,DE,2023,4.48,GE10,E_AI_TANY,PC_ENT
F,DE,2024,10.01,GE10,E_AI_TANY,PC_ENT
F,DE,2025,14.28,GE10,E_AI_TANY,PC_ENT
F,FR,2021,4.09,GE10,E_AI_TANY,PC_ENT
F,FR,2023,2.09,GE10,E_AI_TANY,PC_ENT
F,FR,2024,3.14,GE10,E_AI_TANY,PC_ENT
F,FR,2025,9.52,GE10,E_AI_TANY,PC_ENT
F,NL,2021,7.39,GE10,E_AI_TANY,PC_ENT
F,NL,2023,4.72,GE10,E_AI_TANY,PC_ENT
F,NL,2024,8.88,GE10,E_AI_TANY,PC_ENT
F,NL,2025,21.29,GE10,E_AI_TANY,PC_ENT
F,PL,2021,0.35,GE10,E_AI_TANY,PC_ENT
F,PL,2023,1.23,GE10,E_AI_TANY,PC_ENT
F,PL,2024,2.01,GE10,E_AI_TANY,PC_ENT
F,PL,2025,2.35,GE10,E_AI_TANY,PC_ENT
F,RO,2021,0.05,GE10,E_AI_TANY,PC_ENT
F,RO,2023,0.13,GE10,E_AI_TANY,PC_ENT
F,RO,2024,0.18,GE10,E_AI_TANY,PC_ENT
F,RO,2025,2.65,GE10,E_AI_TANY,PC_ENT
F,IT,2021,5.24,GE10,E_AI_TANY,PC_ENT
F,IT,2023,2.62,GE10,E_AI_TANY,PC_ENT
F,IT,2024,5.24,GE10,E_AI_TANY,PC_ENT
F,IT,2025,10.39,GE10,E_AI_TANY,PC_ENT
F,ES,2021,3.77,GE10,E_AI_TANY,PC_ENT
F,ES,2023,4.63,GE10,E_AI_TANY,PC_ENT
F,ES,2024,4.43,GE10,E_AI_TANY,PC_ENT
F,ES,2025,11.26,GE10,E_AI_TANY,PC_ENT
F,IE,2021,0.27,GE10,E_AI_TANY,PC_ENT
F,IE,2023,5.92,GE10,E_AI_TANY,PC_ENT
F,IE,2024,6.24,GE10,E_AI_TANY,PC_ENT
F,IE,2025,9.2,GE10,E_AI_TANY,PC_ENT
F,BE,2021,8.3,GE10,E_AI_TANY,PC_ENT
F,BE,2023,5.17,GE10,E_AI_TANY,PC_ENT
F,BE,2024,11.08,GE10,E_AI_TANY,PC_ENT
F,BE,2025,20.25,GE10,E_AI_TANY,PC_ENT
F,AT,2021,3.12,GE10,E_AI_TANY,PC_ENT
F,AT,2023,4.28,GE10,E_AI_TANY,PC_ENT
F,AT,2024,7.35,GE10,E_AI_TANY,PC_ENT
F,AT,2025,14.89,GE10,E_AI_TANY,PC_ENT
F,SE,2021,2.32,GE10,E_AI_TANY,PC_ENT
F,SE,2023,2.78,GE10,E_AI_TANY,PC_ENT
F,SE,2024,13.15,GE10,E_AI_TANY,PC_ENT
F,SE,2025,14.9,GE10,E_AI_TANY,PC_ENT
F,DK,2021,8.87,GE10,E_AI_TANY,PC_ENT
F,DK,2023,3.23,GE10,E_AI_TANY,PC_ENT
F,DK,2024,11.7,GE10,E_AI_TANY,PC_ENT
F,DK,2025,23.93,GE10,E_AI_TANY,PC_ENT
F,PT,2021,1.06,GE10,E_AI_TANY,PC_ENT
F,PT,2023,2.92,GE10,E_AI_TANY,PC_ENT
F,PT,2024,2.74,GE10,E_AI_TANY,PC_ENT
F,PT,2025,4.74,GE10,E_AI_TANY,PC_ENT
F,CZ,2021,0.35,GE10,E_AI_TANY,PC_ENT
F,CZ,2023,1.34,GE10,E_AI_TANY,PC_ENT
F,CZ,2024,2.35,GE10,E_AI_TANY,PC_ENT
F,CZ,2025,7.84,GE10,E_AI_TANY,PC_ENT
F,HU,2021,0.55,GE10,E_AI_TANY,PC_ENT
F,HU,2023,1.8,GE10,E_AI_TANY,PC_ENT
F,HU,2024,4.27,GE10,E_AI_TANY,PC_ENT
F,HU,2025,4.53,GE10,E_AI_TANY,PC_ENT
F,FI,2021,9.39,GE10,E_AI_TANY,PC_ENT
F,FI,2023,5.18,GE10,E_AI_TANY,PC_ENT
F,FI,2024,11.26,GE10,E_AI_TANY,PC_ENT
F,FI,2025,24.01,GE10,E_AI_TANY,PC_ENT
F,EL,2021,2.82,GE10,E_AI_TANY,PC_ENT
F,EL,2023,3.4,GE10,E_AI_TANY,PC_ENT
F,EL,2024,5.17,GE10,E_AI_TANY,PC_ENT
F,EL,2025,6.96,GE10,E_AI_TANY,PC_ENT
M,EU27_2020,2021,17.39,GE10,E_AI_TANY,PC_ENT
M,EU27_2020,2023,18.66,GE10,E_AI_TANY,PC_ENT
M,EU27_2020,2024,30.53,GE10,E_AI_TANY,PC_ENT
M,EU27_2020,2025,40.43,GE10,E_AI_TANY,PC_ENT
M,DE,2021,25.54,GE10,E_AI_TANY,PC_ENT
M,DE,2023,26.34,GE10,E_AI_TANY,PC_ENT
M,DE,2024,42.29,GE10,E_AI_TANY,PC_ENT
M,DE,2025,48.3,GE10,E_AI_TANY,PC_ENT
M,FR,2021,15.23,GE10,E_AI_TANY,PC_ENT
M,FR,2023,13.75,GE10,E_AI_TANY,PC_ENT
M,FR,2024,17.47,GE10,E_AI_TANY,PC_ENT
M,FR,2025,32.5,GE10,E_AI_TANY,PC_ENT
M,NL,2021,20.05,GE10,E_AI_TANY,PC_ENT
M,NL,2023,24.8,GE10,E_AI_TANY,PC_ENT
M,NL,2024,39.78,GE10,E_AI_TANY,PC_ENT
M,NL,2025,54.98,GE10,E_AI_TANY,PC_ENT
M,PL,2021,6.48,GE10,E_AI_TANY,PC_ENT
M,PL,2023,9.05,GE10,E_AI_TANY,PC_ENT
M,PL,2024,14.45,GE10,E_AI_TANY,PC_ENT
M,PL,2025,22.16,GE10,E_AI_TANY,PC_ENT
M,RO,2021,6.68,GE10,E_AI_TANY,PC_ENT
M,RO,2023,7.21,GE10,E_AI_TANY,PC_ENT
M,RO,2024,9.06,GE10,E_AI_TANY,PC_ENT
M,RO,2025,15.6,GE10,E_AI_TANY,PC_ENT
M,IT,2021,8.68,GE10,E_AI_TANY,PC_ENT
M,IT,2023,9.23,GE10,E_AI_TANY,PC_ENT
M,IT,2024,19.56,GE10,E_AI_TANY,PC_ENT
M,IT,2025,35.72,GE10,E_AI_TANY,PC_ENT
M,ES,2021,13.72,GE10,E_AI_TANY,PC_ENT
M,ES,2023,16.14,GE10,E_AI_TANY,PC_ENT
M,ES,2024,26.07,GE10,E_AI_TANY,PC_ENT
M,ES,2025,38.35,GE10,E_AI_TANY,PC_ENT
M,IE,2021,13.59,GE10,E_AI_TANY,PC_ENT
M,IE,2023,15.77,GE10,E_AI_TANY,PC_ENT
M,IE,2024,27.25,GE10,E_AI_TANY,PC_ENT
M,IE,2025,31.76,GE10,E_AI_TANY,PC_ENT
M,BE,2021,20.24,GE10,E_AI_TANY,PC_ENT
M,BE,2023,28.28,GE10,E_AI_TANY,PC_ENT
M,BE,2024,42.92,GE10,E_AI_TANY,PC_ENT
M,BE,2025,57.11,GE10,E_AI_TANY,PC_ENT
M,AT,2021,20.93,GE10,E_AI_TANY,PC_ENT
