occupation,soc2020_code,ons_soc2010_code,ons_soc2010_description,ons_probability_of_automation,ons_match_note
Civil engineer,2121,2121,Civil engineers,0.252381,mapped by closest SOC2010 unit group
Structural engineer,2121,2121,Civil engineers,0.252381,mapped by closest SOC2010 unit group
Geotechnical engineer,2121,2121,Civil engineers,0.252381,mapped by closest SOC2010 unit group
Transportation engineer,2121,2121,Civil engineers,0.252381,mapped by closest SOC2010 unit group
Water engineer (professional),2121,2121,Civil engineers,0.252381,mapped by closest SOC2010 unit group
Building and building services engineer,2121,2129,Engineering professionals n.e.c.,0.288824,mapped by closest SOC2010 unit group
Engineering project manager,2127,2436,Construction project managers and related professionals,0.257037,mapped by closest SOC2010 unit group
Project engineer,2127,2129,Engineering professionals n.e.c.,0.288824,mapped by closest SOC2010 unit group
Energy engineer,2129,2129,Engineering professionals n.e.c.,0.288824,mapped by closest SOC2010 unit group
Traffic engineer,2129,2129,Engineering professionals n.e.c.,0.288824,mapped by closest SOC2010 unit group
Heating and ventilating engineer (professional),2129,5314,Plumbers and heating and ventilating engineers,0.521126,mapped by closest SOC2010 unit group
Gas engineer (professional),2129,2129,Engineering professionals n.e.c.,0.288824,mapped by closest SOC2010 unit group
Construction project manager,2455,2436,Construction project managers and related professionals,0.257037,mapped by closest SOC2010 unit group
Construction contract manager,2455,2436,Construction project managers and related professionals,0.257037,mapped by closest SOC2010 unit group
Transport planner,2455,2432,Town planning officers,0.228644,mapped by closest SOC2010 unit group
Quantity surveyor,2453,2433,Quantity surveyors,0.273715,mapped by closest SOC2010 unit group
Building control surveyor,2454,2434,Chartered surveyors,0.246337,mapped by closest SOC2010 unit group
Land surveyor,2454,2434,Chartered surveyors,0.246337,mapped by closest SOC2010 unit group
Hydrographic surveyor,2454,2434,Chartered surveyors,0.246337,mapped by closest SOC2010 unit group
Town planning officer,2452,2432,Town planning officers,0.228644,mapped by closest SOC2010 unit group
Urban designer,2452,2431,Architects,0.22483,mapped by closest SOC2010 unit group
Chartered architectural technologist,2452,2435,Chartered architectural technologists,0.270688,mapped by closest SOC2010 unit group
BIM technician,3120,3121,Architectural and town planning technicians,0.346049,mapped by closest SOC2010 unit group
CAD technician,3120,3122,Draughtspersons,0.386736,mapped by closest SOC2010 unit group
Architectural technician,3120,3121,Architectural and town planning technicians,0.346049,mapped by closest SOC2010 unit group
Cartographer,3120,,,,no direct SOC2010 match in ONS table
Civil engineering technician,3114,3114,Building and civil engineering technicians,0.377667,mapped by closest SOC2010 unit group
Building technician,3114,3114,Building and civil engineering technicians,0.377667,mapped by closest SOC2010 unit group
Surveying technician,3114,3114,Building and civil engineering technicians,0.377667,mapped by closest SOC2010 unit group
Planning engineer,2481,2461,Quality control and planning engineers,0.318019,mapped by closest SOC2010 unit group
Quality control engineer,2481,2461,Quality control and planning engineers,0.318019,mapped by closest SOC2010 unit group
Estimator,3541,,,,no direct SOC2010 match in ONS table
Valuer,3541,,,,no direct SOC2010 match in ONS table
Energy adviser and assessor,3541,,,,no direct SOC2010 match in ONS table
Building control officer,3581,3565,Inspectors of standards and regulations,0.336136,mapped by closest SOC2010 unit group
Housing and planning inspector,3581,3565,Inspectors of standards and regulations,0.336136,mapped by closest SOC2010 unit group
Health and safety inspector,3581,3567,Health and safety officers,0.35873,mapped by closest SOC2010 unit group
Traffic and vehicle examiner/inspector,3581,3565,Inspectors of standards and regulations,0.336136,mapped by closest SOC2010 unit group
Occupational health and safety officer,3582,3567,Health and safety officers,0.35873,mapped by closest SOC2010 unit group
Fire safety officer,3582,3567,Health and safety officers,0.35873,mapped by closest SOC2010 unit group
Road traffic and transport safety officer,3582,3567,Health and safety officers,0.35873,mapped by closest SOC2010 unit group
Occupational hygienist,3582,3567,Health and safety officers,0.35873,mapped by closest SOC2010 unit group
Environmental health professional,2483,2463,Environmental health professionals,0.234393,mapped by closest SOC2010 unit group
Environmental consultant,2152,2142,Environment professionals,0.237091,mapped by closest SOC2010 unit group
Environmental scientist,2152,2142,Environment professionals,0.237091,mapped by closest SOC2010 unit group
Environmental/geo-environmental engineer,2152,2142,Environment professionals,0.237091,mapped by closest SOC2010 unit group
Sustainability officer,2152,2142,Environment professionals,0.237091,mapped by closest SOC2010 unit group
Energy manager,2152,,,,no direct SOC2010 match in ONS table
Hydrogeologist,2114,,,,no direct SOC2010 match in ONS table
Hydrologist,2114,,,,no direct SOC2010 match in ONS table
