indicator,iso3,country,year,value
GB.XPD.RSDV.GD.ZS,AFW,Africa Western and Central,2019,0.277536756220093
GB.XPD.RSDV.GD.ZS,ARB,Arab World,2021,0.677204938802721
GB.XPD.RSDV.GD.ZS,ARB,Arab World,2020,0.692556590528382
GB.XPD.RSDV.GD.ZS,CEB,Central Europe and the Baltics,2023,1.34182612383603
GB.XPD.RSDV.GD.ZS,CEB,Central Europe and the Baltics,2022,1.29826358701501
GB.XPD.RSDV.GD.ZS,CEB,Central Europe and the Baltics,2021,1.31378375201668
GB.XPD.RSDV.GD.ZS,CEB,Central Europe and the Baltics,2020,1.29475897248932
GB.XPD.RSDV.GD.ZS,CEB,Central Europe and the Baltics,2019,1.23739742864273
GB.XPD.RSDV.GD.ZS,CEB,Central Europe and the Baltics,2018,1.18518867780574
GB.XPD.RSDV.GD.ZS,CEB,Central Europe and the Baltics,2017,1.08031757970669
GB.XPD.RSDV.GD.ZS,CEB,Central Europe and the Baltics,2016,1.02183730554662
GB.XPD.RSDV.GD.ZS,CEB,Central Europe and the Baltics,2015,1.13751441268097
GB.XPD.RSDV.GD.ZS,EAR,Early-demographic dividend,2020,0.801477422530873
GB.XPD.RSDV.GD.ZS,EAR,Early-demographic dividend,2019,0.740377199040134
GB.XPD.RSDV.GD.ZS,EAR,Early-demographic dividend,2018,0.737266646290267
GB.XPD.RSDV.GD.ZS,EAR,Early-demographic dividend,2017,0.717102657020471
GB.XPD.RSDV.GD.ZS,EAR,Early-demographic dividend,2016,0.752969757195789
GB.XPD.RSDV.GD.ZS,EAR,Early-demographic dividend,2015,0.719887001483297
GB.XPD.RSDV.GD.ZS,EAS,East Asia & Pacific,2023,2.77833006240947
GB.XPD.RSDV.GD.ZS,EAS,East Asia & Pacific,2022,2.71717559947169
GB.XPD.RSDV.GD.ZS,EAS,East Asia & Pacific,2021,2.57649455499986
GB.XPD.RSDV.GD.ZS,EAS,East Asia & Pacific,2020,2.50733914272744
GB.XPD.RSDV.GD.ZS,EAS,East Asia & Pacific,2019,2.33385397245774
GB.XPD.RSDV.GD.ZS,EAS,East Asia & Pacific,2018,2.32503653024289
GB.XPD.RSDV.GD.ZS,EAS,East Asia & Pacific,2017,2.28803085567583
GB.XPD.RSDV.GD.ZS,EAS,East Asia & Pacific,2016,2.30888797558082
GB.XPD.RSDV.GD.ZS,EAS,East Asia & Pacific,2015,2.29342659835787
GB.XPD.RSDV.GD.ZS,EAP,East Asia & Pacific (excluding high income),2023,2.47582029067574
GB.XPD.RSDV.GD.ZS,EAP,East Asia & Pacific (excluding high income),2022,2.41879972397241
GB.XPD.RSDV.GD.ZS,EAP,East Asia & Pacific (excluding high income),2021,2.30357679372756
GB.XPD.RSDV.GD.ZS,EAP,East Asia & Pacific (excluding high income),2020,2.11819098023791
GB.XPD.RSDV.GD.ZS,EAP,East Asia & Pacific (excluding high income),2019,1.95159268838599
GB.XPD.RSDV.GD.ZS,EAP,East Asia & Pacific (excluding high income),2018,1.88271981025066
GB.XPD.RSDV.GD.ZS,EAP,East Asia & Pacific (excluding high income),2017,1.87006122731623
GB.XPD.RSDV.GD.ZS,EAP,East Asia & Pacific (excluding high income),2016,1.87088501634354
GB.XPD.RSDV.GD.ZS,EAP,East Asia & Pacific (excluding high income),2015,1.87217417493176
GB.XPD.RSDV.GD.ZS,TEA,East Asia & Pacific (IDA & IBRD countries),2023,2.47582029067574
GB.XPD.RSDV.GD.ZS,TEA,East Asia & Pacific (IDA & IBRD countries),2022,2.41879972397241
GB.XPD.RSDV.GD.ZS,TEA,East Asia & Pacific (IDA & IBRD countries),2021,2.30357679372756
GB.XPD.RSDV.GD.ZS,TEA,East Asia & Pacific (IDA & IBRD countries),2020,2.11819098023791
GB.XPD.RSDV.GD.ZS,TEA,East Asia & Pacific (IDA & IBRD countries),2019,1.95159268838599
GB.XPD.RSDV.GD.ZS,TEA,East Asia & Pacific (IDA & IBRD countries),2018,1.88271981025066
GB.XPD.RSDV.GD.ZS,TEA,East Asia & Pacific (IDA & IBRD countries),2017,1.87006122731623
GB.XPD.RSDV.GD.ZS,TEA,East Asia & Pacific (IDA & IBRD countries),2016,1.87088501634354
GB.XPD.RSDV.GD.ZS,TEA,East Asia & Pacific (IDA & IBRD countries),2015,1.87217417493176
