importer,v22,v24,dlog,iso3,ai_M_2024,ai_F_2024,ai_M_2021,ai_F_2021,dM,dF,gap24
AUT,154.188877,122.869039,-0.22705926036036406,AUT,39.59,7.35,20.93,3.12,18.660000000000004,4.2299999999999995,32.24
BEL,95.693051,115.695319,0.18981449180762944,BEL,42.92,11.08,20.24,8.3,22.680000000000003,2.7799999999999994,31.840000000000003
CZE,76.588443,79.043128,0.03154743686514472,CZE,22.09,2.35,9.28,0.35,12.81,2.0,19.74
DEU,732.784431,925.946652,0.2339650545273777,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28
DNK,104.383409,148.108213,0.34987243031399196,DNK,44.9,11.7,39.22,8.87,5.68,2.83,33.2
ESP,109.442626,188.425081,0.543300031139295,ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64
FIN,112.30543,181.27078,0.478769722236696,FIN,48.46,11.26,29.63,9.39,18.830000000000002,1.8699999999999992,37.2
FRA,861.942117,830.096205,-0.03764651504488725,FRA,17.47,3.14,15.23,4.09,2.2399999999999984,-0.9499999999999997,14.329999999999998
GRC,12.018158,15.086611,0.2273889889666001,GRC,21.02,5.17,9.2,2.82,11.82,2.35,15.85
HUN,19.417447,16.226141,-0.17954840811905504,HUN,17.3,4.27,3.71,0.55,13.59,3.7199999999999998,13.030000000000001
IRL,1320.780606,911.385056,-0.3710127270298731,IRL,27.25,6.24,13.59,0.27,13.66,5.970000000000001,21.009999999999998
ITA,214.840873,268.558194,0.2231699993768128,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999
NLD,831.38987,967.242995,0.15135090889614755,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9
POL,43.513895,55.444616,0.24230430022229,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44
ROU,77.888381,67.608374,-0.1415449378757767,ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88
SWE,147.238624,202.639421,0.3193735852249384,SWE,53.71,13.15,16.47,2.32,37.24,10.83,40.56
