country,iso3,ai_F_2021,ai_F_2023,ai_F_2024,ai_F_2025,ai_M_2021,ai_M_2023,ai_M_2024,ai_M_2025
Austria,AUT,3.12,4.28,7.35,14.89,20.93,25.82,39.59,52.8
Belgium,BEL,8.3,5.17,11.08,20.25,20.24,28.28,42.92,57.11
Czechia,CZE,0.35,1.34,2.35,7.84,9.28,9.42,22.09,33.31
Denmark,DNK,8.87,3.23,11.7,23.93,39.22,23.58,44.9,63.71
Finland,FIN,9.39,5.18,11.26,24.01,29.63,31.54,48.46,74.75
France,FRA,4.09,2.09,3.14,9.52,15.23,13.75,17.47,32.5
Germany,DEU,8.29,4.48,10.01,14.28,25.54,26.34,42.29,48.3
Greece,GRC,2.82,3.4,5.17,6.96,9.2,8.67,21.02,30.81
Hungary,HUN,0.55,1.8,4.27,4.53,3.71,5.24,17.3,22.86
Ireland,IRL,0.27,5.92,6.24,9.2,13.59,15.77,27.25,31.76
Italy,ITA,5.24,2.62,5.24,10.39,8.68,9.23,19.56,35.72
Netherlands,NLD,7.39,4.72,8.88,21.29,20.05,24.8,39.78,54.98
Poland,POL,0.35,1.23,2.01,2.35,6.48,9.05,14.45,22.16
Portugal,PRT,1.06,2.92,2.74,4.74,10.38,10.68,,25.68
Romania,ROU,0.05,0.13,0.18,2.65,6.68,7.21,9.06,15.6
Spain,ESP,3.77,4.63,4.43,11.26,13.72,16.14,26.07,38.35
Sweden,SWE,2.32,2.78,13.15,14.9,16.47,20.69,53.71,64.88
