country,iso3,F,M,M71
Austria,AUT,5.539791048626341,15.018367274153865,8.827650630546469
Belgium,BEL,9.973948641607745,10.738148265987913,13.98601398601398
Czechia,CZE,7.302658279220764,3.4061656306900057,6.527446300716
Denmark,DNK,8.513746152642288,18.698673404927348,15.594109340326812
Finland,FIN,-5.203730976926845,7.291666666666674,4.7186932849364815
France,FRA,9.771635264266054,13.734290843806107,14.790794979079514
Germany,DEU,3.126221180148492,4.584040747028872,2.5252525252525304
Greece,GRC,0.4677754677754775,17.346563763322308,20.534458509142063
Hungary,HUN,13.508458489196574,11.743064158876738,10.043963476496454
Ireland,IRL,12.76092683915422,28.96155228171038,28.746928746928724
Italy,ITA,17.152103559870557,12.356830794662876,5.783738474434208
Netherlands,NLD,14.396887159533067,10.457516339869288,10.71428571428572
Poland,POL,-1.4406514249921787,20.161169974630646,27.084723148765843
Portugal,PRT,15.525922309358876,15.466811934294356,15.432630219543686
Romania,ROU,11.567944250871086,-3.510638297872337,-13.100436681222705
Spain,ESP,11.986402601241508,13.393426204133686,7.482993197278898
Sweden,SWE,5.053191489361697,7.438016528925617,
