country,iso3,F,M,M71
Austria,AUT,23.726568423254246,21.524258794288475,16.13826842125221
Belgium,BEL,33.81982775670185,32.01705782473567,40.759362343129624
Czechia,CZE,45.48121233605102,40.95480906620346,47.117820945945944
Denmark,DNK,15.637485391242878,21.6816644695363,34.20298815043792
Finland,FIN,-0.30068154483495757,16.65592486879661,12.968225264789467
France,FRA,15.909899431612363,13.4561490384693,14.03142821139105
Germany,DEU,30.53221679135958,26.12287406751146,14.728947582946116
Greece,GRC,80.58584214808788,41.36960111236638,39.31372549019609
Hungary,HUN,45.19026234932642,35.6672812003892,38.45964566929136
Ireland,IRL,43.36433780784272,74.80999817066075,70.00700280112045
Italy,ITA,68.62892176416517,33.907011916868754,54.96013414091641
Netherlands,NLD,33.7600353132673,33.680237178311636,29.184021204089362
Poland,POL,18.431890393216356,41.585783192955006,28.862465919418344
Portugal,PRT,41.65879509795503,51.3723030607125,63.12394313271121
Romania,ROU,82.72151809305808,50.550991785213405,63.47063842991236
Spain,ESP,6.8384525713666156,28.542582466673807,47.083478868319936
Sweden,SWE,12.230846451537825,18.885485462459073,
