nace,indic,2021,2023,2024,2025
C,E_AI_TANY,6.93,6.79,10.57,17.27
C,E_AI_TIR,2.16,2.23,2.74,3.14
C,E_AI_TML,1.67,1.73,2.73,3.66
C,E_AI_TNLG,0.85,1.19,3.53,7.09
C,E_AI_TPVSG,,,,7.54
C,E_AI_TTM,1.62,1.82,4.58,9.42
F,E_AI_TIR,1.17,0.82,1.49,2.27
F,E_AI_TML,0.68,0.43,0.83,1.62
F,E_AI_TNLG,0.99,0.58,2.42,3.25
F,E_AI_TPVSG,,,,4.47
F,E_AI_TTM,1.43,0.98,2.81,6.09
J,E_AI_TANY,25.37,29.53,48.72,62.52
J,E_AI_TIR,8.56,9.87,13.54,15.97
J,E_AI_TML,15.14,16.28,25.66,28.58
J,E_AI_TNLG,6.34,11.14,25.83,42.23
J,E_AI_TPVSG,,,,35.53
J,E_AI_TTM,11.54,14.25,30.11,42.22
M,E_AI_TIR,3.98,4.18,7.35,6.81
M,E_AI_TML,6.46,6.82,11.35,12.46
M,E_AI_TNLG,2.6,4.55,11.51,17.74
M,E_AI_TPVSG,,,,18.72
M,E_AI_TTM,6.13,6.92,15.61,25.22
N,E_AI_TANY,7.19,8.33,14.33,19.86
N,E_AI_TIR,1.88,1.9,2.96,4.01
N,E_AI_TML,1.63,2.31,3.96,4.43
N,E_AI_TNLG,1.11,2.52,4.96,8.58
N,E_AI_TPVSG,,,,9.48
N,E_AI_TTM,2.35,3.56,8.06,12.2
