soc,occupation,emp0,emp1,dlog,beta
2114,Physical scientists,26200,34900,0.28672741844133026,
2121,Civil engineers,115800,99200,-0.15472655084806775,0.375
2127,Engineering project managers and project engineers,62100,78600,0.23562571049572784,
2129,Engineering professionals n.e.c.,70500,110700,0.4512111298963682,
2152,Environment professionals,45300,80700,0.5774315427869148,
2452,"Chartered architectural technologists, planning officers and consultants",52000,57100,0.09356039808053726,
2453,Quantity surveyors,63000,54200,-0.1504538179459321,
2454,Chartered surveyors,76500,59900,-0.2446142357110865,
2455,Construction project managers and related professionals,107500,112300,0.04368301417667992,
2481,Quality control and planning engineers,47000,35100,-0.2919464712382384,
2483,Environmental health professionals,9000,11400,0.23638877806423034,
3114,Building and civil engineering technicians,5500,17300,1.1459584092653081,0.4772727272727273
3120,"CAD, drawing and architectural technicians",72900,55500,-0.27270561826222367,0.52
3541,"Estimators, valuers and assessors",55400,61300,0.10120024918892756,
3581,Inspectors of standards and regulations,48000,46700,-0.027456846233039317,
3582,Health and safety managers and officers,75400,89300,0.16919421286854294,
