nace,indic,geo,year,value
M,E_AI_TNLG,EU27_2020,2021,2.6
M,E_AI_TNLG,EU27_2020,2023,4.55
M,E_AI_TNLG,EU27_2020,2024,11.51
M,E_AI_TNLG,EU27_2020,2025,17.74
M,E_AI_TANY,EU27_2020,2021,17.39
M,E_AI_TANY,EU27_2020,2023,18.66
M,E_AI_TANY,EU27_2020,2024,30.53
M,E_AI_TANY,EU27_2020,2025,40.43
M,E_AI_TML,EU27_2020,2021,6.46
M,E_AI_TML,EU27_2020,2023,6.82
M,E_AI_TML,EU27_2020,2024,11.35
M,E_AI_TML,EU27_2020,2025,12.46
F,E_AI_TNLG,EU27_2020,2021,0.99
F,E_AI_TNLG,EU27_2020,2023,0.58
F,E_AI_TNLG,EU27_2020,2024,2.42
F,E_AI_TNLG,EU27_2020,2025,3.25
F,E_AI_TANY,EU27_2020,2021,4.62
F,E_AI_TANY,EU27_2020,2023,3.2
F,E_AI_TANY,EU27_2020,2024,6.09
F,E_AI_TANY,EU27_2020,2025,10.79
F,E_AI_TML,EU27_2020,2021,0.68
F,E_AI_TML,EU27_2020,2023,0.43
F,E_AI_TML,EU27_2020,2024,0.83
F,E_AI_TML,EU27_2020,2025,1.62
