STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,COUNTERPART_AREA,Counterpart area,TRADE_FLOW,Trade flow,PRODUCT_TYPE,Product type,SERVICE,Service,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,METHODOLOGY_TYPE,Methodology type,UNIT_MULT,Unit multiplier,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SJ1,Research and development services,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2016,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SJ1,Research and development services,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2018,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SJ1,Research and development services,A,Annual,USD_EXC,"US dollars, exchange rate converted",N,Reported,2019,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SJ1,Research and development services,A,Annual,USD_EXC,"US dollars, exchange rate converted",F,Adjusted and/or imputed,2020,,0.0,,I,Value imputed by a receiving agency,IE,Interpolation / extrapolation,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SJ1,Research and development services,A,Annual,USD_EXC,"US dollars, exchange rate converted",F,Adjusted and/or imputed,2019,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SJ1,Research and development services,A,Annual,USD_EXC,"US dollars, exchange rate converted",F,Adjusted and/or imputed,2018,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SJ1,Research and development services,A,Annual,USD_EXC,"US dollars, exchange rate converted",F,Adjusted and/or imputed,2016,,0.0,,A,Normal value,,,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,PHL,Philippines,M,Imports,S,Services,SJ1,Research and development services,A,Annual,USD_EXC,"US dollars, exchange rate converted",F,Adjusted and/or imputed,2017,,0.0,,I,Value imputed by a receiving agency,IE,Interpolation / extrapolation,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,CHN,China (People’s Republic of),M,Imports,S,Services,SJ,Other business services,A,Annual,USD_EXC,"US dollars, exchange rate converted",F,Adjusted and/or imputed,2019,,19.818862,,I,Value imputed by a receiving agency,DE,Derivation,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,IND,India,M,Imports,S,Services,SJ,Other business services,A,Annual,USD_EXC,"US dollars, exchange rate converted",F,Adjusted and/or imputed,2017,,9.527523,,I,Value imputed by a receiving agency,DE,Derivation,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,CHN,China (People’s Republic of),M,Imports,S,Services,SJ2,Professional and management consulting services,A,Annual,USD_EXC,"US dollars, exchange rate converted",F,Adjusted and/or imputed,2016,,2.593084,,I,Value imputed by a receiving agency,IE,Interpolation / extrapolation,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,CHN,China (People’s Republic of),M,Imports,S,Services,SJ1,Research and development services,A,Annual,USD_EXC,"US dollars, exchange rate converted",F,Adjusted and/or imputed,2016,,0.375628,,I,Value imputed by a receiving agency,IE,Interpolation / extrapolation,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BATIS@DF_BATIS(1.0),Balanced trade in services (BaTIS),I,ROU,Romania,IND,India,M,Imports,S,Services,SJ2,Professional and management consulting services,A,Annual,USD_EXC,"US dollars, exchange rate converted",F,Adjusted and/or imputed,2016,,3.365316,,I,Value imputed by a receiving agency,IE,Interpolation / extrapolation,6,Millions,USD,US dollar,2,Two
