dataset,na_item,nace,geo,year,unit,value
nama_10_a64,D1,M71,AT,2015,CP_MEUR,2251.4
nama_10_a64,D1,M71,AT,2016,CP_MEUR,2346.0
nama_10_a64,D1,M71,AT,2017,CP_MEUR,2462.9
nama_10_a64,D1,M71,AT,2018,CP_MEUR,2664.4
nama_10_a64,D1,M71,AT,2019,CP_MEUR,2822.3
nama_10_a64,D1,M71,AT,2020,CP_MEUR,2868.5
nama_10_a64,D1,M71,AT,2021,CP_MEUR,2956.8
nama_10_a64,D1,M71,AT,2022,CP_MEUR,3238.3
nama_10_a64,D1,M71,AT,2023,CP_MEUR,3500.4
nama_10_a64,D1,M71,AT,2024,CP_MEUR,3720.1
nama_10_a64,D1,M71,BE,2015,CP_MEUR,2425.2
nama_10_a64,D1,M71,BE,2016,CP_MEUR,2449.2
nama_10_a64,D1,M71,BE,2017,CP_MEUR,2601.9
nama_10_a64,D1,M71,BE,2018,CP_MEUR,2882.7
nama_10_a64,D1,M71,BE,2019,CP_MEUR,3050.4
nama_10_a64,D1,M71,BE,2020,CP_MEUR,3113.0
nama_10_a64,D1,M71,BE,2021,CP_MEUR,3378.3
nama_10_a64,D1,M71,BE,2022,CP_MEUR,3740.6
nama_10_a64,D1,M71,BE,2023,CP_MEUR,4145.7
nama_10_a64,D1,M71,CZ,2015,CP_MEUR,1156.2
nama_10_a64,D1,M71,CZ,2016,CP_MEUR,1241.4
nama_10_a64,D1,M71,CZ,2017,CP_MEUR,1361.9
nama_10_a64,D1,M71,CZ,2018,CP_MEUR,1566.5
nama_10_a64,D1,M71,CZ,2019,CP_MEUR,1640.5
nama_10_a64,D1,M71,CZ,2020,CP_MEUR,1587.3
nama_10_a64,D1,M71,CZ,2021,CP_MEUR,1797.7
nama_10_a64,D1,M71,CZ,2022,CP_MEUR,2056.5
nama_10_a64,D1,M71,CZ,2023,CP_MEUR,2273.0
nama_10_a64,D1,M71,CZ,2024,CP_MEUR,2350.9
nama_10_a64,D1,M71,CZ,2025,CP_MEUR,2615.1
nama_10_a64,D1,M71,DE,2015,CP_MEUR,27960.0
nama_10_a64,D1,M71,DE,2016,CP_MEUR,29819.0
nama_10_a64,D1,M71,DE,2017,CP_MEUR,32894.0
nama_10_a64,D1,M71,DE,2018,CP_MEUR,35282.0
nama_10_a64,D1,M71,DE,2019,CP_MEUR,37030.0
nama_10_a64,D1,M71,DE,2020,CP_MEUR,36824.0
nama_10_a64,D1,M71,DE,2021,CP_MEUR,38647.0
nama_10_a64,D1,M71,DE,2022,CP_MEUR,41362.0
