freq,unit,nace_r2,na_item,geo,time,value,nace,series
A,THS_PER,M71,EMP_DC,EU27_2020,1995,1516.65,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,1996,1577.9,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,1997,1621.69,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,1998,1692.24,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,1999,1770.22,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2000,1886.93,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2001,1948.59,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2002,2011.65,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2003,2069.23,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2004,2141.18,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2005,2192.54,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2006,2328.84,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2007,2466.94,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2008,2567.7,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2009,2550.09,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2010,2510.02,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2011,2555.83,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2012,2606.27,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2013,2625.28,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2014,2708.66,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2015,2721.77,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2016,2765.31,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2017,2853.27,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2018,2928.91,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2019,3000.71,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2020,3008.01,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2021,3095.86,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2022,3178.83,M71,emp_ths
A,THS_PER,M71,EMP_DC,EU27_2020,2023,3273.52,M71,emp_ths
A,THS_PER,M71,EMP_DC,DE,1995,331.0,M71,emp_ths
A,THS_PER,M71,EMP_DC,DE,1996,349.0,M71,emp_ths
A,THS_PER,M71,EMP_DC,DE,1997,366.0,M71,emp_ths
A,THS_PER,M71,EMP_DC,DE,1998,389.0,M71,emp_ths
