importer,partner,year,value,geo,iso3,tnlg_M_2021,tnlg_M_2023,tnlg_M_2024,tnlg_M_2025,tnlg_F_2021,tnlg_F_2023,tnlg_F_2024,tnlg_F_2025,tml_M_2021,tml_M_2023,tml_M_2024,tml_M_2025,ttm_M_2021,ttm_M_2023,ttm_M_2024,ttm_M_2025,tir_M_2021,tir_M_2023,tir_M_2024,tir_M_2025,tnlg_C_2021,tnlg_C_2023,tnlg_C_2024,tnlg_C_2025,tnlg_J_2021,tnlg_J_2023,tnlg_J_2024,tnlg_J_2025,tnlg_N_2021,tnlg_N_2023,tnlg_N_2024,tnlg_N_2025,tany_C_2021,tany_C_2023,tany_C_2024,tany_C_2025,tany_J_2021,tany_J_2023,tany_J_2024,tany_J_2025,tany_M_2021,tany_F_2021,tany_M_2023,tany_F_2023,tany_M_2024,tany_F_2024,tany_M_2025,tany_F_2025,d_tnlg_M_2124,d_tnlg_M_2324,d_tnlg_F_2124,d_tnlg_F_2324,d_tml_M_2324,d_ttm_M_2324,d_tir_M_2324,d_tany_M_2124,d_tnlg_J_2324,d_tnlg_C_2324,d_tnlg_N_2324,country,logv,post,post24,post_x_d_tnlg_M_2324,p24_x_d_tnlg_M_2324,post_x_d_tnlg_M_2124,p24_x_d_tnlg_M_2124,post_x_d_tnlg_F_2324,p24_x_d_tnlg_F_2324,post_x_d_tml_M_2324,p24_x_d_tml_M_2324,post_x_d_ttm_M_2324,p24_x_d_ttm_M_2324,post_x_d_tir_M_2324,p24_x_d_tir_M_2324,post_x_d_tany_M_2124,p24_x_d_tany_M_2124,post_x_d_tnlg_J_2324,p24_x_d_tnlg_J_2324,post_x_d_tnlg_C_2324,p24_x_d_tnlg_C_2324,post_x_d_tnlg_N_2324,p24_x_d_tnlg_N_2324,post_x_tnlg_M_2024,p24_x_tnlg_M_2024
ROU,IND,2018,18.189512,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,2.900845164242723,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,PHL,2018,4.919153,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,1.5931363612123899,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,VNM,2018,1.330194,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,0.28532479625810125,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,IND,2020,50.036097,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,3.912744684954821,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,PHL,2020,4.955868,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,1.6005723290296279,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,IND,2019,60.01501,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,4.094594697602305,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,PHL,2019,4.012616,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,1.3894433976955791,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,VNM,2019,2.061074,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,0.7232272061642903,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,VNM,2020,2.2186,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,0.7968763663224222,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ROU,IND,2022,77.888381,RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania,4.3552767889923745,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
