indicator,iso3,country,year,value
IT.NET.BBND.P2,AFE,Africa Eastern and Southern,2025,1.41
IT.NET.BBND.P2,AFE,Africa Eastern and Southern,2024,1.03
IT.NET.BBND.P2,AFE,Africa Eastern and Southern,2023,0.78
IT.NET.BBND.P2,AFE,Africa Eastern and Southern,2022,0.67
IT.NET.BBND.P2,AFE,Africa Eastern and Southern,2021,0.62
IT.NET.BBND.P2,AFE,Africa Eastern and Southern,2020,0.51
IT.NET.BBND.P2,AFE,Africa Eastern and Southern,2019,0.6
IT.NET.BBND.P2,AFE,Africa Eastern and Southern,2018,0.5
IT.NET.BBND.P2,AFE,Africa Eastern and Southern,2017,0.5
IT.NET.BBND.P2,AFE,Africa Eastern and Southern,2016,0.5
IT.NET.BBND.P2,AFE,Africa Eastern and Southern,2015,0.5
IT.NET.BBND.P2,AFW,Africa Western and Central,2025,0.69
IT.NET.BBND.P2,AFW,Africa Western and Central,2024,0.57
IT.NET.BBND.P2,AFW,Africa Western and Central,2023,0.48
IT.NET.BBND.P2,AFW,Africa Western and Central,2022,0.41
IT.NET.BBND.P2,AFW,Africa Western and Central,2021,0.36
IT.NET.BBND.P2,AFW,Africa Western and Central,2020,0.37
IT.NET.BBND.P2,AFW,Africa Western and Central,2019,0.3
IT.NET.BBND.P2,AFW,Africa Western and Central,2018,0.2
IT.NET.BBND.P2,AFW,Africa Western and Central,2017,0.2
IT.NET.BBND.P2,AFW,Africa Western and Central,2016,0.2
IT.NET.BBND.P2,AFW,Africa Western and Central,2015,0.1
IT.NET.BBND.P2,ARB,Arab World,2022,11.9963102299597
IT.NET.BBND.P2,ARB,Arab World,2021,9.72405002319894
IT.NET.BBND.P2,ARB,Arab World,2020,8.64722518977881
IT.NET.BBND.P2,ARB,Arab World,2019,7.48830314498961
IT.NET.BBND.P2,ARB,Arab World,2018,7.42213410612557
IT.NET.BBND.P2,ARB,Arab World,2017,6.75037761278678
IT.NET.BBND.P2,ARB,Arab World,2016,5.40362000528477
IT.NET.BBND.P2,ARB,Arab World,2015,4.98570358832213
IT.NET.BBND.P2,CSS,Caribbean small states,2021,18.3844757261607
IT.NET.BBND.P2,CSS,Caribbean small states,2020,18.4915639241509
IT.NET.BBND.P2,CSS,Caribbean small states,2019,16.0168044444927
IT.NET.BBND.P2,CSS,Caribbean small states,2018,17.4299988451081
IT.NET.BBND.P2,CSS,Caribbean small states,2017,15.194029672585
IT.NET.BBND.P2,CSS,Caribbean small states,2016,14.3725860244286
IT.NET.BBND.P2,CSS,Caribbean small states,2015,13.122045644732
IT.NET.BBND.P2,CEB,Central Europe and the Baltics,2022,29.5807948378636
IT.NET.BBND.P2,CEB,Central Europe and the Baltics,2021,28.9659286694394
IT.NET.BBND.P2,CEB,Central Europe and the Baltics,2020,27.6199726811752
IT.NET.BBND.P2,CEB,Central Europe and the Baltics,2019,26.3462865575171
IT.NET.BBND.P2,CEB,Central Europe and the Baltics,2018,25.2903305687623
IT.NET.BBND.P2,CEB,Central Europe and the Baltics,2017,24.2605433782126
IT.NET.BBND.P2,CEB,Central Europe and the Baltics,2016,23.2181457096423
IT.NET.BBND.P2,CEB,Central Europe and the Baltics,2015,22.4291409822815
IT.NET.BBND.P2,EAR,Early-demographic dividend,2022,5.98967585553685
IT.NET.BBND.P2,EAR,Early-demographic dividend,2021,5.47910506073188
IT.NET.BBND.P2,EAR,Early-demographic dividend,2020,4.84527695969511
IT.NET.BBND.P2,EAR,Early-demographic dividend,2019,4.18222696155961
IT.NET.BBND.P2,EAR,Early-demographic dividend,2018,4.14596909449036
IT.NET.BBND.P2,EAR,Early-demographic dividend,2017,3.65839456855015
IT.NET.BBND.P2,EAR,Early-demographic dividend,2016,3.44187901225152
IT.NET.BBND.P2,EAR,Early-demographic dividend,2015,3.10118535406309
IT.NET.BBND.P2,EAS,East Asia & Pacific,2025,36.46
IT.NET.BBND.P2,EAS,East Asia & Pacific,2024,34.75
IT.NET.BBND.P2,EAS,East Asia & Pacific,2023,33.13
IT.NET.BBND.P2,EAS,East Asia & Pacific,2022,31.12
IT.NET.BBND.P2,EAS,East Asia & Pacific,2021,28.69
IT.NET.BBND.P2,EAS,East Asia & Pacific,2020,26.14
IT.NET.BBND.P2,EAS,East Asia & Pacific,2019,24.4
IT.NET.BBND.P2,EAS,East Asia & Pacific,2018,22.4
IT.NET.BBND.P2,EAS,East Asia & Pacific,2017,21.6
IT.NET.BBND.P2,EAS,East Asia & Pacific,2016,18.4
IT.NET.BBND.P2,EAS,East Asia & Pacific,2015,16.3
IT.NET.BBND.P2,EAP,East Asia & Pacific (excluding high income),2025,35.91
IT.NET.BBND.P2,EAP,East Asia & Pacific (excluding high income),2024,34.15
IT.NET.BBND.P2,EAP,East Asia & Pacific (excluding high income),2023,32.48
IT.NET.BBND.P2,EAP,East Asia & Pacific (excluding high income),2022,30.38
IT.NET.BBND.P2,EAP,East Asia & Pacific (excluding high income),2021,27.78
IT.NET.BBND.P2,EAP,East Asia & Pacific (excluding high income),2020,25.05
IT.NET.BBND.P2,EAP,East Asia & Pacific (excluding high income),2019,23.6249612413341
IT.NET.BBND.P2,EAP,East Asia & Pacific (excluding high income),2018,21.4912358499865
IT.NET.BBND.P2,EAP,East Asia & Pacific (excluding high income),2017,20.6158047610263
IT.NET.BBND.P2,EAP,East Asia & Pacific (excluding high income),2016,17.0570951109245
IT.NET.BBND.P2,EAP,East Asia & Pacific (excluding high income),2015,14.7798050266976
IT.NET.BBND.P2,TEA,East Asia & Pacific (IDA & IBRD countries),2025,36.36
IT.NET.BBND.P2,TEA,East Asia & Pacific (IDA & IBRD countries),2024,34.57
IT.NET.BBND.P2,TEA,East Asia & Pacific (IDA & IBRD countries),2023,32.88
IT.NET.BBND.P2,TEA,East Asia & Pacific (IDA & IBRD countries),2022,30.76
IT.NET.BBND.P2,TEA,East Asia & Pacific (IDA & IBRD countries),2021,28.12
IT.NET.BBND.P2,TEA,East Asia & Pacific (IDA & IBRD countries),2020,25.36
IT.NET.BBND.P2,TEA,East Asia & Pacific (IDA & IBRD countries),2019,23.5
IT.NET.BBND.P2,TEA,East Asia & Pacific (IDA & IBRD countries),2018,21.3
IT.NET.BBND.P2,TEA,East Asia & Pacific (IDA & IBRD countries),2017,20.5
IT.NET.BBND.P2,TEA,East Asia & Pacific (IDA & IBRD countries),2016,17.0
IT.NET.BBND.P2,TEA,East Asia & Pacific (IDA & IBRD countries),2015,14.7
IT.NET.BBND.P2,EMU,Euro area,2022,40.8890630672494
IT.NET.BBND.P2,EMU,Euro area,2021,39.907173788575
IT.NET.BBND.P2,EMU,Euro area,2020,38.9134629698703
IT.NET.BBND.P2,EMU,Euro area,2019,37.8238210695565
IT.NET.BBND.P2,EMU,Euro area,2018,36.9809043655201
IT.NET.BBND.P2,EMU,Euro area,2017,36.0242017920541
IT.NET.BBND.P2,EMU,Euro area,2016,34.7862827751847
IT.NET.BBND.P2,EMU,Euro area,2015,33.5833939250786
IT.NET.BBND.P2,ECS,Europe & Central Asia,2025,34.45
IT.NET.BBND.P2,ECS,Europe & Central Asia,2024,33.47
IT.NET.BBND.P2,ECS,Europe & Central Asia,2023,32.56
IT.NET.BBND.P2,ECS,Europe & Central Asia,2022,31.57
IT.NET.BBND.P2,ECS,Europe & Central Asia,2021,30.85
IT.NET.BBND.P2,ECS,Europe & Central Asia,2020,29.8
IT.NET.BBND.P2,ECS,Europe & Central Asia,2019,28.5
IT.NET.BBND.P2,ECS,Europe & Central Asia,2018,27.8
IT.NET.BBND.P2,ECS,Europe & Central Asia,2017,26.9
IT.NET.BBND.P2,ECS,Europe & Central Asia,2016,25.6
IT.NET.BBND.P2,ECS,Europe & Central Asia,2015,24.8
IT.NET.BBND.P2,ECA,Europe & Central Asia (excluding high income),2025,24.53
IT.NET.BBND.P2,ECA,Europe & Central Asia (excluding high income),2024,23.11
IT.NET.BBND.P2,ECA,Europe & Central Asia (excluding high income),2023,21.79
IT.NET.BBND.P2,ECA,Europe & Central Asia (excluding high income),2022,20.13
IT.NET.BBND.P2,ECA,Europe & Central Asia (excluding high income),2021,19.15
IT.NET.BBND.P2,ECA,Europe & Central Asia (excluding high income),2020,17.68
IT.NET.BBND.P2,ECA,Europe & Central Asia (excluding high income),2019,15.5606133758178
IT.NET.BBND.P2,ECA,Europe & Central Asia (excluding high income),2018,15.3491254650346
IT.NET.BBND.P2,ECA,Europe & Central Asia (excluding high income),2017,13.6946760886332
IT.NET.BBND.P2,ECA,Europe & Central Asia (excluding high income),2016,12.6541741689409
IT.NET.BBND.P2,ECA,Europe & Central Asia (excluding high income),2015,11.7041776028352
IT.NET.BBND.P2,TEC,Europe & Central Asia (IDA & IBRD countries),2025,26.72
IT.NET.BBND.P2,TEC,Europe & Central Asia (IDA & IBRD countries),2024,25.36
IT.NET.BBND.P2,TEC,Europe & Central Asia (IDA & IBRD countries),2023,24.09
IT.NET.BBND.P2,TEC,Europe & Central Asia (IDA & IBRD countries),2022,22.66
IT.NET.BBND.P2,TEC,Europe & Central Asia (IDA & IBRD countries),2021,21.68
IT.NET.BBND.P2,TEC,Europe & Central Asia (IDA & IBRD countries),2020,20.51
IT.NET.BBND.P2,TEC,Europe & Central Asia (IDA & IBRD countries),2019,18.8
IT.NET.BBND.P2,TEC,Europe & Central Asia (IDA & IBRD countries),2018,18.2
IT.NET.BBND.P2,TEC,Europe & Central Asia (IDA & IBRD countries),2017,17.3
IT.NET.BBND.P2,TEC,Europe & Central Asia (IDA & IBRD countries),2016,15.9
IT.NET.BBND.P2,TEC,Europe & Central Asia (IDA & IBRD countries),2015,15.2
IT.NET.BBND.P2,EUU,European Union,2022,38.6802657254509
