Specification,Coefficient (s.e.),N,Note
(1) Post × M-AI 2024,0.002 (0.003),336,EU importers × IND/PHL/VNM; TWFE
(2) Post × ΔM 2021–24 [headline],0.000 (0.006),336,Preferred: GenAI window is the 2023–24 jump
(3) Horse race: Post × ΔM,0.001 (0.008),336,Same regression as (4)
(4) Horse race: Post × ΔF,-0.004 (0.029),336,"Construction AI change, controlling for M"
(5) Placebo SI digital services,-0.002 (0.007),336,Computer services from same partners
(6) Placebo SE from China,-0.002 (0.007),112,Project-based construction services; BaTIS does not identify mode
(7) Placebo SJ3 from China,0.009 (0.010),112,SJ3 from China
(8) Placebo SE from SJ3 exporters,-0.009 (0.014),336,Construction services from IND/PHL/VNM
(9) Post × (M−F) 2024 gap,0.003 (0.004),336,Professional minus construction AI
(10) Time-varying M-AI 2021/23/24,0.003 (0.003),150,Eurostat years overlapping BaTIS
(11) Placebo time-varying F-AI,-0.010 (0.010),153,Construction AI
(12) Drop 2020–21,0.002 (0.004),240,Omit COVID years
"(13) Fake post=2020 × ΔM, sample 2018–21",-0.000 (0.005),192,Pre-trend placebo
"(14) IHS(value), Post × ΔM",0.001 (0.006),336,arcsinh instead of log
(15) WLS by 2019 SJ3 value,-0.007 (0.009),336,Larger corridors weighted more
"(H) India only, Post × ΔM",0.005 (0.005),112,Partner = IND
"(H) Philippines only, Post × ΔM",-0.014 (0.014),112,Partner = PHL
"(H) Viet Nam only, Post × ΔM",0.010 (0.006),112,Partner = VNM
(16) Cross-section Δlog IN SJ3 22–24 on ΔM,0.007 (0.004),16,No FE; one obs per importer
(17) EU-8 only: Post × ΔM 2021–24,0.019*** (0.006),168,DEU FRA NLD POL ITA ESP IRL ROU; fragility check
(18) EU-8 only: time-varying M-AI,0.023** (0.010),72,"Same 8 importers, 2021/23/24"
