spec,coef,se,p,n,r2,clusters,note,display
(1) Post × M-AI 2024,0.0023622079278811,0.0029876984091907,0.4291513515247023,336,0.9454427524887908,16.0,EU importers × IND/PHL/VNM; TWFE,0.002 (0.003)
(2) Post × ΔM 2021–24 [headline],0.0004841029140138,0.0056593513365028,0.9318318155490104,336,0.94537226213646,16.0,Preferred: GenAI window is the 2023–24 jump,0.000 (0.006)
(3) Horse race: Post × ΔM,0.0013718458643817,0.0084258660385455,0.8706651735927673,336,0.9453749677002136,16.0,Same regression as (4),0.001 (0.008)
(4) Horse race: Post × ΔF,-0.0035659750712401,0.028770212334644,0.901357416371784,336,0.9453749677002136,16.0,"Construction AI change, controlling for M",-0.004 (0.029)
(5) Placebo SI Mode-1,-0.0019769281511956,0.0071194636762985,0.7812585023996218,336,0.9466834832630024,16.0,Computer services from same partners,-0.002 (0.007)
(6) Placebo SE from China,-0.0022102984828695,0.0074953607853498,0.7680787734554622,112,0.9206424458520835,16.0,Mode-3 construction services,-0.002 (0.007)
(7) Placebo SJ3 from China,0.0089059020411768,0.0099352789019987,0.3700435719880554,112,0.9693700301125278,16.0,SJ3 from China,0.009 (0.010)
(8) Placebo SE from Mode-1,-0.0088401574832802,0.0135478315594053,0.5140692768530238,336,0.7998675572484774,16.0,Construction services from IND/PHL/VNM,-0.009 (0.014)
(9) Post × (M−F) 2024 gap,0.0032801582386644,0.0040922436977729,0.4228104393664715,336,0.9454447105625072,16.0,Professional minus construction AI,0.003 (0.004)
(10) Time-varying M-AI 2021/23/24,0.0026669263777174,0.0031338117793063,0.3947600372535703,150,0.935064155081691,17.0,Eurostat years overlapping BaTIS,0.003 (0.003)
(11) Placebo time-varying F-AI,-0.0096285446185241,0.0102983033529318,0.349806766235393,153,0.9312871493962372,17.0,Construction AI,-0.010 (0.010)
(12) Drop 2020–21,0.0023557427267356,0.0040439807853852,0.5602093073749581,240,0.951518054265144,16.0,Omit COVID years,0.002 (0.004)
"(13) Fake post=2020 × ΔM, sample 2018–21",-0.0001062972715463,0.004545696903669,0.9813438456845291,192,0.9451773143272826,16.0,Pre-trend placebo,-0.000 (0.005)
"(14) IHS(value), Post × ΔM",0.0006676878685851,0.0055813014532743,0.904776711460376,336,0.9445651739081156,16.0,arcsinh instead of log,0.001 (0.006)
(15) WLS by 2019 SJ3 value,-0.0068835558414166,0.0088789998728741,0.438184549925479,336,0.0040970445373875,16.0,Larger corridors weighted more,-0.007 (0.009)
"(H) India only, Post × ΔM",0.0054325567949214,0.0047674484032117,0.2544903541994946,112,0.9655612298702028,16.0,Partner = IND,0.005 (0.005)
"(H) Philippines only, Post × ΔM",-0.0138596885977045,0.014073943244569,0.3247338652718397,112,0.950282241354192,16.0,Partner = PHL,-0.014 (0.014)
"(H) Viet Nam only, Post × ΔM",0.0098794405448247,0.006064670393974,0.103309791111813,112,0.9567875619625044,16.0,Partner = VNM,0.010 (0.006)
(16) Cross-section Δlog IN SJ3 22–24 on ΔM,0.0065648228000143,0.0043347225578113,0.1299057691609298,16,0.0469454082126942,,No FE; one obs per importer,0.007 (0.004)
(17) EU-8 only: Post × ΔM 2021–24,0.01901891880110177,0.005739390866290706,0.0009205306654945822,168,,8.0,DEU FRA NLD POL ITA ESP IRL ROU; reproduces earlier sample,0.019*** (0.006)
(18) EU-8 only: time-varying M-AI,0.02336607543560735,0.009845861930364713,0.017635313992580667,72,,8.0,"Same 8 importers, 2021/23/24",0.023** (0.010)
