dropped,country,coef,se,p,n,display
AUT,Austria,0.0012122438682876232,0.006245272722963207,0.8460930139065413,315,0.001 (0.006)
BEL,Belgium,0.00014374607592146545,0.005948054492029572,0.9807194753170333,315,0.000 (0.006)
CZE,Czechia,0.0007056411073699872,0.005492575309913887,0.8977756034271329,315,0.001 (0.005)
DEU,Germany,0.0007312881015804454,0.005939472166224041,0.9020093691688451,315,0.001 (0.006)
DNK,Denmark,0.0015062943156599316,0.006069767114065598,0.8040079486819289,315,0.002 (0.006)
ESP,Spain,0.0005564926087044687,0.005644105391623219,0.9214581466419449,315,0.001 (0.006)
FIN,Finland,-0.00043288061659217187,0.005145045410127648,0.9329487540963616,315,-0.000 (0.005)
FRA,France,-0.0022411864509681,0.005319587594251749,0.6735299640292609,315,-0.002 (0.005)
GRC,Greece,0.0005110413413794087,0.005685712412780734,0.9283812453704481,315,0.001 (0.006)
HUN,Hungary,0.0004132880584279247,0.005833365060165052,0.9435179365155997,315,0.000 (0.006)
IRL,Ireland,0.0006312472540880224,0.0053046407765556134,0.9052761022879432,315,0.001 (0.005)
ITA,Italy,0.00023304488336203718,0.00576745085218537,0.9677687191759181,315,0.000 (0.006)
NLD,Netherlands,-0.0005302277909094538,0.005167117120499766,0.9182679126078268,315,-0.001 (0.005)
POL,Poland,0.0006320339895563716,0.0058780488970836915,0.9143729274669086,315,0.001 (0.006)
PRT,Portugal,0.00048410291401388447,0.005659351336502823,0.9318318155490104,336,0.000 (0.006)
ROU,Romania,-0.0020315310158034792,0.005471980754967537,0.7104434193990115,315,-0.002 (0.005)
SWE,Sweden,0.009810807830566464,0.0055809235302782725,0.07876140470972627,315,0.010* (0.006)
