DATE,SOC2020_FULL,SOC2020_FULL_NAME,OBS_VALUE,OBS_STATUS,soc,name,date,emp
2021-12,49,2121 : Civil engineers,115800,A,2121,Civil engineers,2021-12-01,115800
2021-12,123,2453 : Quantity surveyors,63000,A,2453,Quantity surveyors,2021-12-01,63000
2021-12,125,2455 : Construction project managers and related professionals,107500,A,2455,Construction project managers and related professionals,2021-12-01,107500
2021-12,143,3114 : Building and civil engineering technicians,5500,A,3114,Building and civil engineering technicians,2021-12-01,5500
2021-12,147,"3120 : CAD, drawing and architectural technicians",72900,A,3120,"CAD, drawing and architectural technicians",2021-12-01,72900
2022-03,49,2121 : Civil engineers,111400,A,2121,Civil engineers,2022-03-01,111400
2022-03,123,2453 : Quantity surveyors,65100,A,2453,Quantity surveyors,2022-03-01,65100
2022-03,125,2455 : Construction project managers and related professionals,107600,A,2455,Construction project managers and related professionals,2022-03-01,107600
2022-03,143,3114 : Building and civil engineering technicians,4800,A,3114,Building and civil engineering technicians,2022-03-01,4800
2022-03,147,"3120 : CAD, drawing and architectural technicians",75700,A,3120,"CAD, drawing and architectural technicians",2022-03-01,75700
2022-06,49,2121 : Civil engineers,111900,A,2121,Civil engineers,2022-06-01,111900
2022-06,123,2453 : Quantity surveyors,61100,A,2453,Quantity surveyors,2022-06-01,61100
2022-06,125,2455 : Construction project managers and related professionals,98700,A,2455,Construction project managers and related professionals,2022-06-01,98700
2022-06,143,3114 : Building and civil engineering technicians,5800,A,3114,Building and civil engineering technicians,2022-06-01,5800
2022-06,147,"3120 : CAD, drawing and architectural technicians",74600,A,3120,"CAD, drawing and architectural technicians",2022-06-01,74600
2022-09,49,2121 : Civil engineers,117100,A,2121,Civil engineers,2022-09-01,117100
2022-09,123,2453 : Quantity surveyors,63300,A,2453,Quantity surveyors,2022-09-01,63300
2022-09,125,2455 : Construction project managers and related professionals,92000,A,2455,Construction project managers and related professionals,2022-09-01,92000
2022-09,143,3114 : Building and civil engineering technicians,6900,A,3114,Building and civil engineering technicians,2022-09-01,6900
2022-09,147,"3120 : CAD, drawing and architectural technicians",80300,A,3120,"CAD, drawing and architectural technicians",2022-09-01,80300
2022-12,49,2121 : Civil engineers,116900,A,2121,Civil engineers,2022-12-01,116900
2022-12,123,2453 : Quantity surveyors,59600,A,2453,Quantity surveyors,2022-12-01,59600
2022-12,125,2455 : Construction project managers and related professionals,92700,A,2455,Construction project managers and related professionals,2022-12-01,92700
2022-12,143,3114 : Building and civil engineering technicians,11100,A,3114,Building and civil engineering technicians,2022-12-01,11100
2022-12,147,"3120 : CAD, drawing and architectural technicians",82800,A,3120,"CAD, drawing and architectural technicians",2022-12-01,82800
2023-03,49,2121 : Civil engineers,114100,A,2121,Civil engineers,2023-03-01,114100
2023-03,123,2453 : Quantity surveyors,61800,A,2453,Quantity surveyors,2023-03-01,61800
2023-03,125,2455 : Construction project managers and related professionals,84800,A,2455,Construction project managers and related professionals,2023-03-01,84800
2023-03,143,3114 : Building and civil engineering technicians,12000,A,3114,Building and civil engineering technicians,2023-03-01,12000
2023-03,147,"3120 : CAD, drawing and architectural technicians",75900,A,3120,"CAD, drawing and architectural technicians",2023-03-01,75900
2023-06,49,2121 : Civil engineers,113700,A,2121,Civil engineers,2023-06-01,113700
2023-06,123,2453 : Quantity surveyors,62300,A,2453,Quantity surveyors,2023-06-01,62300
2023-06,125,2455 : Construction project managers and related professionals,83900,A,2455,Construction project managers and related professionals,2023-06-01,83900
2023-06,143,3114 : Building and civil engineering technicians,13000,A,3114,Building and civil engineering technicians,2023-06-01,13000
2023-06,147,"3120 : CAD, drawing and architectural technicians",72100,A,3120,"CAD, drawing and architectural technicians",2023-06-01,72100
