freq,size_emp,nace_r2,indic_is,unit,geo,time,value,indic,nace
A,GE10,F,E_AI_TNLG,PC_ENT,EU27_2020,2021,0.99,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,EU27_2020,2023,0.58,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,EU27_2020,2024,2.42,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,EU27_2020,2025,3.25,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,DE,2021,1.59,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,DE,2023,0.45,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,DE,2024,3.3,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,DE,2025,3.02,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,FR,2021,1.31,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,FR,2023,0.38,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,FR,2024,1.8,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,FR,2025,2.59,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,NL,2021,0.22,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,NL,2023,1.02,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,NL,2024,4.3,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,NL,2025,8.13,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,PL,2021,0.01,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,PL,2023,0.28,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,PL,2024,0.9,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,PL,2025,1.15,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,RO,2021,0.02,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,RO,2023,0.02,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,RO,2024,0.04,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,RO,2025,1.3,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,IT,2021,1.72,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,IT,2023,0.71,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,IT,2024,2.4,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,IT,2025,3.1,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,ES,2021,0.59,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,ES,2023,1.46,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,ES,2024,1.47,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,ES,2025,4.17,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,IE,2021,0.0,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,IE,2023,1.48,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,IE,2024,2.67,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,IE,2025,0.38,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,BE,2021,0.47,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,BE,2023,2.4,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,BE,2024,5.33,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,BE,2025,4.88,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,AT,2021,0.53,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,AT,2023,0.72,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,AT,2024,3.55,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,AT,2025,5.99,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,SE,2021,0.19,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,SE,2023,0.05,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,SE,2024,5.21,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,SE,2025,4.79,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,DK,2021,1.34,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,DK,2023,1.26,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,DK,2024,6.79,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,DK,2025,14.98,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,PT,2021,0.43,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,PT,2023,0.03,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,PT,2024,1.25,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,PT,2025,0.29,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,CZ,2021,0.0,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,CZ,2023,0.0,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,CZ,2024,1.14,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,CZ,2025,5.85,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,HU,2021,0.07,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,HU,2023,0.43,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,HU,2024,0.43,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,HU,2025,1.41,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,FI,2021,2.19,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,FI,2023,0.86,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,FI,2024,6.61,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,FI,2025,9.2,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,EL,2021,0.0,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,EL,2023,0.3,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,EL,2024,1.84,E_AI_TNLG,F
A,GE10,F,E_AI_TNLG,PC_ENT,EL,2025,1.75,E_AI_TNLG,F
A,GE10,M,E_AI_TNLG,PC_ENT,EU27_2020,2021,2.6,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,EU27_2020,2023,4.55,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,EU27_2020,2024,11.51,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,EU27_2020,2025,17.74,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DE,2021,2.48,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DE,2023,5.98,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DE,2024,12.28,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,DE,2025,14.74,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FR,2021,1.69,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FR,2023,1.26,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FR,2024,3.9,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,FR,2025,11.8,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,NL,2021,3.76,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,NL,2023,7.68,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,NL,2024,22.01,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,NL,2025,30.18,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PL,2021,0.45,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PL,2023,1.81,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PL,2024,5.45,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,PL,2025,13.58,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,RO,2021,3.98,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,RO,2023,4.99,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,RO,2024,3.73,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,RO,2025,8.69,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,IT,2021,1.34,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,IT,2023,2.85,E_AI_TNLG,M
A,GE10,M,E_AI_TNLG,PC_ENT,IT,2024,9.44,E_AI_TNLG,M
