STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency,MEASURE,Measure,SEX,Sex,ECO,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE_TYPE,Unit of measure type,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,SOURCE,Source,NOTE_SOURCE,Source Notes,NOTE_INDICATOR,Indicator Notes,NOTE_CLASSIF,Classification Notes,DECIMALS,Decimals,UPPER_BOUND,Upper bound of Observation Value,LOWER_BOUND,Lower bound of Observation Value
DATAFLOW,ILO:DF_EMP_TEMP_SEX_ECO_NB(1.0),Employment by sex and economic activity,I,ARE,United Arab Emirates,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition - ICLS13),SEX_T,Total,ECO_ISIC4_F,F. Construction,2018,,1610.756,,,,NB,Number,PS,Persons,3,Thousands,LFS - Labour Force Survey,,Repository: ILO-STATISTICS - Micro data processing,,,,,,1,1,,,,
DATAFLOW,ILO:DF_EMP_TEMP_SEX_ECO_NB(1.0),Employment by sex and economic activity,I,ARE,United Arab Emirates,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition - ICLS13),SEX_T,Total,ECO_ISIC4_M,"M. Professional, scientific and technical activities",2018,,302.359,,,,NB,Number,PS,Persons,3,Thousands,LFS - Labour Force Survey,,Repository: ILO-STATISTICS - Micro data processing,,,,,,1,1,,,,
DATAFLOW,ILO:DF_EMP_TEMP_SEX_ECO_NB(1.0),Employment by sex and economic activity,I,ARE,United Arab Emirates,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition - ICLS13),SEX_T,Total,ECO_ISIC4_F,F. Construction,2019,,1289.764,,,,NB,Number,PS,Persons,3,Thousands,LFS - Labour Force Survey,,Repository: ILO-STATISTICS - Micro data processing,,,,,,1,1,,,,
DATAFLOW,ILO:DF_EMP_TEMP_SEX_ECO_NB(1.0),Employment by sex and economic activity,I,ARE,United Arab Emirates,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition - ICLS13),SEX_T,Total,ECO_ISIC4_M,"M. Professional, scientific and technical activities",2019,,328.661,,,,NB,Number,PS,Persons,3,Thousands,LFS - Labour Force Survey,,Repository: ILO-STATISTICS - Micro data processing,,,,,,1,1,,,,
DATAFLOW,ILO:DF_EMP_TEMP_SEX_ECO_NB(1.0),Employment by sex and economic activity,I,ARE,United Arab Emirates,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition - ICLS13),SEX_T,Total,ECO_ISIC4_F,F. Construction,2020,,1192.413,,,,NB,Number,PS,Persons,3,Thousands,LFS - Labour Force Survey,,Repository: ILO-STATISTICS - Micro data processing,,,,,,1,1,,,,
DATAFLOW,ILO:DF_EMP_TEMP_SEX_ECO_NB(1.0),Employment by sex and economic activity,I,ARE,United Arab Emirates,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition - ICLS13),SEX_T,Total,ECO_ISIC4_M,"M. Professional, scientific and technical activities",2020,,370.816,,,,NB,Number,PS,Persons,3,Thousands,LFS - Labour Force Survey,,Repository: ILO-STATISTICS - Micro data processing,,,,,,1,1,,,,
DATAFLOW,ILO:DF_EMP_TEMP_SEX_ECO_NB(1.0),Employment by sex and economic activity,I,ARE,United Arab Emirates,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition - ICLS13),SEX_T,Total,ECO_ISIC4_F,F. Construction,2021,,1290.335,,,,NB,Number,PS,Persons,3,Thousands,LFS - Labour Force Survey,,Repository: ILO-STATISTICS - Micro data processing,,,,,,1,1,,,,
DATAFLOW,ILO:DF_EMP_TEMP_SEX_ECO_NB(1.0),Employment by sex and economic activity,I,ARE,United Arab Emirates,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition - ICLS13),SEX_T,Total,ECO_ISIC4_M,"M. Professional, scientific and technical activities",2021,,308.912,,,,NB,Number,PS,Persons,3,Thousands,LFS - Labour Force Survey,,Repository: ILO-STATISTICS - Micro data processing,,,,,,1,1,,,,
DATAFLOW,ILO:DF_EMP_TEMP_SEX_ECO_NB(1.0),Employment by sex and economic activity,I,ARE,United Arab Emirates,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition - ICLS13),SEX_T,Total,ECO_ISIC4_F,F. Construction,2022,,1297.337,,,,NB,Number,PS,Persons,3,Thousands,LFS - Labour Force Survey,,Repository: ILO-STATISTICS - Micro data processing,,,,,,1,1,,,,
DATAFLOW,ILO:DF_EMP_TEMP_SEX_ECO_NB(1.0),Employment by sex and economic activity,I,ARE,United Arab Emirates,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition - ICLS13),SEX_T,Total,ECO_ISIC4_M,"M. Professional, scientific and technical activities",2022,,446.396,,,,NB,Number,PS,Persons,3,Thousands,LFS - Labour Force Survey,,Repository: ILO-STATISTICS - Micro data processing,,,,,,1,1,,,,
