corridor,SERVICE,service_name,usd_mn_2019,usd_mn_2024,change_pct_2019_2024
China imports from UK,SE,Construction services (SE),54.8,70.8,29.2
China imports from UK,SI,Computer and information services (SI),1639.3,2404.1,46.7
China imports from UK,SJ3,Technical and other business services (SJ3),739.0,954.6,29.2
India imports from UK,SE,Construction services (SE),39.3,72.6,84.8
India imports from UK,SI,Computer and information services (SI),389.2,707.6,81.8
India imports from UK,SJ3,Technical and other business services (SJ3),787.6,1554.2,97.3
UK imports from China,SE,Construction services (SE),118.5,179.8,51.7
UK imports from China,SI,Computer and information services (SI),724.7,1054.5,45.5
UK imports from China,SJ3,Technical and other business services (SJ3),775.5,1546.0,99.3
UK imports from India,SE,Construction services (SE),41.9,72.8,73.7
UK imports from India,SI,Computer and information services (SI),2215.3,4723.0,113.2
UK imports from India,SJ3,Technical and other business services (SJ3),2186.6,4979.3,127.7
