nace,series,freq,unit,nace_r2,na_item,geo,time,value
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,1995,37812.9
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,1996,37071.4
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,1997,34636.7
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,1998,35376.5
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,1999,36339.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2000,36789.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2001,37730.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2002,35869.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2003,35128.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2004,33552.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2005,34618.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2006,36391.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2007,37443.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2008,40364.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2009,39291.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2010,43077.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2011,44818.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2012,44828.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2013,48758.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2014,46843.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2015,51402.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2016,52405.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2017,58336.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2018,60148.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2019,61335.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2020,59981.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2021,64528.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2022,59285.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,DE,2023,70369.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,1993,10006.5
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,1994,10536.7
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,1995,11278.4
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,1996,11857.7
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,1997,12398.6
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,1998,13576.6
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,1999,14706.9
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2000,16573.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2001,17667.7
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2002,18304.6
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2003,19690.5
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2004,20175.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2005,22027.4
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2006,25224.3
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2007,26976.7
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2008,29288.3
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2009,26792.3
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2010,27032.8
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2011,28715.8
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2012,29906.5
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2013,30496.4
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2014,30723.3
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2015,31064.9
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2016,32403.8
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2017,34543.8
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2018,34904.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2019,37297.7
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2020,34589.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2021,37565.8
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2022,40219.9
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2023,42531.1
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,FR,2024,45129.2
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,1995,4094.7
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,1996,4369.9
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,1997,4460.6
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,1998,4758.5
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,1999,5198.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2000,5638.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2001,6208.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2002,6310.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2003,6426.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2004,6612.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2005,7093.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2006,7850.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2007,8562.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2008,9501.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2009,9312.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2010,8995.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2011,8857.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2012,8354.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2013,8286.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2014,8411.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2015,8683.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2016,8943.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2017,9525.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2018,10159.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2019,10564.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2020,11319.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2021,12105.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2022,12413.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2023,13647.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2024,14984.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,NL,2025,15965.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,1995,408.5
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,1996,421.1
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,1997,623.9
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,1998,911.3
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,1999,976.3
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2000,1737.2
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2001,1951.2
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2002,1882.6
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2003,1734.9
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2004,1679.8
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2005,2116.6
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2006,2499.3
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2007,2929.7
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2008,3360.7
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2009,3207.3
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2010,3471.6
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2011,3450.5
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2012,3658.6
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2013,3685.3
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2014,4024.8
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2015,4521.2
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2016,3924.2
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2017,4074.2
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2018,4743.2
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2019,5281.6
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2020,5498.1
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2021,5026.7
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2022,5234.8
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,PL,2023,6806.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,1995,137.9
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,1996,168.0
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,1997,206.3
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,1998,268.3
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,1999,241.6
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,2000,261.4
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,2001,226.5
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,2002,250.4
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,2003,272.8
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,2004,347.5
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,2005,434.8
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,2006,707.1
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,2007,831.6
M71,gva_cp_meur,A,CP_MEUR,M71,B1G,RO,2008,1090.6
