spec,coef,se,p,n,r2,note,display
(N1) Post×ΔM TNLG 2023–24 [preferred GenAI shock],0.008612672617100125,0.0053541011401950795,0.10770115659738833,357,0.9320736843738556,NLG jump is the ChatGPT window; EU × IND/PHL/VNM,0.009 (0.005)
(N2) Post2024×ΔM TNLG 2023–24,0.006676488678581837,0.0030208144602209062,0.027093936139486782,357,0.931913668279835,Treat only 2024 as post (BaTIS ends 2024),0.007** (0.003)
(N3) Post×ΔM TNLG 2021–24,0.007067141131716232,0.004991659982138085,0.15683706602379885,357,0.9320402604514905,Comparable window to generic TANY ΔM,0.007 (0.005)
(N4) Post× TNLG M 2024 level,0.005860482810171966,0.0037558530570740555,0.11867483597114449,357,0.9320394056873227,Level not change,0.006 (0.004)
(N5) Placebo Post×ΔF TNLG 2023–24,0.01506285898860178,0.02005678531310124,0.45264625798800284,357,0.9318773080134736,Construction enterprises using NLG,0.015 (0.020)
(N6) Horse: Post×ΔM TNLG,0.015332094238179439,0.0036933908277447217,3.307012769111226e-05,357,0.9322651177186876,Same regression as N7,0.015*** (0.004)
(N7) Horse: Post×ΔM TML (ML placebo),-0.025787370438281276,0.01401751812513193,0.06581918568349399,357,0.9322651177186876,"Machine learning, not generative NLG",-0.026* (0.014)
(N8) Placebo Post×ΔM TTM 2023–24,0.0036955202815634057,0.008175771910439271,0.6512626930142945,357,0.9318539457628818,Text mining (also jumped; not NLG),0.004 (0.008)
(N9) Placebo Post×ΔM TIR 2023–24,-0.009512381743067382,0.020190567151707816,0.6375479084775866,357,0.9318577517070424,Image recognition,-0.010 (0.020)
(N10) Comparison Post×ΔM TANY 2021–24,0.00048410291401388447,0.005659351336502823,0.9318318155490104,336,0.9453722621364601,Generic any-AI; mixes ML and GenAI,0.000 (0.006)
(N11) Placebo SI Post×ΔM TNLG,-0.0018667159660535686,0.006122693938569302,0.7604539364552526,357,0.9409193589294499,Computer services from same partners,-0.002 (0.006)
(N12) Placebo China SE Post×ΔM TNLG,-0.007900783316265151,0.009333796499154513,0.3972903283131669,119,0.921465877973364,Project-based construction services from China; BaTIS does not identify mode,-0.008 (0.009)
(N13) Placebo China SJ3 Post×ΔM TNLG,0.005418098611640176,0.009532913472282651,0.5697925457850879,119,0.9702218200638855,SJ3 from China,0.005 (0.010)
(N14) Placebo Post×ΔJ TNLG 2023–24,0.009125168702727473,0.004098710904404163,0.025990686697480576,357,0.9320960321890426,"ICT sector NLG (NACE J), not M71-containing M",0.009** (0.004)
(N15) Placebo Post×ΔC TNLG 2023–24,0.01696184919873447,0.00802487327856629,0.03454436468904178,357,0.9320678710067902,Manufacturing NLG,0.017** (0.008)
(N16) Placebo Post×ΔN TNLG 2023–24,0.014834609012827883,0.006895959764168642,0.03146018401692307,357,0.9320779850480824,Administrative/support NLG,0.015** (0.007)
(NH) India only Post×ΔM TNLG 2023–24,0.021392100210455504,0.007901340257604484,0.006781219718980914,119,0.9718823058173496,Partner = IND,0.021*** (0.008)
(NH) Philippines only Post×ΔM TNLG 2023–24,-0.006804081180439476,0.014672400851797402,0.6428388207343179,119,0.9535412097676909,Partner = PHL,-0.007 (0.015)
(NH) Viet Nam only Post×ΔM TNLG 2023–24,0.011249998821284324,0.007792862795172419,0.14884350385921497,119,0.9557702785304532,Partner = VNM,0.011 (0.008)
(N17) EU-8 Post×ΔM TNLG 2023–24,0.029125805237026733,0.005854402716726847,6.523891128083889e-07,168,0.960204153301011,Same fragile eight-country sample as TANY EU-8,0.029*** (0.006)
(N18) Cross-section Δlog IN SJ3 22–24 on ΔTNLG 23–24,0.01670183040968716,0.004233295692532082,7.968371766149603e-05,17,0.22047146436169718,No FE; one obs per importer,0.017*** (0.004)
(N19) log M71 GVA Post×ΔM TNLG 2023–24,-0.006733846604819134,0.0037701581862688615,0.07408448222247069,96,0.9965453010559012,Domestic architectural & engineering GVA; GVA only to 2023,-0.007* (0.004)
(N20) SJ2 consulting Post×ΔM TNLG,0.005634429538244118,0.011403252844231864,0.6212304605944513,357,0.8481621287595562,Same importers/partners as SJ3,0.006 (0.011)
(N20) SJ1 R&D Post×ΔM TNLG,0.0068506168234765165,0.010911307694900006,0.5301050728837464,357,0.896993301554812,Same importers/partners as SJ3,0.007 (0.011)
