bop_item,partner,n_cells,n_geos,n_years,min_year,max_year,geos_with_2023,geos_with_2024,complete_2022_and_2024
SJ3,IN,174,18,10,2015.0,2024.0,17,17,17
SJ3,CN_X_HK,165,18,10,2015.0,2024.0,16,15,15
SJ3,PH,155,18,10,2015.0,2024.0,17,15,14
SJ3,VN,0,0,0,,,0,0,0
SJ31,IN,128,17,10,2015.0,2024.0,13,14,12
SJ31,CN_X_HK,131,17,10,2015.0,2024.0,14,14,13
SJ31,PH,116,17,10,2015.0,2024.0,12,12,11
SJ31,VN,0,0,0,,,0,0,0
SJ311,IN,119,16,10,2015.0,2024.0,12,13,12
SJ311,CN_X_HK,110,14,10,2015.0,2024.0,13,12,9
SJ311,PH,138,16,10,2015.0,2024.0,13,13,12
SJ311,VN,0,0,0,,,0,0,0
SJ312,IN,139,16,10,2015.0,2024.0,14,15,14
SJ312,CN_X_HK,138,16,10,2015.0,2024.0,13,15,12
SJ312,PH,116,15,10,2015.0,2024.0,11,13,11
SJ312,VN,0,0,0,,,0,0,0
SJ313,IN,127,13,10,2015.0,2024.0,12,13,13
SJ313,CN_X_HK,135,15,10,2015.0,2024.0,14,13,12
SJ313,PH,113,14,10,2015.0,2024.0,11,10,10
SJ313,VN,0,0,0,,,0,0,0
SE,IN,153,18,10,2015.0,2024.0,14,14,13
SE,CN_X_HK,154,18,10,2015.0,2024.0,15,15,13
SE,PH,145,17,10,2015.0,2024.0,15,14,13
SE,VN,0,0,0,,,0,0,0
SE1,IN,0,0,0,,,0,0,0
SE1,CN_X_HK,0,0,0,,,0,0,0
SE1,PH,0,0,0,,,0,0,0
SE1,VN,0,0,0,,,0,0,0
SE2,IN,0,0,0,,,0,0,0
SE2,CN_X_HK,0,0,0,,,0,0,0
SE2,PH,0,0,0,,,0,0,0
SE2,VN,0,0,0,,,0,0,0
SI,IN,173,18,10,2015.0,2024.0,17,17,17
SI,CN_X_HK,173,18,10,2015.0,2024.0,17,17,17
SI,PH,162,18,10,2015.0,2024.0,16,16,16
SI,VN,0,0,0,,,0,0,0
SI2,IN,0,0,0,,,0,0,0
SI2,CN_X_HK,0,0,0,,,0,0,0
SI2,PH,0,0,0,,,0,0,0
SI2,VN,0,0,0,,,0,0,0
