rq,spec,coef,se,p,n,r2,note,display
RQ2,RQ2a Indian SJ3 Post×ΔM TNLG (BaTIS B),0.021392100210455504,0.007901340257604484,0.006781219718980914,119,0.9718823058173496,Preferred balanced series; includes 2024,0.021*** (0.008)
RQ2,RQ2b Indian SJ3 Post2024×ΔM TNLG (BaTIS B),0.010647316478381139,0.0065923496246609705,0.1062886271468242,119,0.9698331822425094,Treat only 2024 as post,0.011 (0.007)
RQ2,RQ2c Pooled SJ3 IND/PHL/VNM Post×ΔM TNLG (BaTIS B),0.008612672617100125,0.0053541011401950795,0.10770115659738833,357,0.9320736843738556,Partner FE,0.009 (0.005)
RQ3,RQ3a Chinese SE Post×ΔM TNLG (BaTIS B),-0.007900783316265151,0.009333796499154513,0.3972903283131669,119,0.921465877973364,Project-based comparison; not a GATS mode,-0.008 (0.009)
RQ3,RQ3b Indian SI Post×ΔM TNLG (BaTIS B),-0.008975055638642699,0.005289558516615685,0.08974403452802335,119,0.9901557760362221,Computer-services placebo,-0.009* (0.005)
RQ3,RQ3c Chinese SJ3 Post×ΔM TNLG (BaTIS B),0.005418098611640176,0.009532913472282651,0.5697925457850879,119,0.9702218200638855,"Same heading, different partner",0.005 (0.010)
RQ3,RQ3d Indian SE Post×ΔM TNLG (BaTIS B),-0.01504189939021957,0.014723303590515472,0.3069518487583416,119,0.9346725643109015,Indian construction services (thin corridor),-0.015 (0.015)
RQ2,RQ2d Indian engineering SJ312 Post×ΔM TNLG (Eurostat ITS),0.026276463901917145,0.014073786490807079,0.06189459753904663,96,0.9323311888153563,"Official engineering heading; importers=16, years=10; missing years not filled",0.026* (0.014)
RQ3,RQ3e Chinese engineering SJ312 Post×ΔM TNLG (Eurostat ITS),-0.06229711951439509,0.026633568034933403,0.0193330942454992,97,0.9249311819295729,Same official heading from China except Hong Kong,-0.062** (0.027)
RQ2,RQ2e Cross-section Δlog IN engineering SJ312 22–24 on ΔTNLG,0.0323350697529976,0.03207699491495622,0.31343262889462165,14,0.08568877715332235,No FE; only reporters with both 2022 and 2024 published,0.032 (0.032)
RQ2,RQ2d Indian arch+eng SJ31 Post×ΔM TNLG (Eurostat ITS),0.024781674107753837,0.015575537527704625,0.11159521566716768,88,0.9594610513758586,"Official engineering heading; importers=16, years=10; missing years not filled",0.025 (0.016)
RQ3,RQ3e Chinese arch+eng SJ31 Post×ΔM TNLG (Eurostat ITS),-0.04294219938115854,0.016796522217928107,0.010569687403791465,94,0.9195844738043285,Same official heading from China except Hong Kong,-0.043** (0.017)
RQ2,RQ2e Cross-section Δlog IN arch+eng SJ31 22–24 on ΔTNLG,0.07038406347827739,0.03723931761245535,0.058751663909544866,12,0.33673834670470704,No FE; only reporters with both 2022 and 2024 published,0.070* (0.037)
RQ2,RQ2d Indian architectural SJ311 Post×ΔM TNLG (Eurostat ITS),-0.01156894731953201,0.013862230640144349,0.4039620738806081,84,0.7791540414924105,"Official engineering heading; importers=16, years=10; missing years not filled",-0.012 (0.014)
RQ3,RQ3e Chinese architectural SJ311 Post×ΔM TNLG (Eurostat ITS),0.08009822973785273,0.06740626888397137,0.2347189746236732,78,0.6472366136868254,Same official heading from China except Hong Kong,0.080 (0.067)
RQ2,RQ2e Cross-section Δlog IN architectural SJ311 22–24 on ΔTNLG,-0.013724641252246483,0.022440474447133547,0.5408010496717407,12,0.012042977599552196,No FE; only reporters with both 2022 and 2024 published,-0.014 (0.022)
RQ2,RQ2d Indian ITS SJ3 Post×ΔM TNLG (Eurostat ITS),0.03500556003653445,0.015203869980843634,0.02131199577485105,119,0.966943373324075,"Official engineering heading; importers=17, years=10; missing years not filled",0.035** (0.015)
RQ3,RQ3e Chinese ITS SJ3 Post×ΔM TNLG (Eurostat ITS),0.008929407557895489,0.0171237020359479,0.6020430327019404,110,0.9493825100726062,Same official heading from China except Hong Kong,0.009 (0.017)
RQ2,RQ2e Cross-section Δlog IN ITS SJ3 22–24 on ΔTNLG,0.051438361515986915,0.02527824302111538,0.041862270591752515,17,0.3645080506766567,No FE; only reporters with both 2022 and 2024 published,0.051** (0.025)
RQ4,RQ4a Relocation index log(IN SJ3)−log(CN SE) Post×ΔTNLG,0.029292883526720655,0.013279116692469707,0.027388470776781217,119,0.844489267877415,Positive = Indian technical services rose relative to Chinese construction,0.029** (0.013)
RQ4,"RQ4b Same index, Post2024×ΔTNLG",0.005883925403638033,0.012311802586708137,0.6327147359712052,119,0.8370615060993807,2024 only,0.006 (0.012)
RQ4,RQ4d ITS index log(IN SJ312)−log(CN SJ312) Post×ΔTNLG,0.1006600547745032,0.03487429174679749,0.003897156500602111,86,0.5652752133093291,"Engineering services only; unbalanced (missing years dropped, not filled)",0.101*** (0.035)
RQ4,RQ4c Cross-section Δrelocation index 22–24 on ΔTNLG,-0.0010006489124001477,0.012346526876139194,0.9354045781282964,17,0.0003508506198025563,One observation per importer,-0.001 (0.012)
RQ5,RQ5 M71 turnover Post2024×ΔM TNLG,-0.006845248916273384,0.003183200815697485,0.031521257530458195,68,0.9959561217645314,SBS current prices; one complete post-shock year,-0.007** (0.003)
RQ5,RQ5 M71 employment Post2024×ΔM TNLG,-0.00039351127708857705,0.001685777053391885,0.815427363522487,68,0.9989570469926702,SBS current prices; one complete post-shock year,-0.000 (0.002)
RQ5,RQ5 M71 wages Post2024×ΔM TNLG,-0.009190364566735396,0.003301280141125128,0.005371306259207914,68,0.9978671185365068,SBS current prices; one complete post-shock year,-0.009*** (0.003)
RQ6,"RQ6a Indian SJ3 Post×ΔM TNLG (BaTIS reported N, ≤2023)",0.02149159451762721,0.012370160154968547,0.08232117903390103,102,0.9660749960422579,Reported cells; sample max year=2023; 2024 unpublished so Post=2023 only,0.021* (0.012)
RQ8,RQ8 Science and engineering professionals Post×ΔM TNLG,-0.0008664863706852243,0.004175656217477313,0.8356123413464287,119,0.9937482376832685,ISCO 2-digit; not civil engineers (2142),-0.001 (0.004)
RQ8,RQ8 Science and engineering associate professionals Post×ΔM TNLG,0.002979721313269054,0.0029786113859563428,0.31713020916510337,119,0.9924451099700072,ISCO 2-digit; not civil engineers (2142),0.003 (0.003)
RQ8,RQ8 ICT professionals Post×ΔM TNLG,-0.0064255162687993006,0.002935879496906896,0.028624676976996905,119,0.9921322803853679,ISCO 2-digit; not civil engineers (2142),-0.006** (0.003)
RQ8,RQ8 Building trades workers Post×ΔM TNLG,-0.007102124764832904,0.0016004450476628555,9.09701509593258e-06,119,0.9965229164125649,ISCO 2-digit; not civil engineers (2142),-0.007*** (0.002)
