geo,iso3,tnlg_M_2021,tnlg_M_2023,tnlg_M_2024,tnlg_M_2025,d_tnlg_M_2324,d_tnlg_M_2124
DE,DEU,2.48,5.98,12.28,14.74,6.299999999999999,9.799999999999999
FR,FRA,1.69,1.26,3.9,11.8,2.6399999999999997,2.21
NL,NLD,3.76,7.68,22.01,30.18,14.330000000000002,18.25
PL,POL,0.45,1.81,5.45,13.58,3.64,5.0
RO,ROU,3.98,4.99,3.73,8.69,-1.2600000000000002,-0.25
IT,ITA,1.34,2.85,9.44,17.65,6.59,8.1
ES,ESP,3.06,4.44,11.92,17.31,7.4799999999999995,8.86
IE,IRL,2.85,5.02,13.61,13.29,8.59,10.76
BE,BEL,6.59,8.19,19.45,25.41,11.26,12.86
AT,AUT,3.4,5.73,13.94,26.92,8.209999999999999,10.54
SE,SWE,4.81,8.41,29.61,43.0,21.2,24.8
DK,DNK,10.56,8.37,34.06,49.96,25.690000000000005,23.5
PT,PRT,4.68,2.09,8.32,11.92,6.23,3.6400000000000006
CZ,CZE,3.49,0.45,10.71,25.19,10.260000000000002,7.220000000000001
HU,HUN,0.69,0.76,4.2,11.37,3.4400000000000004,3.5100000000000002
FI,FIN,3.88,11.17,30.02,43.6,18.85,26.14
EL,GRC,0.65,1.8,7.23,13.95,5.430000000000001,6.58
