year,soc,value,name
2021,2114,26200.0,Physical scientists (comparison)
2021,2121,115800.0,Civil engineers
2021,2453,63000.0,Quantity surveyors
2021,2455,107500.0,Construction project managers
2021,3114,5500.0,Building and civil engineering technicians
2021,3120,72900.0,"CAD, drawing and architectural technicians"
2022,2114,27325.0,Physical scientists (comparison)
2022,2121,114325.0,Civil engineers
2022,2453,62275.0,Quantity surveyors
2022,2455,97750.0,Construction project managers
2022,3114,7150.0,Building and civil engineering technicians
2022,3120,78350.0,"CAD, drawing and architectural technicians"
2023,2114,34300.0,Physical scientists (comparison)
2023,2121,108700.0,Civil engineers
2023,2453,63450.0,Quantity surveyors
2023,2455,82700.0,Construction project managers
2023,3114,15050.0,Building and civil engineering technicians
2023,3120,66200.0,"CAD, drawing and architectural technicians"
2024,2114,25275.0,Physical scientists (comparison)
2024,2121,95925.0,Civil engineers
2024,2453,53625.0,Quantity surveyors
2024,2455,91075.0,Construction project managers
2024,3114,23825.0,Building and civil engineering technicians
2024,3120,57450.0,"CAD, drawing and architectural technicians"
2025,2114,32966.666666666664,Physical scientists (comparison)
2025,2121,97566.66666666667,Civil engineers
2025,2453,50000.0,Quantity surveyors
2025,2455,105633.33333333333,Construction project managers
2025,3114,17433.333333333332,Building and civil engineering technicians
2025,3120,55533.333333333336,"CAD, drawing and architectural technicians"
