REF_AREA,COUNTERPART_AREA,TRADE_FLOW,SERVICE,TIME_PERIOD,OBS_VALUE,ADJUSTMENT,UNIT_MEASURE,OBS_STATUS,source_key
GBR,IND,M,SE,2015,12.813699,B,USD_EXC,I,GBR.IND.M.S.SE.A.USD_EXC.B
GBR,IND,M,SE,2016,22.792937,B,USD_EXC,I,GBR.IND.M.S.SE.A.USD_EXC.B
GBR,IND,M,SE,2017,30.544211,B,USD_EXC,I,GBR.IND.M.S.SE.A.USD_EXC.B
GBR,IND,M,SE,2018,44.719499,B,USD_EXC,I,GBR.IND.M.S.SE.A.USD_EXC.B
GBR,IND,M,SE,2019,41.902342,B,USD_EXC,I,GBR.IND.M.S.SE.A.USD_EXC.B
GBR,IND,M,SE,2020,37.444938,B,USD_EXC,I,GBR.IND.M.S.SE.A.USD_EXC.B
GBR,IND,M,SE,2021,45.989018,B,USD_EXC,I,GBR.IND.M.S.SE.A.USD_EXC.B
GBR,IND,M,SE,2022,38.892405,B,USD_EXC,I,GBR.IND.M.S.SE.A.USD_EXC.B
GBR,IND,M,SE,2023,52.201733,B,USD_EXC,I,GBR.IND.M.S.SE.A.USD_EXC.B
GBR,IND,M,SE,2024,72.770864,B,USD_EXC,I,GBR.IND.M.S.SE.A.USD_EXC.B
GBR,IND,M,SI,2015,1757.693027,B,USD_EXC,I,GBR.IND.M.S.SI.A.USD_EXC.B
GBR,IND,M,SI,2016,1528.858249,B,USD_EXC,I,GBR.IND.M.S.SI.A.USD_EXC.B
GBR,IND,M,SI,2017,1636.70655,B,USD_EXC,I,GBR.IND.M.S.SI.A.USD_EXC.B
GBR,IND,M,SI,2018,1957.10771,B,USD_EXC,I,GBR.IND.M.S.SI.A.USD_EXC.B
GBR,IND,M,SI,2019,2215.278313,B,USD_EXC,I,GBR.IND.M.S.SI.A.USD_EXC.B
GBR,IND,M,SI,2020,2255.07815,B,USD_EXC,I,GBR.IND.M.S.SI.A.USD_EXC.B
