REF_AREA,year,construction_F,professional_M,logM_minus_logF
GBR,2018,2348.616,2416.943,0.028677299994360084
GBR,2019,2258.131,2397.982,0.06009007033401392
GBR,2020,2208.545,2669.17,0.18943363499395716
GBR,2021,2103.568,2701.339,0.250112625405734
GBR,2022,2179.169,2772.97,0.24097533649905767
GBR,2023,2133.008,2988.184,0.33713265495835376
GBR,2024,2086.936,2921.765,0.33649092413036286
GBR,2025,2083.538,2947.496,0.34688858609122697
IND,2018,41067.545,3143.916,-2.5697489935368143
IND,2019,45526.465,3327.181,-2.616168406293788
IND,2020,44137.454,2963.686,-2.7008749551559887
IND,2021,48835.251,3022.606,-2.782333035444653
IND,2022,60020.697,2938.453,-3.016806200352919
IND,2023,57290.116,3138.01,-2.9045392721557004
IND,2024,60557.655,3760.797,-2.7789649834259667
IND,2025,56210.645,4342.503,-2.5606552417955193
