adjustment,year,M_UK_IN_SJ3,M_UK_IN_SE,M_UK_IN_SI,M_IN_UK_SJ3,M_IN_UK_SE,M_IN_UK_SI,M_UK_W_SJ3,M_UK_W_SE,DDI_imp,DDI_exp,NSP,TMI_imp,TMI_exp,PG,India_share_UK_SJ3
B,2015,1204.871109,12.813699,1757.693027,712.025051,58.934042,529.746304,39761.805346,2705.312794,0.9894769985501863,0.923557498011117,0.5260147819364791,4.543613043710225,2.4916942084317855,-0.37762957137658937,0.030302223415547423
B,2016,1272.323805,22.792937,1528.858249,539.935939,47.837231,407.827346,43109.477931,3404.393042,0.9824008629795012,0.9186127685957494,0.8571497741439096,4.02214956791679,2.4236462735071105,-0.1836762181418221,0.02951378365185612
B,2017,1666.377681,30.544211,1636.70655,540.748272,28.510879,305.111373,46789.383925,3831.441474,0.9820002257357878,0.9499158178662287,1.1254536270477589,3.999232321287519,2.9426681355297686,0.017966195855117384,0.03561443945641778
B,2018,1795.352063,44.719499,1957.10771,721.509595,39.734411,1801.030403,53900.943823,4639.913292,0.9756968696633767,0.9478033184014325,0.9116107402575988,3.6925467913234518,2.8991280887302437,-0.08626658713909219,0.033308360404514986
B,2019,2186.610935,41.902342,2215.278313,787.631945,39.300114,389.199964,52349.608883,4561.805311,0.9811971764169122,0.9524747969651519,1.0210772000312058,3.9547663855484503,2.997803486236969,-0.013025217893424923,0.041769384368983885
B,2020,2430.565755,37.444938,2255.07815,783.792772,55.993918,554.440515,54388.645937,4891.924589,0.9848278866431961,0.9333236419834184,1.1317346662408783,4.173007796285473,2.638901586288661,0.07493942256809571,0.044688844760272156
B,2021,3189.190512,45.989018,2794.747525,786.526502,39.782409,439.354704,58087.06176,4821.628239,0.9857847091410101,0.951855282606289,1.3998959875304626,4.2391197767272155,2.9842015883910484,0.13202535502216062,0.05490362940334065
B,2022,4012.287126,38.892405,3298.536882,978.665434,78.115238,531.18499,61965.612978,4129.801336,0.9903997330401203,0.926081882390824,1.4109268717919274,4.636317725974817,2.5280046948795043,0.1958824332741198,0.06475022085918049
B,2023,3901.590722,52.201733,4082.178578,1365.628621,68.218901,661.771385,64602.857588,4565.673696,0.986797047747414,0.9524224856874286,1.049769496580625,4.3140239328230185,2.9966484625981478,-0.045246463691352545,0.06039346969575417
B,2024,4979.295577,72.770864,4722.960399,1554.186073,72.613044,707.567182,72031.008185,4740.750918,0.9855958220562128,0.9553644680273085,1.1643364477572424,4.225728054298931,3.063562686741177,0.052852624464181375,0.06912711209332909
N,2015,,0.0,785.510836,,,,,1836.394836,,,,,,,
N,2016,1190.9,5.4,603.5,,,,40808.254979,1880.819801,0.9954860820864331,,,5.396065649203722,,0.6797185622363644,0.029182820990822554
N,2017,1647.4,,652.5,,,,43177.614961,2083.7176,,,,,,0.9261424273102996,0.03815402961668928
N,2018,1865.2,,843.2,,,,52240.630218,2560.265801,,,,,,0.793919387147068,0.03570401031183058
N,2019,2542.6,,1025.0,,,,50870.188,3460.357301,,,,,,0.9084945669435127,0.04998212312484475
N,2020,2851.3,16.7,1010.3,,,,56656.441058,5132.0541,0.9941771269177128,,,5.140121590190478,,1.0375277141795012,0.050326140272049284
N,2021,3800.2,31.6,1182.8,,,,58803.5502,4399.8821,0.9917532230283418,,,4.789651855315565,,1.1671691879301092,0.0646253497803267
N,2022,4937.7,18.5,1371.9,,,,62508.1878,3711.319601,0.9962673015616803,,,5.586884182633854,,1.2807029953860134,0.07899285155728031
N,2023,5129.6,,1935.3,,,,65432.5099,4034.6091,,,,,,0.9747653302089292,0.07839528099777203
N,2024,6740.7,,2544.7,,,,79010.5419,4355.747,,,,,,0.974151012236387,0.08531393201341908
