dataset,nace,unit,na_item,geo,year,value
nama_10_a64_e,M71,THS_PER,EMP_DC,AT,2015,58.86
nama_10_a64_e,M71,THS_PER,EMP_DC,AT,2016,59.48
nama_10_a64_e,M71,THS_PER,EMP_DC,AT,2017,60.81
nama_10_a64_e,M71,THS_PER,EMP_DC,AT,2018,63.09
nama_10_a64_e,M71,THS_PER,EMP_DC,AT,2019,64.23
nama_10_a64_e,M71,THS_PER,EMP_DC,AT,2020,65.85
nama_10_a64_e,M71,THS_PER,EMP_DC,AT,2021,66.84
nama_10_a64_e,M71,THS_PER,EMP_DC,AT,2022,69.24
nama_10_a64_e,M71,THS_PER,EMP_DC,AT,2023,69.9
nama_10_a64_e,M71,THS_PER,EMP_DC,AT,2024,69.59
nama_10_a64_e,M71,THS_PER,EMP_DC,BE,2015,50.5
nama_10_a64_e,M71,THS_PER,EMP_DC,BE,2016,51.3
nama_10_a64_e,M71,THS_PER,EMP_DC,BE,2017,52.9
nama_10_a64_e,M71,THS_PER,EMP_DC,BE,2018,55.6
nama_10_a64_e,M71,THS_PER,EMP_DC,BE,2019,57.2
nama_10_a64_e,M71,THS_PER,EMP_DC,BE,2020,59.2
nama_10_a64_e,M71,THS_PER,EMP_DC,BE,2021,61.4
nama_10_a64_e,M71,THS_PER,EMP_DC,BE,2022,63.9
nama_10_a64_e,M71,THS_PER,EMP_DC,BE,2023,65.2
nama_10_a64_e,M71,THS_PER,EMP_DC,BE,2024,66.8
nama_10_a64_e,M71,THS_PER,EMP_DC,CZ,2015,76.49
nama_10_a64_e,M71,THS_PER,EMP_DC,CZ,2016,78.97
nama_10_a64_e,M71,THS_PER,EMP_DC,CZ,2017,82.45
nama_10_a64_e,M71,THS_PER,EMP_DC,CZ,2018,85.31
nama_10_a64_e,M71,THS_PER,EMP_DC,CZ,2019,83.8
nama_10_a64_e,M71,THS_PER,EMP_DC,CZ,2020,81.55
nama_10_a64_e,M71,THS_PER,EMP_DC,CZ,2021,83.41
nama_10_a64_e,M71,THS_PER,EMP_DC,CZ,2022,86.52
nama_10_a64_e,M71,THS_PER,EMP_DC,CZ,2023,89.27
nama_10_a64_e,M71,THS_PER,EMP_DC,CZ,2024,90.5
nama_10_a64_e,M71,THS_PER,EMP_DC,CZ,2025,91.9
nama_10_a64_e,M71,THS_PER,EMP_DC,DE,2015,712.0
nama_10_a64_e,M71,THS_PER,EMP_DC,DE,2016,729.0
nama_10_a64_e,M71,THS_PER,EMP_DC,DE,2017,748.0
nama_10_a64_e,M71,THS_PER,EMP_DC,DE,2018,771.0
nama_10_a64_e,M71,THS_PER,EMP_DC,DE,2019,792.0
nama_10_a64_e,M71,THS_PER,EMP_DC,DE,2020,788.0
nama_10_a64_e,M71,THS_PER,EMP_DC,DE,2021,792.0
nama_10_a64_e,M71,THS_PER,EMP_DC,DE,2022,800.0
nama_10_a64_e,M71,THS_PER,EMP_DC,DE,2023,812.0
nama_10_a64_e,M71,THS_PER,EMP_DC,DK,2015,46.25
nama_10_a64_e,M71,THS_PER,EMP_DC,DK,2016,47.97
nama_10_a64_e,M71,THS_PER,EMP_DC,DK,2017,49.31
nama_10_a64_e,M71,THS_PER,EMP_DC,DK,2018,50.82
nama_10_a64_e,M71,THS_PER,EMP_DC,DK,2019,49.57
nama_10_a64_e,M71,THS_PER,EMP_DC,DK,2020,49.3
nama_10_a64_e,M71,THS_PER,EMP_DC,DK,2021,51.52
nama_10_a64_e,M71,THS_PER,EMP_DC,DK,2022,54.63
nama_10_a64_e,M71,THS_PER,EMP_DC,DK,2023,57.3
nama_10_a64_e,M71,THS_PER,EMP_DC,DK,2024,59.37
nama_10_a64_e,M71,THS_PER,EMP_DC,DK,2025,60.99
nama_10_a64_e,M71,THS_PER,EMP_DC,EL,2015,86.8
nama_10_a64_e,M71,THS_PER,EMP_DC,EL,2016,83.7
nama_10_a64_e,M71,THS_PER,EMP_DC,EL,2017,72.7
nama_10_a64_e,M71,THS_PER,EMP_DC,EL,2018,73.1
nama_10_a64_e,M71,THS_PER,EMP_DC,EL,2019,71.1
nama_10_a64_e,M71,THS_PER,EMP_DC,EL,2020,74.8
nama_10_a64_e,M71,THS_PER,EMP_DC,EL,2021,79.6
nama_10_a64_e,M71,THS_PER,EMP_DC,EL,2022,81.3
nama_10_a64_e,M71,THS_PER,EMP_DC,EL,2023,85.7
nama_10_a64_e,M71,THS_PER,EMP_DC,EL,2024,90.4
nama_10_a64_e,M71,THS_PER,EMP_DC,ES,2015,233.2
nama_10_a64_e,M71,THS_PER,EMP_DC,ES,2016,232.6
nama_10_a64_e,M71,THS_PER,EMP_DC,ES,2017,249.3
nama_10_a64_e,M71,THS_PER,EMP_DC,ES,2018,259.6
nama_10_a64_e,M71,THS_PER,EMP_DC,ES,2019,279.3
nama_10_a64_e,M71,THS_PER,EMP_DC,ES,2020,260.1
nama_10_a64_e,M71,THS_PER,EMP_DC,ES,2021,279.0
nama_10_a64_e,M71,THS_PER,EMP_DC,ES,2022,275.8
nama_10_a64_e,M71,THS_PER,EMP_DC,ES,2023,300.2
nama_10_a64_e,M71,THS_PER,EMP_DC,EU27_2020,2015,2721.77
nama_10_a64_e,M71,THS_PER,EMP_DC,EU27_2020,2016,2765.31
nama_10_a64_e,M71,THS_PER,EMP_DC,EU27_2020,2017,2853.27
nama_10_a64_e,M71,THS_PER,EMP_DC,EU27_2020,2018,2928.91
nama_10_a64_e,M71,THS_PER,EMP_DC,EU27_2020,2019,3000.71
nama_10_a64_e,M71,THS_PER,EMP_DC,EU27_2020,2020,3008.01
nama_10_a64_e,M71,THS_PER,EMP_DC,EU27_2020,2021,3095.86
nama_10_a64_e,M71,THS_PER,EMP_DC,EU27_2020,2022,3178.83
nama_10_a64_e,M71,THS_PER,EMP_DC,EU27_2020,2023,3273.52
nama_10_a64_e,M71,THS_PER,EMP_DC,FI,2015,51.4
nama_10_a64_e,M71,THS_PER,EMP_DC,FI,2016,52.6
nama_10_a64_e,M71,THS_PER,EMP_DC,FI,2017,52.8
nama_10_a64_e,M71,THS_PER,EMP_DC,FI,2018,54.3
nama_10_a64_e,M71,THS_PER,EMP_DC,FI,2019,55.1
nama_10_a64_e,M71,THS_PER,EMP_DC,FI,2020,56.1
nama_10_a64_e,M71,THS_PER,EMP_DC,FI,2021,57.2
nama_10_a64_e,M71,THS_PER,EMP_DC,FI,2022,58.1
nama_10_a64_e,M71,THS_PER,EMP_DC,FI,2023,57.7
nama_10_a64_e,M71,THS_PER,EMP_DC,FI,2024,56.1
nama_10_a64_e,M71,THS_PER,EMP_DC,FI,2025,55.5
nama_10_a64_e,M71,THS_PER,EMP_DC,FR,2015,430.5
nama_10_a64_e,M71,THS_PER,EMP_DC,FR,2016,442.4
nama_10_a64_e,M71,THS_PER,EMP_DC,FR,2017,450.1
nama_10_a64_e,M71,THS_PER,EMP_DC,FR,2018,457.5
nama_10_a64_e,M71,THS_PER,EMP_DC,FR,2019,478.0
nama_10_a64_e,M71,THS_PER,EMP_DC,FR,2020,485.8
nama_10_a64_e,M71,THS_PER,EMP_DC,FR,2021,505.8
nama_10_a64_e,M71,THS_PER,EMP_DC,FR,2022,530.6
nama_10_a64_e,M71,THS_PER,EMP_DC,FR,2023,548.7
nama_10_a64_e,M71,THS_PER,EMP_DC,FR,2024,558.0
nama_10_a64_e,M71,THS_PER,EMP_DC,HU,2015,46.62
nama_10_a64_e,M71,THS_PER,EMP_DC,HU,2016,49.91
nama_10_a64_e,M71,THS_PER,EMP_DC,HU,2017,56.24
nama_10_a64_e,M71,THS_PER,EMP_DC,HU,2018,57.8
nama_10_a64_e,M71,THS_PER,EMP_DC,HU,2019,59.14
nama_10_a64_e,M71,THS_PER,EMP_DC,HU,2020,59.26
nama_10_a64_e,M71,THS_PER,EMP_DC,HU,2021,62.46
nama_10_a64_e,M71,THS_PER,EMP_DC,HU,2022,64.99
nama_10_a64_e,M71,THS_PER,EMP_DC,HU,2023,65.08
nama_10_a64_e,M71,THS_PER,EMP_DC,HU,2024,64.23
nama_10_a64_e,M71,THS_PER,EMP_DC,IE,2015,34.36
nama_10_a64_e,M71,THS_PER,EMP_DC,IE,2016,32.74
nama_10_a64_e,M71,THS_PER,EMP_DC,IE,2017,36.3
nama_10_a64_e,M71,THS_PER,EMP_DC,IE,2018,39.71
nama_10_a64_e,M71,THS_PER,EMP_DC,IE,2019,36.63
nama_10_a64_e,M71,THS_PER,EMP_DC,IE,2020,37.15
nama_10_a64_e,M71,THS_PER,EMP_DC,IE,2021,44.71
nama_10_a64_e,M71,THS_PER,EMP_DC,IE,2022,48.32
nama_10_a64_e,M71,THS_PER,EMP_DC,IE,2023,47.16
nama_10_a64_e,M71,THS_PER,EMP_DC,IE,2024,56.89
nama_10_a64_e,M71,THS_PER,EMP_DC,IT,2015,352.2
nama_10_a64_e,M71,THS_PER,EMP_DC,IT,2016,353.2
nama_10_a64_e,M71,THS_PER,EMP_DC,IT,2017,354.4
nama_10_a64_e,M71,THS_PER,EMP_DC,IT,2018,362.3
nama_10_a64_e,M71,THS_PER,EMP_DC,IT,2019,357.9
nama_10_a64_e,M71,THS_PER,EMP_DC,IT,2020,358.7
nama_10_a64_e,M71,THS_PER,EMP_DC,IT,2021,364.4
nama_10_a64_e,M71,THS_PER,EMP_DC,IT,2022,370.3
nama_10_a64_e,M71,THS_PER,EMP_DC,IT,2023,378.6
nama_10_a64_e,M71,THS_PER,EMP_DC,NL,2015,123.0
nama_10_a64_e,M71,THS_PER,EMP_DC,NL,2016,125.0
nama_10_a64_e,M71,THS_PER,EMP_DC,NL,2017,128.0
nama_10_a64_e,M71,THS_PER,EMP_DC,NL,2018,134.0
nama_10_a64_e,M71,THS_PER,EMP_DC,NL,2019,140.0
nama_10_a64_e,M71,THS_PER,EMP_DC,NL,2020,142.0
nama_10_a64_e,M71,THS_PER,EMP_DC,NL,2021,145.0
nama_10_a64_e,M71,THS_PER,EMP_DC,NL,2022,150.0
nama_10_a64_e,M71,THS_PER,EMP_DC,NL,2023,155.0
nama_10_a64_e,M71,THS_PER,EMP_DC,NL,2024,160.0
nama_10_a64_e,M71,THS_PER,EMP_DC,NL,2025,164.0
nama_10_a64_e,M71,THS_PER,EMP_DC,PL,2015,141.9
nama_10_a64_e,M71,THS_PER,EMP_DC,PL,2016,138.7
nama_10_a64_e,M71,THS_PER,EMP_DC,PL,2017,158.5
nama_10_a64_e,M71,THS_PER,EMP_DC,PL,2018,149.5
nama_10_a64_e,M71,THS_PER,EMP_DC,PL,2019,149.9
nama_10_a64_e,M71,THS_PER,EMP_DC,PL,2020,162.7
nama_10_a64_e,M71,THS_PER,EMP_DC,PL,2021,175.1
nama_10_a64_e,M71,THS_PER,EMP_DC,PL,2022,181.1
nama_10_a64_e,M71,THS_PER,EMP_DC,PL,2023,190.5
nama_10_a64_e,M71,THS_PER,EMP_DC,PL,2024,191.4
nama_10_a64_e,M71,THS_PER,EMP_DC,PT,2015,36.14
nama_10_a64_e,M71,THS_PER,EMP_DC,PT,2016,37.81
nama_10_a64_e,M71,THS_PER,EMP_DC,PT,2017,40.74
nama_10_a64_e,M71,THS_PER,EMP_DC,PT,2018,43.04
nama_10_a64_e,M71,THS_PER,EMP_DC,PT,2019,46.46
nama_10_a64_e,M71,THS_PER,EMP_DC,PT,2020,47.02
nama_10_a64_e,M71,THS_PER,EMP_DC,PT,2021,49.35
nama_10_a64_e,M71,THS_PER,EMP_DC,PT,2022,51.92
nama_10_a64_e,M71,THS_PER,EMP_DC,PT,2023,53.63
nama_10_a64_e,M71,THS_PER,EMP_DC,RO,2015,39.7
nama_10_a64_e,M71,THS_PER,EMP_DC,RO,2016,41.5
nama_10_a64_e,M71,THS_PER,EMP_DC,RO,2017,41.7
nama_10_a64_e,M71,THS_PER,EMP_DC,RO,2018,45.0
nama_10_a64_e,M71,THS_PER,EMP_DC,RO,2019,45.8
nama_10_a64_e,M71,THS_PER,EMP_DC,RO,2020,44.7
nama_10_a64_e,M71,THS_PER,EMP_DC,RO,2021,41.8
nama_10_a64_e,M71,THS_PER,EMP_DC,RO,2022,43.5
nama_10_a64_e,M71,THS_PER,EMP_DC,RO,2023,39.8
nama_10_a64_e,F,THS_PER,EMP_DC,AT,2015,283.64
nama_10_a64_e,F,THS_PER,EMP_DC,AT,2016,287.69
nama_10_a64_e,F,THS_PER,EMP_DC,AT,2017,294.4
nama_10_a64_e,F,THS_PER,EMP_DC,AT,2018,300.86
nama_10_a64_e,F,THS_PER,EMP_DC,AT,2019,310.12
nama_10_a64_e,F,THS_PER,EMP_DC,AT,2020,311.51
nama_10_a64_e,F,THS_PER,EMP_DC,AT,2021,325.97
nama_10_a64_e,F,THS_PER,EMP_DC,AT,2022,331.75
nama_10_a64_e,F,THS_PER,EMP_DC,AT,2023,327.3
nama_10_a64_e,F,THS_PER,EMP_DC,AT,2024,317.3
nama_10_a64_e,F,THS_PER,EMP_DC,BE,2015,256.8
nama_10_a64_e,F,THS_PER,EMP_DC,BE,2016,258.4
nama_10_a64_e,F,THS_PER,EMP_DC,BE,2017,259.7
nama_10_a64_e,F,THS_PER,EMP_DC,BE,2018,266.0
nama_10_a64_e,F,THS_PER,EMP_DC,BE,2019,268.7
nama_10_a64_e,F,THS_PER,EMP_DC,BE,2020,273.2
nama_10_a64_e,F,THS_PER,EMP_DC,BE,2021,283.8
nama_10_a64_e,F,THS_PER,EMP_DC,BE,2022,290.7
nama_10_a64_e,F,THS_PER,EMP_DC,BE,2023,295.5
nama_10_a64_e,F,THS_PER,EMP_DC,BE,2024,292.9
nama_10_a64_e,F,THS_PER,EMP_DC,CZ,2015,397.35
nama_10_a64_e,F,THS_PER,EMP_DC,CZ,2016,392.95
nama_10_a64_e,F,THS_PER,EMP_DC,CZ,2017,391.85
nama_10_a64_e,F,THS_PER,EMP_DC,CZ,2018,393.24
nama_10_a64_e,F,THS_PER,EMP_DC,CZ,2019,394.24
nama_10_a64_e,F,THS_PER,EMP_DC,CZ,2020,386.4
nama_10_a64_e,F,THS_PER,EMP_DC,CZ,2021,397.13
nama_10_a64_e,F,THS_PER,EMP_DC,CZ,2022,404.22
nama_10_a64_e,F,THS_PER,EMP_DC,CZ,2023,423.03
nama_10_a64_e,F,THS_PER,EMP_DC,CZ,2024,408.28
nama_10_a64_e,F,THS_PER,EMP_DC,CZ,2025,424.24
nama_10_a64_e,F,THS_PER,EMP_DC,DE,2015,2428.0
nama_10_a64_e,F,THS_PER,EMP_DC,DE,2016,2449.0
nama_10_a64_e,F,THS_PER,EMP_DC,DE,2017,2483.0
nama_10_a64_e,F,THS_PER,EMP_DC,DE,2018,2526.0
nama_10_a64_e,F,THS_PER,EMP_DC,DE,2019,2559.0
nama_10_a64_e,F,THS_PER,EMP_DC,DE,2020,2593.0
nama_10_a64_e,F,THS_PER,EMP_DC,DE,2021,2615.0
nama_10_a64_e,F,THS_PER,EMP_DC,DE,2022,2634.0
nama_10_a64_e,F,THS_PER,EMP_DC,DE,2023,2639.0
nama_10_a64_e,F,THS_PER,EMP_DC,DE,2024,2605.0
nama_10_a64_e,F,THS_PER,EMP_DC,DK,2015,170.86
nama_10_a64_e,F,THS_PER,EMP_DC,DK,2016,176.05
nama_10_a64_e,F,THS_PER,EMP_DC,DK,2017,182.28
nama_10_a64_e,F,THS_PER,EMP_DC,DK,2018,188.4
nama_10_a64_e,F,THS_PER,EMP_DC,DK,2019,191.69
nama_10_a64_e,F,THS_PER,EMP_DC,DK,2020,194.39
nama_10_a64_e,F,THS_PER,EMP_DC,DK,2021,201.94
nama_10_a64_e,F,THS_PER,EMP_DC,DK,2022,209.12
nama_10_a64_e,F,THS_PER,EMP_DC,DK,2023,208.01
nama_10_a64_e,F,THS_PER,EMP_DC,DK,2024,209.32
nama_10_a64_e,F,THS_PER,EMP_DC,DK,2025,212.69
nama_10_a64_e,F,THS_PER,EMP_DC,EL,2015,195.2
nama_10_a64_e,F,THS_PER,EMP_DC,EL,2016,197.1
nama_10_a64_e,F,THS_PER,EMP_DC,EL,2017,190.5
nama_10_a64_e,F,THS_PER,EMP_DC,EL,2018,193.5
nama_10_a64_e,F,THS_PER,EMP_DC,EL,2019,192.4
nama_10_a64_e,F,THS_PER,EMP_DC,EL,2020,193.3
nama_10_a64_e,F,THS_PER,EMP_DC,EL,2021,181.9
nama_10_a64_e,F,THS_PER,EMP_DC,EL,2022,188.4
nama_10_a64_e,F,THS_PER,EMP_DC,EL,2023,193.3
nama_10_a64_e,F,THS_PER,EMP_DC,EL,2024,200.0
nama_10_a64_e,F,THS_PER,EMP_DC,ES,2015,1101.7
nama_10_a64_e,F,THS_PER,EMP_DC,ES,2016,1119.8
nama_10_a64_e,F,THS_PER,EMP_DC,ES,2017,1166.1
nama_10_a64_e,F,THS_PER,EMP_DC,ES,2018,1244.1
nama_10_a64_e,F,THS_PER,EMP_DC,ES,2019,1353.2
nama_10_a64_e,F,THS_PER,EMP_DC,ES,2020,1287.3
nama_10_a64_e,F,THS_PER,EMP_DC,ES,2021,1349.1
nama_10_a64_e,F,THS_PER,EMP_DC,ES,2022,1432.3
nama_10_a64_e,F,THS_PER,EMP_DC,ES,2023,1515.4
nama_10_a64_e,F,THS_PER,EMP_DC,ES,2024,1590.6
nama_10_a64_e,F,THS_PER,EMP_DC,EU27_2020,2015,12412.87
nama_10_a64_e,F,THS_PER,EMP_DC,EU27_2020,2016,12511.46
nama_10_a64_e,F,THS_PER,EMP_DC,EU27_2020,2017,12690.06
nama_10_a64_e,F,THS_PER,EMP_DC,EU27_2020,2018,13013.44
nama_10_a64_e,F,THS_PER,EMP_DC,EU27_2020,2019,13438.78
nama_10_a64_e,F,THS_PER,EMP_DC,EU27_2020,2020,13561.81
nama_10_a64_e,F,THS_PER,EMP_DC,EU27_2020,2021,13974.35
nama_10_a64_e,F,THS_PER,EMP_DC,EU27_2020,2022,14382.4
nama_10_a64_e,F,THS_PER,EMP_DC,EU27_2020,2023,14548.6
nama_10_a64_e,F,THS_PER,EMP_DC,EU27_2020,2024,14655.51
nama_10_a64_e,F,THS_PER,EMP_DC,FI,2015,190.4
nama_10_a64_e,F,THS_PER,EMP_DC,FI,2016,197.8
nama_10_a64_e,F,THS_PER,EMP_DC,FI,2017,199.4
nama_10_a64_e,F,THS_PER,EMP_DC,FI,2018,207.7
nama_10_a64_e,F,THS_PER,EMP_DC,FI,2019,203.7
nama_10_a64_e,F,THS_PER,EMP_DC,FI,2020,198.5
nama_10_a64_e,F,THS_PER,EMP_DC,FI,2021,200.4
