layer,spec,coef,se,p,n,r2,note,display
A1,A1 log M71 turnover,-0.006845248916273384,0.003183200815697485,0.031521257530458195,68,0.9959561217645314,SBS M71 NETTUR_MEUR sbs_sc_ovw; country+year FE; Post-2024 × ΔTNLG-M,-0.007** (0.003)
A1,A1 log M71 employment,-0.00039351127708857705,0.001685777053391885,0.815427363522487,68,0.9989570469926702,SBS M71 EMP_NR sbs_ovw_act; country+year FE; Post-2024 × ΔTNLG-M,-0.000 (0.002)
A1,A1 log M71 wages,-0.009190364566735396,0.003301280141125128,0.005371306259207914,68,0.9978671185365068,SBS M71 WAGE_MEUR sbs_ovw_act; country+year FE; Post-2024 × ΔTNLG-M,-0.009*** (0.003)
A1,A1 log M71 value added,-0.006273269564364935,0.0023724819382778457,0.00818890681062865,68,0.9968576641633791,SBS M71 AV_MEUR sbs_ovw_act; country+year FE; Post-2024 × ΔTNLG-M,-0.006*** (0.002)
A1,A1 log M71 GOS,-0.00261803505393757,0.005001911281352865,0.6006910990324714,68,0.9869310684286695,SBS M71 GOS_MEUR sbs_ovw_act; country+year FE; Post-2024 × ΔTNLG-M,-0.003 (0.005)
A2,A2 log M71 labour productivity (LABPRY),-0.00587458476206837,0.0017716351478193142,0.0009134486113820225,68,0.9909316873947047,SBS M71 LABPRY_TEUR sbs_ovw_act; country+year FE; Post-2024 × ΔTNLG-M,-0.006*** (0.002)
A2,A2 log M71 labour cost per employed (LC_EMP),-0.008787060330712594,0.002423240687732042,0.00028766628936735197,68,0.9962644257019214,SBS M71 LC_EMP_TEUR sbs_ovw_act; country+year FE; Post-2024 × ΔTNLG-M,-0.009*** (0.002)
A3,A3 log F turnover (placebo),-0.010006201509964627,0.003107333938080033,0.0012810625969751212,68,0.995342800030384,SBS F NETTUR_MEUR sbs_sc_ovw; country+year FE; Post-2024 × ΔTNLG-M,-0.010*** (0.003)
A3,A3 log F employment (placebo),-0.0026482190290888405,0.001950326567375026,0.17451647682814475,68,0.9982314593020059,SBS F EMP_NR sbs_ovw_act; country+year FE; Post-2024 × ΔTNLG-M,-0.003 (0.002)
A3,A3 log F labour productivity,-0.008899739059108498,0.0027044307227052336,0.0009990311888662218,68,0.9819179847591951,SBS F LABPRY_TEUR sbs_ovw_act; country+year FE; Post-2024 × ΔTNLG-M,-0.009*** (0.003)
