geo,iso3,country,tnlg_M_2021,tnlg_F_2021,tnlg_M_2023,tnlg_F_2023,tnlg_M_2024,tnlg_F_2024,tnlg_M_2025,tnlg_F_2025,d_tnlg_M_2324,d_tnlg_F_2324,d_tnlg_M_2425
DE,DEU,Germany,2.48,1.59,5.98,0.45,12.28,3.3,14.74,3.02,6.299999999999999,2.8499999999999996,2.460000000000001
FR,FRA,France,1.69,1.31,1.26,0.38,3.9,1.8,11.8,2.59,2.6399999999999997,1.42,7.9
NL,NLD,Netherlands,3.76,0.22,7.68,1.02,22.01,4.3,30.18,8.13,14.330000000000002,3.28,8.169999999999998
PL,POL,Poland,0.45,0.01,1.81,0.28,5.45,0.9,13.58,1.15,3.64,0.62,8.129999999999999
RO,ROU,Romania,3.98,0.02,4.99,0.02,3.73,0.04,8.69,1.3,-1.2600000000000002,0.02,4.959999999999999
IT,ITA,Italy,1.34,1.72,2.85,0.71,9.44,2.4,17.65,3.1,6.59,1.69,8.209999999999999
ES,ESP,Spain,3.06,0.59,4.44,1.46,11.92,1.47,17.31,4.17,7.4799999999999995,0.010000000000000009,5.389999999999999
IE,IRL,Ireland,2.85,0.0,5.02,1.48,13.61,2.67,13.29,0.38,8.59,1.19,-0.3200000000000003
BE,BEL,Belgium,6.59,0.47,8.19,2.4,19.45,5.33,25.41,4.88,11.26,2.93,5.960000000000001
AT,AUT,Austria,3.4,0.53,5.73,0.72,13.94,3.55,26.92,5.99,8.209999999999999,2.83,12.980000000000002
SE,SWE,Sweden,4.81,0.19,8.41,0.05,29.61,5.21,43.0,4.79,21.2,5.16,13.39
DK,DNK,Denmark,10.56,1.34,8.37,1.26,34.06,6.79,49.96,14.98,25.690000000000005,5.53,15.899999999999999
PT,PRT,Portugal,4.68,0.43,2.09,0.03,8.32,1.25,11.92,0.29,6.23,1.22,3.5999999999999996
CZ,CZE,Czechia,3.49,0.0,0.45,0.0,10.71,1.14,25.19,5.85,10.260000000000002,1.14,14.48
HU,HUN,Hungary,0.69,0.07,0.76,0.43,4.2,0.43,11.37,1.41,3.4400000000000004,0.0,7.169999999999999
FI,FIN,Finland,3.88,2.19,11.17,0.86,30.02,6.61,43.6,9.2,18.85,5.75,13.580000000000002
EL,GRC,Greece,0.65,0.0,1.8,0.3,7.23,1.84,13.95,1.75,5.430000000000001,1.54,6.719999999999999
