iso3,ai_M_2024,ai_F_2024,ai_M_2021,ai_F_2021,dM,dF,gap24,country
AUT,39.59,7.35,20.93,3.12,18.660000000000004,4.2299999999999995,32.24,Austria
BEL,42.92,11.08,20.24,8.3,22.680000000000003,2.7799999999999994,31.840000000000003,Belgium
CZE,22.09,2.35,9.28,0.35,12.81,2.0,19.74,Czechia
DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,Germany
DNK,44.9,11.7,39.22,8.87,5.68,2.83,33.2,Denmark
ESP,26.07,4.43,13.72,3.77,12.35,0.6599999999999997,21.64,Spain
FIN,48.46,11.26,29.63,9.39,18.830000000000002,1.8699999999999992,37.2,Finland
FRA,17.47,3.14,15.23,4.09,2.2399999999999984,-0.9499999999999997,14.329999999999998,France
GRC,21.02,5.17,9.2,2.82,11.82,2.35,15.85,Greece
HUN,17.3,4.27,3.71,0.55,13.59,3.7199999999999998,13.030000000000001,Hungary
IRL,27.25,6.24,13.59,0.27,13.66,5.970000000000001,21.009999999999998,Ireland
ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,Italy
NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,Netherlands
POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,Poland
PRT,,2.74,10.38,1.06,,1.6800000000000002,,Portugal
ROU,9.06,0.18,6.68,0.05,2.380000000000001,0.13,8.88,Romania
SWE,53.71,13.15,16.47,2.32,37.24,10.83,40.56,Sweden
