geo,iso3,tnlg_M_2021,tnlg_M_2023,tnlg_M_2024,tnlg_M_2025,tnlg_F_2021,tnlg_F_2023,tnlg_F_2024,tnlg_F_2025,tml_M_2021,tml_M_2023,tml_M_2024,tml_M_2025,ttm_M_2021,ttm_M_2023,ttm_M_2024,ttm_M_2025,tir_M_2021,tir_M_2023,tir_M_2024,tir_M_2025,tnlg_C_2021,tnlg_C_2023,tnlg_C_2024,tnlg_C_2025,tnlg_J_2021,tnlg_J_2023,tnlg_J_2024,tnlg_J_2025,tnlg_N_2021,tnlg_N_2023,tnlg_N_2024,tnlg_N_2025,tany_C_2021,tany_C_2023,tany_C_2024,tany_C_2025,tany_J_2021,tany_J_2023,tany_J_2024,tany_J_2025,tany_M_2021,tany_F_2021,tany_M_2023,tany_F_2023,tany_M_2024,tany_F_2024,tany_M_2025,tany_F_2025,d_tnlg_M_2124,d_tnlg_M_2324,d_tnlg_F_2124,d_tnlg_F_2324,d_tml_M_2324,d_ttm_M_2324,d_tir_M_2324,d_tany_M_2124,d_tnlg_J_2324,d_tnlg_C_2324,d_tnlg_N_2324,country
DE,DEU,2.48,5.98,12.28,14.74,1.59,0.45,3.3,3.02,7.65,8.01,14.85,14.53,7.96,7.5,18.01,26.84,5.43,5.06,9.61,6.63,1.12,1.82,4.08,8.48,7.56,12.61,29.61,47.27,0.48,4.45,4.67,7.96,9.19,9.32,16.11,24.38,28.8,33.05,60.52,75.38,25.54,8.29,26.34,4.48,42.29,10.01,48.3,14.28,9.799999999999999,6.299999999999999,1.7099999999999997,2.8499999999999996,6.84,10.510000000000002,4.55,16.75,17.0,2.26,0.21999999999999975,Germany
FR,FRA,1.69,1.26,3.9,11.8,1.31,0.38,1.8,2.59,7.36,6.41,7.59,8.0,4.29,5.8,8.55,19.33,3.27,2.85,5.31,5.38,0.5,0.81,2.32,8.02,4.72,8.12,21.79,39.37,0.78,0.59,3.24,7.58,5.33,4.87,7.43,16.93,23.55,29.56,41.76,58.98,15.23,4.09,13.75,2.09,17.47,3.14,32.5,9.52,2.21,2.6399999999999997,0.49,1.42,1.1799999999999997,2.750000000000001,2.4599999999999995,2.2399999999999984,13.67,1.5099999999999998,2.6500000000000004,France
NL,NLD,3.76,7.68,22.01,30.18,0.22,1.02,4.3,8.13,10.53,10.79,12.45,18.03,6.42,9.69,23.78,38.51,5.59,6.73,8.28,7.73,1.0,2.0,7.73,13.65,9.31,14.87,36.58,50.61,1.86,3.73,10.73,14.0,12.42,11.74,18.03,28.56,32.05,36.97,58.03,69.99,20.05,7.39,24.8,4.72,39.78,8.88,54.98,21.29,18.25,14.330000000000002,4.08,3.28,1.6600000000000001,14.090000000000002,1.549999999999999,19.73,21.71,5.73,7.0,Netherlands
PL,POL,0.45,1.81,5.45,13.58,0.01,0.28,0.9,1.15,2.0,2.67,3.78,4.15,1.75,0.91,4.35,3.8,1.68,2.37,3.77,2.9,0.11,0.48,1.63,4.47,2.98,5.31,15.74,27.33,0.68,1.09,3.44,7.16,2.33,2.86,5.13,7.7,16.35,17.56,32.63,38.09,6.48,0.35,9.05,1.23,14.45,2.01,22.16,2.35,5.0,3.64,0.89,0.62,1.1099999999999999,3.4399999999999995,1.4,7.969999999999999,10.43,1.15,2.3499999999999996,Poland
RO,ROU,3.98,4.99,3.73,8.69,0.02,0.02,0.04,1.3,2.4,3.22,4.72,8.85,6.35,5.53,6.95,11.35,3.8,1.89,2.38,6.36,0.34,0.75,0.47,1.65,0.99,3.04,9.19,22.41,0.17,0.8,2.62,3.3,1.28,1.34,1.3,3.24,8.8,8.12,15.69,32.07,6.68,0.05,7.21,0.13,9.06,0.18,15.6,2.65,-0.25,-1.2600000000000002,0.02,0.02,1.4999999999999996,1.42,0.49,2.380000000000001,6.1499999999999995,-0.28,1.82,Romania
IT,ITA,1.34,2.85,9.44,17.65,1.72,0.71,2.4,3.1,2.35,3.25,7.45,10.41,5.14,3.95,13.14,31.0,1.64,1.77,5.11,7.6,1.37,0.9,3.19,5.26,3.85,8.56,16.78,33.99,2.0,1.62,3.95,5.88,6.63,4.94,8.03,14.73,16.19,21.04,34.6,51.28,8.68,5.24,9.23,2.62,19.56,5.24,35.72,10.39,8.1,6.59,0.6799999999999999,1.69,4.2,9.190000000000001,3.3400000000000003,10.879999999999999,8.22,2.29,2.33,Italy
ES,ESP,3.06,4.44,11.92,17.31,0.59,1.46,1.47,4.17,5.8,6.22,11.34,12.68,4.97,6.84,13.91,19.57,4.37,6.54,8.16,9.7,0.79,1.25,2.38,6.46,8.24,13.16,21.3,40.38,1.76,2.01,3.75,9.37,7.42,8.68,9.81,17.14,26.65,32.43,46.57,60.57,13.72,3.77,16.14,4.63,26.07,4.43,38.35,11.26,8.86,7.4799999999999995,0.88,0.010000000000000009,5.12,7.07,1.62,12.35,8.14,1.13,1.7400000000000002,Spain
IE,IRL,2.85,5.02,13.61,13.29,0.0,1.48,2.67,0.38,2.85,6.76,10.17,7.69,1.69,4.51,13.19,19.21,1.34,4.07,3.66,4.09,1.04,1.71,7.4,8.25,8.6,9.17,26.69,38.21,2.21,2.15,10.78,10.6,8.83,7.18,17.51,17.66,32.4,28.52,49.07,59.82,13.59,0.27,15.77,5.92,27.25,6.24,31.76,9.2,10.76,8.59,2.67,1.19,3.41,8.68,-0.41000000000000014,13.66,17.520000000000003,5.69,8.629999999999999,Ireland
BE,BEL,6.59,8.19,19.45,25.41,0.47,2.4,5.33,4.88,10.92,12.16,15.57,24.57,8.7,16.45,28.95,42.9,8.5,7.56,12.15,8.7,0.56,2.4,12.28,17.72,9.01,18.82,39.3,,1.27,3.93,6.55,10.05,10.42,15.31,23.24,39.8,34.76,,64.12,78.15,20.24,8.3,28.28,5.17,42.92,11.08,57.11,20.25,12.86,11.26,4.86,2.93,3.41,12.5,4.590000000000001,22.680000000000003,20.479999999999997,9.879999999999999,2.6199999999999997,Belgium
AT,AUT,3.4,5.73,13.94,26.92,0.53,0.72,3.55,5.99,7.0,11.99,16.7,16.83,12.14,15.09,26.87,39.79,2.61,5.13,5.5,3.92,0.36,1.98,9.14,16.68,3.62,15.01,31.35,61.48,0.07,2.89,7.71,12.52,9.61,12.31,22.71,32.54,30.27,37.05,60.74,79.93,20.93,3.12,25.82,4.28,39.59,7.35,52.8,14.89,10.54,8.209999999999999,3.0199999999999996,2.83,4.709999999999999,11.780000000000001,0.3700000000000001,18.660000000000004,16.340000000000003,7.16,4.82,Austria
