iso3,country,M_2019,M_2024,F_2019,F_2024,pct_M,pct_F
ARE,United Arab Emirates,328.661,384.694,1289.764,1977.66,17.048874067808484,53.33502873393894
AUS,Australia,886.424,968.038,1173.475,1333.133,9.207106305785938,13.60557319073692
DEU,Germany,2457.539,2357.075,2846.283,2690.448,-4.087992092902715,-5.475035335558697
ESP,Spain,998.135,1281.358,1314.888,1453.618,28.37521978489883,10.55070850140849
FRA,France,1628.115,1995.787,1806.1,1909.137,22.582679970395205,5.704944355240582
GBR,United Kingdom,2397.982,2921.765,2258.131,2086.936,21.842657701350543,-7.581269642903788
IND,India,3327.181,3760.797,45526.465,60557.655,13.032534148277474,33.01637849545314
IRL,Ireland,138.094,209.152,146.992,172.11,51.456254435384594,17.08800478937631
ITA,Italy,1508.573,1591.374,1323.094,1607.385,5.488696934122506,21.4868331350607
NLD,Netherlands,638.804,880.221,403.906,471.939,37.79203010626109,16.843770580283547
PHL,Philippines,303.916,425.321,4152.742,4683.323,39.94689322049514,12.776642517160951
POL,Poland,625.943,816.439,1305.541,1308.991,30.433442022676193,0.2642582653474834
ROU,Romania,215.092,243.139,714.509,839.914,13.03953657039778,17.55121349066282
SGP,Singapore,181.5,197.074,98.0,102.889,8.580716253443544,4.988775510204069
USA,United States,9169.882,9818.853,11910.783,12503.999,7.077201211531392,4.9804954048780825
VNM,Viet Nam,322.856,414.875,4554.243,4489.382,28.501561067472814,-1.4241883887179618
